"000:00:00.000","Info","2019-07-03 00:08:41","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a6888 a7624 a6988 a7270"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.824","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.825","","","","","","ZONE_DISTANCES",17511,22469,30079,32065,13501,20244,6128,18461
"000:35:30.825","","","","","","ZONE_TIMERS",133.244,166.807,144.363,155.687,112.759,187.292,23.131,276.920
"000:35:30.826","","","","","","ZONE_COUNTERS",77,76,83,83,40,39,26,26
"000:35:30.826","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.826","","","","","","TOTAL_ARENA_DISTANCES",39980,62143,33745,24589
"000:40:30.908","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.908","","","","","","ZONE_DISTANCES",17911,20676,18818,17696,17438,13424,7306,14483
"000:40:30.909","","","","","","ZONE_TIMERS",124.512,175.571,161.487,138.596,178.162,121.920,67.315,232.767
"000:40:30.909","","","","","","ZONE_COUNTERS",48,48,44,44,34,34,24,25
"000:40:30.910","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.910","","","","","","TOTAL_ARENA_DISTANCES",38587,36514,30862,21789
"000:45:30.975","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.975","","","","","","ZONE_DISTANCES",26383,25623,16236,27634,19749,19045,5378,14864
"000:45:30.975","","","","","","ZONE_TIMERS",155.650,144.416,90.423,209.643,152.465,147.601,47.183,252.883
"000:45:30.976","","","","","","ZONE_COUNTERS",85,85,62,61,50,51,19,20
"000:45:30.976","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.976","","","","","","TOTAL_ARENA_DISTANCES",52006,43870,38795,20242
"000:50:31.024","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:31.024","","","","","","ZONE_DISTANCES",30128,22343,24534,18648,21151,16736,7176,11518
"000:50:31.025","","","","","","ZONE_TIMERS",166.751,133.298,192.557,107.491,174.393,125.656,62.803,237.245
"000:50:31.025","","","","","","ZONE_COUNTERS",76,76,66,66,50,50,19,20
"000:50:31.026","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.026","","","","","","TOTAL_ARENA_DISTANCES",52471,43182,37886,18694
"000:55:31.078","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:31.079","","","","","","ZONE_DISTANCES",31882,26633,23091,34260,17564,18330,6191,10353
"000:55:31.079","","","","","","ZONE_TIMERS",159.091,140.962,87.608,212.445,143.738,156.315,46.393,253.660
"000:55:31.079","","","","","","ZONE_COUNTERS",93,94,79,80,50,50,22,23
"000:55:31.080","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.080","","","","","","TOTAL_ARENA_DISTANCES",58515,57351,35895,16544
"001:00:31.150","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:31.151","","","","","","ZONE_DISTANCES",24121,23317,30289,14760,17302,14790,6744,7716
"001:00:31.151","","","","","","ZONE_TIMERS",145.051,155.020,233.379,66.692,163.825,136.246,52.834,247.238
"001:00:31.151","","","","","","ZONE_COUNTERS",71,71,60,60,42,43,21,21
"001:00:31.152","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.152","","","","","","TOTAL_ARENA_DISTANCES",47438,45050,32092,14460
"001:00:31.249","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.249","","","","","","ZONE_DISTANCES",147936,141061,143047,145063,106705,102569,38923,77395
"001:00:31.250","","","","","","ZONE_TIMERS",884.307,916.075,909.825,890.557,925.345,875.037,299.667,1500.716
"001:00:31.250","","","","","","ZONE_COUNTERS",448,447,392,391,264,264,131,130
"001:00:31.251","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.251","","","","","","TOTAL_ARENA_DISTANCES",288997,288110,209274,116318
"001:03:03.199","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:03.200","","","","","","ZONE_DISTANCES",2993,4703,366,5475,1978,3938,306,997
"001:03:03.200","","","","","","ZONE_TIMERS",19.594,40.454,2.746,57.302,19.539,40.509,0.089,59.959
"001:03:03.201","","","","","","ZONE_COUNTERS",16,15,3,4,7,8,1,2
"001:03:03.201","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.202","","","","","","TOTAL_ARENA_DISTANCES",7696,5842,5916,1303
"001:04:03.272","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:03.273","","","","","","ZONE_DISTANCES",4022,3701,6140,3226,5188,1202,0,19
"001:04:03.273","","","","","","ZONE_TIMERS",29.145,30.926,49.222,10.850,51.180,8.891,0.000,60.072
"001:04:03.274","","","","","","ZONE_COUNTERS",12,12,11,11,8,8,0,1
"001:04:03.274","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.274","","","","","","TOTAL_ARENA_DISTANCES",7723,9366,6390,19
"001:05:03.325","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:03.325","","","","","","ZONE_DISTANCES",4374,4361,913,5397,1621,4284,421,1460
"001:05:03.326","","","","","","ZONE_TIMERS",31.866,28.186,8.125,51.927,15.842,44.209,3.832,56.219
"001:05:03.326","","","","","","ZONE_COUNTERS",15,15,3,3,8,8,2,3
"001:05:03.327","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.327","","","","","","TOTAL_ARENA_DISTANCES",8735,6310,5905,1881
"001:06:03.417","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:06:03.418","","","","","","ZONE_DISTANCES",4746,4468,5682,1943,4411,1647,3024,1126
"001:06:03.418","","","","","","ZONE_TIMERS",29.550,30.542,53.853,6.239,44.467,15.625,31.199,28.892
"001:06:03.419","","","","","","ZONE_COUNTERS",14,13,8,8,7,7,5,6
"001:06:03.419","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.420","","","","","","TOTAL_ARENA_DISTANCES",9214,7624,6058,4151
"001:07:03.509","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:07:03.509","","","","","","ZONE_DISTANCES",4956,4059,1291,8409,2582,4150,571,3661
"001:07:03.510","","","","","","ZONE_TIMERS",34.369,25.722,6.736,53.355,22.196,37.894,4.428,55.662
"001:07:03.510","","","","","","ZONE_COUNTERS",15,15,7,7,12,12,3,4
"001:07:03.511","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.511","","","","","","TOTAL_ARENA_DISTANCES",9015,9700,6732,4232
"001:07:03.613","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.614","","","","","","ZONE_DISTANCES",21091,21292,14392,24450,15780,15221,4322,7263
"001:07:03.614","","","","","","ZONE_TIMERS",144.526,155.832,120.683,179.674,153.227,147.131,39.550,260.807
"001:07:03.615","","","","","","ZONE_COUNTERS",69,69,30,31,40,41,11,12
"001:07:03.615","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.616","","","","","","TOTAL_ARENA_DISTANCES",42382,38842,31002,11585
"001:07:03.616","Info","2019-07-03 01:15:45","Service 'MAGORA' : Execution end"
