"000:00:00.000","Info","2019-07-03 00:08:12","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7521 a7053 a7384 a7185"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.742","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.742","","","","","","ZONE_DISTANCES",14288,20730,14216,17359,15802,18765,17646,22283
"000:35:30.743","","","","","","ZONE_TIMERS",110.400,189.654,127.633,172.420,145.977,154.076,128.210,171.844
"000:35:30.743","","","","","","ZONE_COUNTERS",31,31,34,34,46,45,40,40
"000:35:30.744","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.744","","","","","","TOTAL_ARENA_DISTANCES",35018,31575,34568,39928
"000:40:30.804","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.804","","","","","","ZONE_DISTANCES",7782,24550,12755,19417,16463,16971,18309,19397
"000:40:30.805","","","","","","ZONE_TIMERS",42.189,257.872,99.721,200.340,138.099,161.962,137.814,162.247
"000:40:30.805","","","","","","ZONE_COUNTERS",25,26,31,32,36,36,50,50
"000:40:30.806","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.806","","","","","","TOTAL_ARENA_DISTANCES",32332,32172,33433,37707
"000:45:30.896","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.896","","","","","","ZONE_DISTANCES",19109,26940,21645,18822,16637,19061,23183,18338
"000:45:30.897","","","","","","ZONE_TIMERS",100.335,199.756,184.484,115.607,139.515,160.576,166.947,133.144
"000:45:30.897","","","","","","ZONE_COUNTERS",46,46,54,54,42,43,55,55
"000:45:30.898","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.898","","","","","","TOTAL_ARENA_DISTANCES",46049,40467,35698,41521
"000:50:30.971","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.972","","","","","","ZONE_DISTANCES",21315,21571,17043,23015,14916,18387,18522,21531
"000:50:30.972","","","","","","ZONE_TIMERS",132.765,167.309,97.400,202.675,90.781,209.293,127.616,172.458
"000:50:30.972","","","","","","ZONE_COUNTERS",48,48,54,53,42,43,52,53
"000:50:30.973","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.973","","","","","","TOTAL_ARENA_DISTANCES",42886,40058,33303,40053
"000:55:31.060","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:31.062","","","","","","ZONE_DISTANCES",24052,23625,22859,15895,14612,20728,20496,18810
"000:55:31.064","","","","","","ZONE_TIMERS",155.233,144.854,209.169,90.919,130.191,169.896,159.388,140.699
"000:55:31.066","","","","","","ZONE_COUNTERS",53,54,56,56,55,56,50,51
"000:55:31.067","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.069","","","","","","TOTAL_ARENA_DISTANCES",47677,38754,35340,39306
