"000:00:00.000","Info","2019-07-04 04:08:43","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7450 a7428 a8053 a6863"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.665","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.667","","","","","","ZONE_DISTANCES",47565,29014,32213,32523,15082,16905,1857,45369
"000:35:30.669","","","","","","ZONE_TIMERS",182.926,117.143,176.974,123.094,163.886,136.182,10.355,289.713
"000:35:30.670","","","","","","ZONE_COUNTERS",88,88,79,80,44,44,13,14
"000:35:30.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.673","","","","","","TOTAL_ARENA_DISTANCES",76579,64736,31986,47226
"000:40:30.753","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.754","","","","","","ZONE_DISTANCES",30349,3405,18060,29705,13195,14601,27200,4942
"000:40:30.754","","","","","","ZONE_TIMERS",289.442,10.645,92.771,207.316,133.363,166.725,258.012,42.076
"000:40:30.754","","","","","","ZONE_COUNTERS",23,23,49,50,31,31,34,34
"000:40:30.755","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.755","","","","","","TOTAL_ARENA_DISTANCES",33754,47765,27797,32142
"000:45:30.809","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.809","","","","","","ZONE_DISTANCES",12015,23032,26173,19742,14102,14964,302,42497
"000:45:30.810","","","","","","ZONE_TIMERS",78.282,221.773,201.344,98.710,154.407,145.648,1.909,298.146
"000:45:30.810","","","","","","ZONE_COUNTERS",30,29,53,54,44,43,1,1
"000:45:30.811","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.811","","","","","","TOTAL_ARENA_DISTANCES",35047,45915,29065,42799
"000:50:30.880","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.881","","","","","","ZONE_DISTANCES",28060,1494,19816,25398,15957,9007,30962,1817
"000:50:30.881","","","","","","ZONE_TIMERS",291.204,8.866,117.482,182.589,215.069,85.001,294.564,5.506
"000:50:30.882","","","","","","ZONE_COUNTERS",11,10,50,51,24,23,13,13
"000:50:30.882","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.882","","","","","","TOTAL_ARENA_DISTANCES",29554,45214,24965,32779
"000:55:30.933","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.933","","","","","","ZONE_DISTANCES",8029,26958,24406,21051,10725,18878,469,32464
"000:55:30.934","","","","","","ZONE_TIMERS",34.486,265.565,188.531,111.521,88.437,211.614,2.918,297.134
"000:55:30.934","","","","","","ZONE_COUNTERS",36,36,52,52,40,40,1,1
"000:55:30.935","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.935","","","","","","TOTAL_ARENA_DISTANCES",34987,45457,29603,32934
"001:00:31.013","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.013","","","","","","ZONE_DISTANCES",26825,352,21262,22521,19827,4367,24193,721
"001:00:31.014","","","","","","ZONE_TIMERS",298.538,1.541,136.728,163.351,261.543,38.536,294.712,5.367
"001:00:31.014","","","","","","ZONE_COUNTERS",4,4,54,53,25,25,1,1
"001:00:31.015","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.015","","","","","","TOTAL_ARENA_DISTANCES",27177,43783,24195,24913
"001:00:31.117","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.119","","","","","","ZONE_DISTANCES",152843,84255,141930,150940,88888,78722,84983,127810
"001:00:31.120","","","","","","ZONE_TIMERS",1174.887,625.535,913.838,886.584,1016.714,783.708,862.477,937.945
"001:00:31.122","","","","","","ZONE_COUNTERS",189,188,336,336,205,204,61,61
"001:00:31.124","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.125","","","","","","TOTAL_ARENA_DISTANCES",237098,292870,167610,212792
