"000:00:00.000","Info","2019-07-04 02:22:39","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7195 a7650 a7151 a7617"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.635","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.636","","","","","","ZONE_DISTANCES",2472,21227,15275,22515,26567,11287,13201,14823
"000:35:30.636","","","","","","ZONE_TIMERS",25.556,274.504,111.583,188.477,195.998,104.062,139.513,160.547
"000:35:30.637","","","","","","ZONE_COUNTERS",18,19,39,39,54,54,33,33
"000:35:30.637","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.637","","","","","","TOTAL_ARENA_DISTANCES",23698,37790,37854,28024
"000:40:30.727","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.727","","","","","","ZONE_DISTANCES",15600,10732,18153,17865,17168,20360,13077,13810
"000:40:30.728","","","","","","ZONE_TIMERS",186.753,113.338,149.277,150.814,153.779,146.311,152.149,147.942
"000:40:30.728","","","","","","ZONE_COUNTERS",31,31,43,42,59,58,35,36
"000:40:30.729","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.729","","","","","","TOTAL_ARENA_DISTANCES",26333,36018,37528,26887
