"000:00:00.000","Info","2019-07-04 00:27:56","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7653 a7695 a7385 a7626"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.769","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.770","","","","","","ZONE_DISTANCES",7040,5475,26127,20385,5233,30207,21517,25409
"000:35:30.770","","","","","","ZONE_TIMERS",287.317,12.749,227.969,72.098,48.574,251.493,121.906,178.161
"000:35:30.771","","","","","","ZONE_COUNTERS",17,16,54,54,31,31,48,48
"000:35:30.771","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.771","","","","","","TOTAL_ARENA_DISTANCES",12516,46512,35440,46926
"000:40:30.841","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.841","","","","","","ZONE_DISTANCES",0,0,34059,28761,24600,7213,18768,27934
"000:40:30.842","","","","","","ZONE_TIMERS",300.071,0.000,184.315,115.756,230.270,69.801,105.662,194.409
"000:40:30.842","","","","","","ZONE_COUNTERS",1,0,77,78,27,27,42,43
"000:40:30.842","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.843","","","","","","TOTAL_ARENA_DISTANCES",0,62820,31814,46702
"000:45:30.924","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.924","","","","","","ZONE_DISTANCES",0,0,35153,33328,522,29238,15002,25467
"000:45:30.925","","","","","","ZONE_TIMERS",300.083,0.000,163.000,137.082,3.978,296.104,92.712,207.370
"000:45:30.925","","","","","","ZONE_COUNTERS",1,0,90,90,2,2,38,38
"000:45:30.925","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.926","","","","","","TOTAL_ARENA_DISTANCES",0,68481,29760,40469
"000:50:30.991","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:30.991","","","","","","ZONE_DISTANCES",0,0,33397,29719,28105,933,27844,28603
"000:50:30.991","","","","","","ZONE_TIMERS",300.066,0.000,163.494,136.571,290.335,9.731,158.134,141.932
"000:50:30.992","","","","","","ZONE_COUNTERS",1,0,79,78,2,2,73,72
"000:50:30.992","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.993","","","","","","TOTAL_ARENA_DISTANCES",0,63116,29038,56447
"000:55:31.043","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:31.043","","","","","","ZONE_DISTANCES",7,0,42741,40037,482,30466,25805,30868
"000:55:31.044","","","","","","ZONE_TIMERS",300.052,0.000,163.762,136.289,4.665,295.386,133.550,166.501
"000:55:31.044","","","","","","ZONE_COUNTERS",1,0,110,109,2,2,69,69
"000:55:31.044","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.045","","","","","","TOTAL_ARENA_DISTANCES",6,82778,30948,56673
"001:00:31.103","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:31.104","","","","","","ZONE_DISTANCES",4668,4172,41540,35332,27730,878,19801,25966
"001:00:31.104","","","","","","ZONE_TIMERS",290.879,9.180,167.108,132.951,290.772,9.287,124.653,175.406
"001:00:31.104","","","","","","ZONE_COUNTERS",10,9,101,100,1,1,50,51
"001:00:31.105","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.105","","","","","","TOTAL_ARENA_DISTANCES",8841,76872,28608,45767
"001:00:31.200","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.201","","","","","","ZONE_DISTANCES",11715,9647,213017,187562,86672,98935,128737,164247
"001:00:31.202","","","","","","ZONE_TIMERS",1778.476,21.930,1069.657,730.749,868.602,931.804,736.619,1063.787
"001:00:31.203","","","","","","ZONE_COUNTERS",26,25,508,507,63,62,318,318
"001:00:31.204","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.205","","","","","","TOTAL_ARENA_DISTANCES",21363,400579,185608,292984
"001:03:03.138","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:03:03.139","","","","","","ZONE_DISTANCES",0,0,2518,9396,389,4916,5649,5229
"001:03:03.139","","","","","","ZONE_TIMERS",60.064,0.000,10.381,49.683,5.310,54.754,31.450,28.614
"001:03:03.140","","","","","","ZONE_COUNTERS",1,0,16,16,1,1,15,14
"001:03:03.140","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.140","","","","","","TOTAL_ARENA_DISTANCES",0,11913,5305,10878
"001:04:03.220","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:04:03.220","","","","","","ZONE_DISTANCES",0,0,9875,1027,5227,489,5776,5709
"001:04:03.221","","","","","","ZONE_TIMERS",60.081,0.000,56.198,3.883,55.302,4.779,32.908,27.173
"001:04:03.221","","","","","","ZONE_COUNTERS",1,0,10,10,1,1,16,16
"001:04:03.222","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.222","","","","","","TOTAL_ARENA_DISTANCES",0,10902,5715,11485
"001:05:03.284","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"001:05:03.285","","","","","","ZONE_DISTANCES",0,0,1190,10991,441,6023,5529,6145
"001:05:03.285","","","","","","ZONE_TIMERS",60.064,0.000,5.640,54.423,4.699,55.364,31.274,28.789
"001:05:03.286","","","","","","ZONE_COUNTERS",1,0,11,11,1,1,16,16
