"000:00:00.000","Info","2019-07-04 02:22:13","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7058 a6936 a7489 a7588"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.594","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.595","","","","","","ZONE_DISTANCES",19063,23652,14844,20178,12642,17362,14685,20054
"000:35:30.595","","","","","","ZONE_TIMERS",154.275,145.778,139.017,161.037,157.704,142.349,131.975,168.078
"000:35:30.596","","","","","","ZONE_COUNTERS",50,50,45,45,30,30,33,33
"000:35:30.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.597","","","","","","TOTAL_ARENA_DISTANCES",42715,35022,30004,34738
"000:40:30.656","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.657","","","","","","ZONE_DISTANCES",17104,21650,16274,14597,2485,3295,12015,13863
"000:40:30.657","","","","","","ZONE_TIMERS",92.010,208.051,148.622,151.439,19.007,281.054,91.584,208.477
"000:40:30.658","","","","","","ZONE_COUNTERS",45,45,41,41,7,7,28,28
"000:40:30.658","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.659","","","","","","TOTAL_ARENA_DISTANCES",38755,30871,5780,25878
"000:45:30.740","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.740","","","","","","ZONE_DISTANCES",16182,17279,15237,17651,3413,2999,12758,15428
"000:45:30.740","","","","","","ZONE_TIMERS",161.366,138.716,141.017,159.065,279.974,20.108,148.652,151.430
"000:45:30.741","","","","","","ZONE_COUNTERS",37,36,43,43,7,7,34,33
"000:45:30.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.742","","","","","","TOTAL_ARENA_DISTANCES",33461,32888,6413,28186
"000:50:30.826","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.826","","","","","","ZONE_DISTANCES",17817,15316,17887,14501,3556,6348,12384,13018
"000:50:30.827","","","","","","ZONE_TIMERS",139.441,160.645,161.687,138.398,24.554,275.532,120.774,179.312
"000:50:30.828","","","","","","ZONE_COUNTERS",42,42,43,42,10,10,28,28
"000:50:30.828","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.828","","","","","","TOTAL_ARENA_DISTANCES",33133,32388,9904,25402
"000:55:30.916","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.916","","","","","","ZONE_DISTANCES",14435,12481,16354,17207,6661,4392,13993,14640
"000:55:30.917","","","","","","ZONE_TIMERS",209.355,90.734,148.571,151.518,277.114,22.975,151.291,148.798
"000:55:30.917","","","","","","ZONE_COUNTERS",34,34,45,45,10,11,33,33
"000:55:30.918","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.918","","","","","","TOTAL_ARENA_DISTANCES",26916,33561,11053,28633
"001:00:30.991","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:30.991","","","","","","ZONE_DISTANCES",15059,14408,18554,14053,2257,4192,12784,14733
"001:00:30.992","","","","","","ZONE_TIMERS",116.247,183.827,167.339,132.735,8.246,291.828,128.299,171.775
"001:00:30.992","","","","","","ZONE_COUNTERS",34,34,44,45,6,7,33,32
"001:00:30.993","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.993","","","","","","TOTAL_ARENA_DISTANCES",29467,32607,6448,27517
"001:00:31.063","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.066","","","","","","ZONE_DISTANCES",99660,104786,99150,98187,31014,38588,78619,91736
"001:00:31.068","","","","","","ZONE_TIMERS",872.697,927.759,906.256,894.200,766.601,1033.855,772.584,1027.872
"001:00:31.069","","","","","","ZONE_COUNTERS",239,239,258,259,68,69,186,185
"001:00:31.071","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.073","","","","","","TOTAL_ARENA_DISTANCES",204446,197337,69602,170355
"001:03:03.319","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.320","","","","","","ZONE_DISTANCES",2678,3714,2106,5759,129,0,2610,3034
"001:03:03.320","","","","","","ZONE_TIMERS",35.864,24.210,16.524,43.550,60.075,0.000,30.067,30.007
"001:03:03.321","","","","","","ZONE_COUNTERS",7,7,15,15,1,0,7,8
"001:03:03.321","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.322","","","","","","TOTAL_ARENA_DISTANCES",6392,7865,129,5644
"001:04:03.388","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:03.391","","","","","","ZONE_DISTANCES",5209,4906,5664,1751,1139,675,2939,2776
"001:04:03.393","","","","","","ZONE_TIMERS",27.700,32.367,44.341,15.726,13.847,46.220,26.199,33.868
"001:04:03.395","","","","","","ZONE_COUNTERS",13,14,12,13,2,2,7,8
"001:04:03.397","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.399","","","","","","TOTAL_ARENA_DISTANCES",10115,7415,1814,5715
"001:05:03.479","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:03.480","","","","","","ZONE_DISTANCES",3676,3675,3207,3175,651,450,2718,3041
"001:05:03.480","","","","","","ZONE_TIMERS",38.343,21.748,33.740,26.351,54.399,5.692,28.257,31.834
"001:05:03.481","","","","","","ZONE_COUNTERS",9,9,10,10,2,2,7,8
"001:05:03.481","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.482","","","","","","TOTAL_ARENA_DISTANCES",7350,6382,1101,5759
"001:06:03.565","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:06:03.566","","","","","","ZONE_DISTANCES",7418,6575,4924,2677,716,377,2247,2979
"001:06:03.566","","","","","","ZONE_TIMERS",26.436,33.649,38.041,22.044,8.295,51.790,23.774,36.311
"001:06:03.567","","","","","","ZONE_COUNTERS",17,17,13,12,1,1,7,8
"001:06:03.568","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.568","","","","","","TOTAL_ARENA_DISTANCES",13994,7601,1093,5225
