"000:00:00.000","Info","2019-07-08 02:27:19","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7185 a7521 a7053 a7384"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.647","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.647","","","","","","ZONE_DISTANCES",25153,32476,22576,8518,21076,20825,22771,2997
"000:35:30.648","","","","","","ZONE_TIMERS",143.222,156.840,219.462,80.600,148.911,151.151,268.176,31.885
"000:35:30.648","","","","","","ZONE_COUNTERS",66,65,42,41,44,43,29,29
"000:35:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.649","","","","","","TOTAL_ARENA_DISTANCES",57629,31094,41900,25768
"000:40:30.701","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.702","","","","","","ZONE_DISTANCES",16505,17455,3298,26522,3596,38214,1038,25503
"000:40:30.702","","","","","","ZONE_TIMERS",202.231,97.822,25.288,274.766,24.980,275.074,8.148,291.906
"000:40:30.702","","","","","","ZONE_COUNTERS",34,34,21,21,50,50,10,10
"000:40:30.703","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.703","","","","","","TOTAL_ARENA_DISTANCES",33960,29821,41811,26541
"000:45:30.791","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.792","","","","","","ZONE_DISTANCES",21273,28604,26328,2173,28996,6545,22436,268
"000:45:30.792","","","","","","ZONE_TIMERS",129.527,170.562,284.525,15.564,252.726,47.363,297.098,2.991
"000:45:30.793","","","","","","ZONE_COUNTERS",60,61,13,13,51,51,2,2
"000:45:30.793","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.793","","","","","","TOTAL_ARENA_DISTANCES",49878,28501,35541,22703
"000:50:30.860","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.861","","","","","","ZONE_DISTANCES",19583,23067,3842,27325,16480,33987,2107,24553
"000:50:30.861","","","","","","ZONE_TIMERS",167.710,132.357,20.872,279.196,106.571,193.497,21.698,278.370
"000:50:30.862","","","","","","ZONE_COUNTERS",55,55,21,21,75,74,13,13
"000:50:30.862","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.862","","","","","","TOTAL_ARENA_DISTANCES",42650,31167,50466,26661
"000:55:30.947","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.947","","","","","","ZONE_DISTANCES",17700,27926,29973,3152,28568,6018,22473,326
"000:55:30.948","","","","","","ZONE_TIMERS",112.037,188.049,283.849,16.236,254.980,45.105,297.605,2.480
