"000:00:00.000","Info","2019-07-08 04:40:29","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7289 a7507 a7648 a7426"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.662","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.665","","","","","","ZONE_DISTANCES",17119,27211,22228,28900,26399,42602,17143,21578
"000:35:30.667","","","","","","ZONE_TIMERS",109.750,190.310,127.992,172.069,111.999,188.062,133.478,166.583
"000:35:30.669","","","","","","ZONE_COUNTERS",57,58,74,75,77,77,48,49
"000:35:30.671","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.673","","","","","","TOTAL_ARENA_DISTANCES",44329,51128,69001,38721
"000:40:30.835","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.836","","","","","","ZONE_DISTANCES",25810,28254,28016,24318,32990,39073,16842,22683
"000:40:30.836","","","","","","ZONE_TIMERS",136.951,163.222,168.959,131.214,127.045,173.128,121.519,178.654
"000:40:30.837","","","","","","ZONE_COUNTERS",85,85,66,66,107,106,48,48
"000:40:30.838","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.838","","","","","","TOTAL_ARENA_DISTANCES",54064,52334,72063,39526
"000:45:30.991","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:30.991","","","","","","ZONE_DISTANCES",25121,26375,25054,24041,27291,32335,18509,21570
"000:45:30.992","","","","","","ZONE_TIMERS",148.864,151.291,155.243,144.911,142.544,157.610,142.206,157.949
"000:45:30.992","","","","","","ZONE_COUNTERS",95,95,67,67,85,84,56,55
"000:45:30.993","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.993","","","","","","TOTAL_ARENA_DISTANCES",51496,49096,59626,40079
"000:50:31.148","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.149","","","","","","ZONE_DISTANCES",25907,22576,26787,24027,27114,27371,16385,19650
"000:50:31.150","","","","","","ZONE_TIMERS",149.504,150.652,161.887,138.270,141.913,158.244,126.985,173.171
"000:50:31.150","","","","","","ZONE_COUNTERS",92,93,66,66,79,79,46,46
"000:50:31.151","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.151","","","","","","TOTAL_ARENA_DISTANCES",48484,50814,54485,36035
"000:55:31.338","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.339","","","","","","ZONE_DISTANCES",20109,22868,23033,24819,37991,32476,15720,21077
"000:55:31.340","","","","","","ZONE_TIMERS",139.020,161.169,145.744,154.445,171.013,129.176,129.389,170.800
"000:55:31.340","","","","","","ZONE_COUNTERS",74,74,58,58,105,106,44,45
"000:55:31.341","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.341","","","","","","TOTAL_ARENA_DISTANCES",42977,47851,70467,36797
