"000:00:00.000","Info","2019-07-08 00:44:45","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7373 a7102 a6943 a6873"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.814","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.815","","","","","","ZONE_DISTANCES",21960,3139,15563,19358,11227,24821,15856,22617
"000:35:30.816","","","","","","ZONE_TIMERS",271.165,28.882,138.193,161.854,90.933,209.114,115.039,185.008
"000:35:30.816","","","","","","ZONE_COUNTERS",29,28,54,54,46,47,44,44
"000:35:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.817","","","","","","TOTAL_ARENA_DISTANCES",25099,34921,36048,38473
"000:40:30.970","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.971","","","","","","ZONE_DISTANCES",20575,506,13747,20271,12168,19830,14266,18430
"000:40:30.971","","","","","","ZONE_TIMERS",294.395,5.760,122.186,177.969,110.362,189.793,105.942,194.213
"000:40:30.972","","","","","","ZONE_COUNTERS",7,6,37,37,40,40,42,42
"000:40:30.972","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.973","","","","","","TOTAL_ARENA_DISTANCES",21081,34017,31997,32695
"000:45:31.144","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.145","","","","","","ZONE_DISTANCES",17104,2411,20348,17633,14276,19957,16232,19125
"000:45:31.145","","","","","","ZONE_TIMERS",278.173,22.000,165.205,134.968,128.629,171.543,128.905,171.268
"000:45:31.146","","","","","","ZONE_COUNTERS",27,26,58,59,60,60,43,43
"000:45:31.146","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.147","","","","","","TOTAL_ARENA_DISTANCES",19515,37981,34233,35357
"000:50:31.299","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.300","","","","","","ZONE_DISTANCES",16871,17922,17170,18407,15364,17222,14986,18093
"000:50:31.301","","","","","","ZONE_TIMERS",115.780,184.375,134.977,165.177,130.143,170.011,118.642,181.512
"000:50:31.301","","","","","","ZONE_COUNTERS",57,56,56,56,48,49,43,43
"000:50:31.302","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.302","","","","","","TOTAL_ARENA_DISTANCES",34793,35577,32586,33079
"000:55:31.459","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.460","","","","","","ZONE_DISTANCES",16879,8120,19592,16684,17159,15923,17056,19341
"000:55:31.460","","","","","","ZONE_TIMERS",229.774,70.384,166.449,133.709,159.217,140.942,125.672,174.487
"000:55:31.461","","","","","","ZONE_COUNTERS",42,41,55,54,48,49,45,46
"000:55:31.461","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.462","","","","","","TOTAL_ARENA_DISTANCES",24998,36275,33083,36398
"001:00:31.599","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.599","","","","","","ZONE_DISTANCES",15390,10089,15277,17301,15534,18317,17074,19824
"001:00:31.600","","","","","","ZONE_TIMERS",153.586,146.552,132.273,167.866,124.776,175.362,117.677,182.461
"001:00:31.601","","","","","","ZONE_COUNTERS",46,45,54,54,56,57,44,45
"001:00:31.601","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.601","","","","","","TOTAL_ARENA_DISTANCES",25479,32578,33851,36898
"001:00:31.675","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.676","","","","","","ZONE_DISTANCES",108779,42187,101697,109654,85728,116070,95470,117430
"001:00:31.677","","","","","","ZONE_TIMERS",1342.882,457.956,859.286,941.552,744.063,1056.775,711.879,1088.959
"001:00:31.677","","","","","","ZONE_COUNTERS",203,202,311,312,297,298,259,260
"001:00:31.678","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.678","","","","","","TOTAL_ARENA_DISTANCES",150966,211351,201798,212900
"001:03:04.610","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.611","","","","","","ZONE_DISTANCES",191,2102,2435,3446,609,4373,1675,4757
"001:03:04.611","","","","","","ZONE_TIMERS",5.251,54.826,24.486,35.591,6.157,53.920,13.977,46.100
"001:03:04.612","","","","","","ZONE_COUNTERS",2,2,10,10,9,8,10,10
"001:03:04.613","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.613","","","","","","TOTAL_ARENA_DISTANCES",2293,5882,4981,6431
"001:04:04.803","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.804","","","","","","ZONE_DISTANCES",1109,218,2658,3395,4533,1715,1975,3293
"001:04:04.804","","","","","","ZONE_TIMERS",57.333,2.859,24.539,35.653,40.872,19.320,15.977,44.215
"001:04:04.805","","","","","","ZONE_COUNTERS",2,2,10,10,9,8,8,7
"001:04:04.805","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.806","","","","","","TOTAL_ARENA_DISTANCES",1327,6052,6249,5269
"001:05:04.986","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.987","","","","","","ZONE_DISTANCES",1297,476,2902,3761,1710,5439,2349,3912
"001:05:04.987","","","","","","ZONE_TIMERS",54.948,5.234,27.409,32.773,13.535,46.647,18.408,41.774
"001:05:04.988","","","","","","ZONE_COUNTERS",4,3,8,9,12,11,9,8
"001:05:04.988","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.989","","","","","","TOTAL_ARENA_DISTANCES",1773,6663,7148,6261
"001:06:05.147","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:05.148","","","","","","ZONE_DISTANCES",2736,94,6474,7245,4522,4634,2322,3767
"001:06:05.149","","","","","","ZONE_TIMERS",59.426,0.734,20.159,40.002,28.318,31.842,21.142,39.019
"001:06:05.150","","","","","","ZONE_COUNTERS",2,1,17,18,16,16,8,8
"001:06:05.150","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:05.151","","","","","","TOTAL_ARENA_DISTANCES",2830,13719,9156,6089
"001:07:05.326","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:05.327","","","","","","ZONE_DISTANCES",1187,1150,14585,11636,1414,6550,2577,3481
"001:07:05.328","","","","","","ZONE_TIMERS",40.377,19.800,35.171,25.007,11.121,49.056,22.890,37.287
"001:07:05.329","","","","","","ZONE_COUNTERS",9,8,43,44,11,12,8,8
"001:07:05.330","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
