"000:00:00.000","Info","2019-07-08 02:26:44","Service 'REDYEL' : Execution start"
"000:00:00.000","Info","Subject Identification","a7270 a6888 a7624 a6988"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.613","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:35:30.613","","","","","","ZONE_DISTANCES",17215,17937,13774,19990,17676,7309,15619,11185
"000:35:30.614","","","","","","ZONE_TIMERS",164.683,135.393,129.697,170.380,234.272,65.805,188.704,111.373
"000:35:30.614","","","","","","ZONE_COUNTERS",40,40,41,41,20,20,39,39
"000:35:30.615","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.615","","","","","","TOTAL_ARENA_DISTANCES",35152,33765,24985,26804
"000:40:30.708","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:40:30.709","","","","","","ZONE_DISTANCES",18553,22787,13213,15046,7818,19659,12788,15357
"000:40:30.709","","","","","","ZONE_TIMERS",115.244,184.851,126.273,173.821,64.911,235.184,121.361,178.734
"000:40:30.710","","","","","","ZONE_COUNTERS",51,52,28,29,21,20,33,33
"000:40:30.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.711","","","","","","TOTAL_ARENA_DISTANCES",41340,28258,27477,28145
"000:45:30.784","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:45:30.787","","","","","","ZONE_DISTANCES",20979,13649,13720,20834,17364,6231,15631,12266
"000:45:30.789","","","","","","ZONE_TIMERS",199.790,100.285,115.993,184.082,248.366,51.709,183.567,116.508
"000:45:30.791","","","","","","ZONE_COUNTERS",37,37,42,42,17,16,36,36
"000:45:30.793","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.795","","","","","","TOTAL_ARENA_DISTANCES",34628,34555,23595,27897
"000:50:30.872","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"000:50:30.873","","","","","","ZONE_DISTANCES",14290,17996,20767,19165,9647,17324,12721,15740
"000:50:30.873","","","","","","ZONE_TIMERS",116.894,183.194,144.820,155.268,89.661,210.427,120.196,179.892
"000:50:30.874","","","","","","ZONE_COUNTERS",34,33,52,52,22,22,39,40
"000:50:30.875","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.875","","","","","","TOTAL_ARENA_DISTANCES",32286,39931,26971,28461
"000:55:30.975","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"000:55:30.976","","","","","","ZONE_DISTANCES",16780,13445,18132,20982,17509,5124,15065,12709
"000:55:30.977","","","","","","ZONE_TIMERS",194.098,106.004,146.605,153.497,259.450,40.652,174.902,125.200
"000:55:30.977","","","","","","ZONE_COUNTERS",34,34,58,59,14,14,35,36
"000:55:30.978","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.978","","","","","","TOTAL_ARENA_DISTANCES",30225,39114,22634,27774
"001:00:31.064","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:00:31.065","","","","","","ZONE_DISTANCES",13406,19631,17159,17398,11711,15833,12599,15320
"001:00:31.066","","","","","","ZONE_TIMERS",93.186,206.902,134.848,165.240,107.571,192.517,123.205,176.883
"001:00:31.066","","","","","","ZONE_COUNTERS",33,33,40,40,22,22,33,33
"001:00:31.067","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.067","","","","","","TOTAL_ARENA_DISTANCES",33038,34558,27543,27919
"001:00:31.147","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.148","","","","","","ZONE_DISTANCES",101223,105445,96765,113415,81725,71480,84423,82577
"001:00:31.149","","","","","","ZONE_TIMERS",883.904,916.631,798.244,1002.291,1004.233,796.302,911.943,888.592
"001:00:31.149","","","","","","ZONE_COUNTERS",227,226,260,259,112,113,214,213
"001:00:31.150","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.150","","","","","","TOTAL_ARENA_DISTANCES",206668,210181,153205,167000
"001:03:03.631","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:03:03.631","","","","","","ZONE_DISTANCES",4634,893,3161,3482,3084,1209,3287,3075
"001:03:03.632","","","","","","ZONE_TIMERS",55.251,4.840,31.604,28.488,50.946,9.145,32.630,27.461
"001:03:03.633","","","","","","ZONE_COUNTERS",4,3,7,8,4,3,8,9
"001:03:03.633","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.634","","","","","","TOTAL_ARENA_DISTANCES",5527,6643,4293,6362
"001:04:03.707","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_YELNON","ARENA1_ZONE2_REDCS","ARENA2_ZONE1_YELNON","ARENA2_ZONE2_REDCS","ARENA3_ZONE1_YELNON","ARENA3_ZONE2_REDCS","ARENA4_ZONE1_YELNON","ARENA4_ZONE2_REDCS"
"001:04:03.708","","","","","","ZONE_DISTANCES",3286,4250,2469,4355,1668,3518,2997,2145
"001:04:03.708","","","","","","ZONE_TIMERS",17.561,42.515,17.103,42.972,14.868,45.207,36.867,23.208
"001:04:03.709","","","","","","ZONE_COUNTERS",7,7,6,7,4,4,6,6
"001:04:03.710","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.710","","","","","","TOTAL_ARENA_DISTANCES",7536,6824,5186,5142
"001:05:03.782","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_REDCS","ARENA1_ZONE2_YELNON","ARENA2_ZONE1_REDCS","ARENA2_ZONE2_YELNON","ARENA3_ZONE1_REDCS","ARENA3_ZONE2_YELNON","ARENA4_ZONE1_REDCS","ARENA4_ZONE2_YELNON"
"001:05:03.783","","","","","","ZONE_DISTANCES",3873,1533,3008,3389,3145,1173,3720,2570
