"000:00:00.000","Info","2019-07-08 02:26:49","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a6830 a8040 a7120 a6921"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.614","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.614","","","","","","ZONE_DISTANCES",19112,16657,8328,30557,9602,26856,12683,13968
"000:35:30.615","","","","","","ZONE_TIMERS",120.949,179.143,55.819,244.273,59.718,240.373,137.809,162.283
"000:35:30.615","","","","","","ZONE_COUNTERS",40,39,42,42,36,36,30,30
"000:35:30.616","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.616","","","","","","TOTAL_ARENA_DISTANCES",35769,38885,36458,26651
"000:40:30.708","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.708","","","","","","ZONE_DISTANCES",18198,19292,56307,484,24646,6563,8589,19649
"000:40:30.708","","","","","","ZONE_TIMERS",185.189,114.903,298.469,1.624,253.540,46.553,73.052,227.041
"000:40:30.709","","","","","","ZONE_COUNTERS",47,46,3,3,25,25,25,25
"000:40:30.709","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.710","","","","","","TOTAL_ARENA_DISTANCES",37490,56791,31210,28238
