"000:00:00.000","Info","2019-07-08 04:40:38","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7364 a7303 a7341 a7745"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.581","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.581","","","","","","ZONE_DISTANCES",20031,30765,21324,17523,13820,23085,19893,19713
"000:35:30.582","","","","","","ZONE_TIMERS",101.727,198.352,156.836,143.243,71.607,228.473,141.167,158.913
"000:35:30.582","","","","","","ZONE_COUNTERS",50,50,34,34,35,35,45,45
"000:35:30.583","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.583","","","","","","TOTAL_ARENA_DISTANCES",50795,38847,36905,39606
"000:40:30.672","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.672","","","","","","ZONE_DISTANCES",22229,24860,17962,21017,6210,3998,18778,16560
"000:40:30.673","","","","","","ZONE_TIMERS",138.620,161.470,158.685,141.405,275.155,24.935,212.204,87.886
"000:40:30.673","","","","","","ZONE_COUNTERS",41,42,42,41,10,10,41,40
"000:40:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.674","","","","","","TOTAL_ARENA_DISTANCES",47090,38979,10208,35338
"000:45:30.727","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:45:30.728","","","","","","ZONE_DISTANCES",31383,34708,19604,19346,9242,9760,18777,18388
"000:45:30.728","","","","","","ZONE_TIMERS",124.243,175.811,131.206,168.849,58.776,241.278,121.514,178.540
"000:45:30.729","","","","","","ZONE_COUNTERS",83,84,46,45,21,20,45,44
"000:45:30.729","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.729","","","","","","TOTAL_ARENA_DISTANCES",66090,38950,19002,37165
"000:50:30.793","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:50:30.793","","","","","","ZONE_DISTANCES",28905,26508,19922,16212,3847,2708,18154,13851
"000:50:30.794","","","","","","ZONE_TIMERS",192.416,107.648,186.897,113.167,295.155,4.909,239.041,61.024
"000:50:30.794","","","","","","ZONE_COUNTERS",62,62,41,40,7,6,38,38
"000:50:30.795","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.795","","","","","","TOTAL_ARENA_DISTANCES",55413,36134,6555,32005
"000:55:30.885","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:55:30.886","","","","","","ZONE_DISTANCES",16371,23615,17134,17631,9875,9353,18513,17096
"000:55:30.886","","","","","","ZONE_TIMERS",80.677,219.415,136.185,163.907,48.051,252.041,118.248,181.844
"000:55:30.887","","","","","","ZONE_COUNTERS",50,49,42,42,20,20,43,44
"000:55:30.887","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.888","","","","","","TOTAL_ARENA_DISTANCES",39987,34766,19228,35609
"001:00:30.984","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"001:00:30.984","","","","","","ZONE_DISTANCES",25696,18630,16610,13776,6478,4364,17902,15391
"001:00:30.985","","","","","","ZONE_TIMERS",218.204,81.894,174.872,125.225,279.343,20.755,194.052,106.045
"001:00:30.985","","","","","","ZONE_COUNTERS",55,54,36,36,11,11,40,41
"001:00:30.986","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.986","","","","","","TOTAL_ARENA_DISTANCES",44326,30386,10842,33294
