mark,sex,updatedsex,fishID,tank
Gre.Pin,female,male,a6830,G0203
_.Pin,female,female,a8040,G0203
Yel.Yel,male,male,a7120,G0203
Bla._,male,male,a6921,G0203
Blu.Bro,female,male,a7743,G0203
Blu.Gre,female,female,a7205,G0203
Blu.Yel,male,female,a7704,G0203
Red.Gre,male,male,a7329,G0203
Gre._,female,female,a7289,G0203
Gre.Blu,female,female,a7507,G0203
Whi.Yel,male,male,a7648,G0203
Gre.Gre,male,male,a7426,G0203
Ora.Bro,female,male,a7584,G0203
Ora.Ora,female,male,a7447,G0203
Gre.Yel,male,male,a7012,G0203
Red.Bro,male,male,a7097,G0203
Pur.Red,female,male,a7270,G0203
Red._,female,male,a6888,G0203
Pin.Ora,female,male,a7624,G0203
Red.Pur,male,male,a6988,G0203
Whi.Red,male,male,a7185,G0203
Gre.Bro,female,female,a7521,G0203
Bro.Gre,female,female,a7053,G0203
_.Red,female,male,a7384,G0203
Bla.Pur,female,male,a7606,G0205
Blu.Blu,female,female,a6880,G0205
Bla._,male,male,a8104,G0205
Bla.Ora,male,male,a7146,G0205
Gre.Gre,female,female,a7509,G0205
Gre.Ora,female,female,a7668,G0205
_.Pin,male,female,a8105,G0205
Blu.Ora,male,male,a7705,G0205
Bro.Bla,female,female,a7364,G0205
Blu.Yel,female,female,a7303,G0205
_._,male,male,a7341,G0205
Blu._,male,male,a7745,G0205
Ora.Whi,female,male,a7557,G0205
Whi.Gre,female,female,a8106,G0205
Pin.Whi,male,male,a7197,G0205
Pur.Ora,male,male,a7271,G0205
Whi.Red,female,male,a7373,G0205
Whi.Whi,female,female,a7102,G0205
Whi.Bla,male,female,a6943,G0205
Pin.Red,male,male,a6873,G0205
Red.Pur ,male ,male,a7042,G0205
Red.Bro,male,male,a6986,G0205
Yel.Bla,female,female,a7586,G0205
Yel.Bro,female,female,a7026,G0205
Pin.Gre,female,female,a7626,G0206
Pin._,male,female,a7653,G0206
Pin.Red,female,male,a7695,G0206
Red._,female,female,a7385,G0206
Red.Red,female,female,a6984,G0206
Gre.Yel,female,female,a7587,G0206
Ora.Red,male,male,a7066,G0206
_.Bro,male,female,a7085,G0206
Yel._,female,female,a7208,G0206
Bla.Ora,female,male,a7174,G0206
_.Yel,male,male,a7119,G0206
Whi.Red,male,male,a7265,G0206
Ora.Ora,female,female,a6900,G0206
Gre.Gre,female,female,a7523,G0206
Pur.Red,male,male,a7733,G0206
Ora.Blu,male,male,a7410,G0206
Ora.Bla,female,male,a7449,G0206
Gre.Bla,female,male,a7510,G0206
Yel.Blu,male,male,a7342,G0206
Blu.Pin,male,male,a7000,G0206
Yel.Ora,female,female,a6818,G0206
Gre._,female,male,a6860,G0206
Pin.Bla,male,male,a7283,G0206
Pur._,male,female,a6944,G0206
Gre.Blu,female,female,a6863,G0208
_._,female,male,a7450,G0208
_.Gre,male,male,a7428,G0208
_.Whi,male,male,a8053,G0208
_.Yel,male,male,a7331,G0208
Bla.Bla,male,male,a7103,G0208
Pin.Pin,female,male,a7524,G0208
Blu.Blu,female,female,a7304,G0208
Blu.Gre,female,female,a7706,G0208
Blu.Ora,male,male,a7004,G0208
Blu.Pin,female,male,a7746,G0208
Blu.Red,female,female,a6890,G0208
Gre.Whi,female,male,a7588,G0208
Ora._,male,male,a7058,G0208
Pur.Pin,female,male,a6936,G0208
Ora.Bro,female,male,a7489,G0208
Ora.Ora,female,male,a7617,G0208
Pin.Gre,female,male,a7195,G0208
Red._,male,male,a7650,G0208
Ora.Blu,male,male,a7151,G0208
Blu._,female,female,a8107,G0208
Whi.Gre,female,male,a7372,G0208
Whi.Yel,male,male,a7263,G0208
Yel.Bro,male,female,a7209,G0208
Yel._,male,male,a7330,G0203
Pur.Yel,male,male,a7417,G0205
Blu.Whi,female,female,a7463,G0205
,,,,
