"000:00:00.000","Info","2019-09-28 04:11:30","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6830 a8040 a7120 a6921"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.583","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.584","","","","","","ZONE_DISTANCES",23029,17687,15432,23325,15010,15479,12436,8863
"000:35:30.584","","","","","","ZONE_TIMERS",178.772,121.306,103.170,196.909,125.626,174.453,195.862,104.217
"000:35:30.585","","","","","","ZONE_COUNTERS",49,49,57,57,40,39,33,33
"000:35:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.586","","","","","","TOTAL_ARENA_DISTANCES",40717,38757,30488,21300
"000:40:30.669","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.669","","","","","","ZONE_DISTANCES",19136,10593,16349,15277,20403,22037,2398,11229
"000:40:30.670","","","","","","ZONE_TIMERS",252.195,47.889,173.535,126.549,142.071,158.013,46.989,253.095
"000:40:30.671","","","","","","ZONE_COUNTERS",33,33,49,50,50,50,19,18
"000:40:30.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.672","","","","","","TOTAL_ARENA_DISTANCES",29729,31626,42441,13627
"000:45:30.744","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.745","","","","","","ZONE_DISTANCES",13200,12446,16508,16854,8005,9914,15041,1591
"000:45:30.746","","","","","","ZONE_TIMERS",144.884,155.191,139.278,160.797,142.972,157.103,276.157,23.918
"000:45:30.746","","","","","","ZONE_COUNTERS",32,32,47,48,43,44,17,16
"000:45:30.747","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.747","","","","","","TOTAL_ARENA_DISTANCES",25646,33361,17918,16632
"000:50:30.827","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.827","","","","","","ZONE_DISTANCES",12024,8228,20829,21445,11001,8510,3950,12873
"000:50:30.828","","","","","","ZONE_TIMERS",268.939,31.142,153.865,146.217,195.659,104.422,66.086,233.995
"000:50:30.829","","","","","","ZONE_COUNTERS",24,24,62,63,31,32,21,20
"000:50:30.829","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.830","","","","","","TOTAL_ARENA_DISTANCES",20252,42274,19512,16822
"000:55:30.911","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
