"000:00:00.000","Info","2019-09-24 00:27:55","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7743 a7205 a7704 a7329"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.684","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.685","","","","","","ZONE_DISTANCES",41578,24161,53964,66039,26063,6459,20988,24129
"000:35:30.686","","","","","","ZONE_TIMERS",226.224,73.777,131.278,168.723,245.159,54.842,127.291,172.710
"000:35:30.687","","","","","","ZONE_COUNTERS",71,71,135,136,35,36,46,47
"000:35:30.687","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.687","","","","","","TOTAL_ARENA_DISTANCES",65739,120004,32521,45117
"000:40:30.695","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.696","","","","","","ZONE_DISTANCES",20403,42539,40820,67694,12652,22389,27561,21640
"000:40:30.696","","","","","","ZONE_TIMERS",89.383,210.627,89.967,210.043,111.161,188.849,183.644,116.366
"000:40:30.697","","","","","","ZONE_COUNTERS",58,58,105,106,32,32,51,51
"000:40:30.697","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.697","","","","","","TOTAL_ARENA_DISTANCES",62941,108514,35041,49201
"000:45:30.733","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.733","","","","","","ZONE_DISTANCES",22637,40699,32244,69682,11218,24899,25281,34426
"000:45:30.734","","","","","","ZONE_TIMERS",97.695,202.342,76.407,223.629,79.006,221.030,84.013,216.024
"000:45:30.734","","","","","","ZONE_COUNTERS",55,55,84,84,26,26,82,82
"000:45:30.735","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.736","","","","","","TOTAL_ARENA_DISTANCES",63337,101926,36118,59707
"000:50:30.744","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.745","","","","","","ZONE_DISTANCES",29839,53996,25562,43032,7509,10282,7068,33388
"000:50:30.748","","","","","","ZONE_TIMERS",100.419,199.591,144.592,155.418,68.017,231.993,46.120,253.890
"000:50:30.748","","","","","","ZONE_COUNTERS",75,76,64,63,20,21,31,32
"000:50:30.749","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.749","","","","","","TOTAL_ARENA_DISTANCES",83834,68594,17791,40456
"000:55:30.784","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.785","","","","","","ZONE_DISTANCES",25345,32985,14493,38124,15035,27636,33755,4314
"000:55:30.785","","","","","","ZONE_TIMERS",149.707,150.332,78.822,221.218,130.490,169.549,273.259,26.780
"000:55:30.786","","","","","","ZONE_COUNTERS",45,45,40,39,43,44,20,20
"000:55:30.786","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.787","","","","","","TOTAL_ARENA_DISTANCES",58331,52617,42671,38069
"001:00:30.795","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.795","","","","","","ZONE_DISTANCES",24764,45739,9100,42597,32408,16215,2341,32095
"001:00:30.796","","","","","","ZONE_TIMERS",85.375,214.635,59.161,240.849,230.320,69.690,14.282,285.728
"001:00:30.796","","","","","","ZONE_COUNTERS",59,59,25,25,66,66,10,10
"001:00:30.796","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.797","","","","","","TOTAL_ARENA_DISTANCES",70503,51697,48623,34436
"001:00:30.877","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.878","","","","","","ZONE_DISTANCES",164566,240119,176183,327168,104885,107880,116994,149992
"001:00:30.879","","","","","","ZONE_TIMERS",748.805,1051.312,580.229,1219.888,864.163,935.954,728.611,1071.506
"001:00:30.881","","","","","","ZONE_COUNTERS",361,361,450,451,221,221,238,239
"001:00:30.882","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.882","","","","","","TOTAL_ARENA_DISTANCES",404685,503351,212764,266986
"001:03:02.449","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.449","","","","","","ZONE_DISTANCES",5505,11284,1414,11578,534,6100,5661,439
"001:03:02.450","","","","","","ZONE_TIMERS",19.168,40.866,4.175,55.858,5.181,54.853,56.344,3.689
"001:03:02.450","","","","","","ZONE_COUNTERS",15,16,5,5,2,2,4,3
"001:03:02.451","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.451","","","","","","TOTAL_ARENA_DISTANCES",16789,12992,6634,6100
"001:04:02.500","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.500","","","","","","ZONE_DISTANCES",3680,10285,2352,6389,1410,933,414,6351
"001:04:02.501","","","","","","ZONE_TIMERS",9.580,50.471,47.753,12.297,56.771,3.279,2.722,57.328
"001:04:02.502","","","","","","ZONE_COUNTERS",12,13,8,8,3,3,2,2
"001:04:02.502","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.502","","","","","","TOTAL_ARENA_DISTANCES",13965,8740,2344,6764
"001:05:02.562","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.563","","","","","","ZONE_DISTANCES",4633,7884,2198,10469,1672,2863,6609,537
"001:05:02.563","","","","","","ZONE_TIMERS",23.498,36.563,4.087,55.974,3.932,56.129,55.899,4.162
"001:05:02.564","","","","","","ZONE_COUNTERS",10,10,6,6,5,5,5,5
"001:05:02.564","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.565","","","","","","TOTAL_ARENA_DISTANCES",12517,12667,4535,7146
