"000:00:00.000","Info","2019-09-28 04:12:07","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7270 a6888 a7624 a6988"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.603","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.603","","","","","","ZONE_DISTANCES",8135,20541,8463,11694,12252,2463,17619,17581
"000:35:30.604","","","","","","ZONE_TIMERS",53.713,246.322,103.893,196.143,275.056,24.979,144.003,156.032
"000:35:30.604","","","","","","ZONE_COUNTERS",25,26,28,28,12,12,35,34
"000:35:30.605","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.605","","","","","","TOTAL_ARENA_DISTANCES",28675,20158,14714,35200
"000:40:30.642","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.643","","","","","","ZONE_DISTANCES",8858,9037,16159,7136,6276,26374,16938,13637
"000:40:30.644","","","","","","ZONE_TIMERS",162.353,137.684,217.583,82.454,57.119,242.918,192.639,107.398
"000:40:30.645","","","","","","ZONE_COUNTERS",16,16,25,24,19,19,36,35
"000:40:30.646","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.647","","","","","","TOTAL_ARENA_DISTANCES",17896,23295,32650,30575
"000:45:30.682","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.682","","","","","","ZONE_DISTANCES",6746,28596,36839,79027,19711,31430,12346,14090
"000:45:30.683","","","","","","ZONE_TIMERS",45.472,254.567,94.803,205.237,159.970,140.069,116.185,183.855
"000:45:30.683","","","","","","ZONE_COUNTERS",27,27,116,116,55,56,30,29
"000:45:30.684","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.684","","","","","","TOTAL_ARENA_DISTANCES",35341,115866,51141,26436
"000:50:30.693","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.694","","","","","","ZONE_DISTANCES",11051,24992,34600,88292,20357,44794,15018,12324
"000:50:30.695","","","","","","ZONE_TIMERS",232.362,67.648,88.769,211.241,152.378,147.633,180.882,119.128
"000:50:30.695","","","","","","ZONE_COUNTERS",25,25,124,125,64,64,32,31
"000:50:30.696","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.696","","","","","","TOTAL_ARENA_DISTANCES",36043,122892,65151,27343
"000:55:30.733","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.734","","","","","","ZONE_DISTANCES",1052,9870,44186,84232,13980,48584,12457,14112
"000:55:30.735","","","","","","ZONE_TIMERS",18.354,281.685,120.640,179.398,106.282,193.756,115.534,184.504
