"000:00:00.000","Info","2019-09-24 01:55:35","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7509 a7668 a8105 a7705"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.571","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.571","","","","","","ZONE_DISTANCES",13100,25497,21808,10950,3923,4483,21804,19113
"000:35:30.572","","","","","","ZONE_TIMERS",90.463,209.569,218.667,81.365,148.510,151.522,141.049,158.983
"000:35:30.572","","","","","","ZONE_COUNTERS",33,32,39,38,9,10,53,53
"000:35:30.573","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.573","","","","","","TOTAL_ARENA_DISTANCES",38596,32759,8406,40917
"000:40:30.580","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.581","","","","","","ZONE_DISTANCES",20894,17534,5140,23621,700,977,16670,27033
"000:40:30.581","","","","","","ZONE_TIMERS",164.053,135.955,41.470,258.539,91.848,208.161,101.946,198.062
"000:40:30.582","","","","","","ZONE_COUNTERS",32,32,22,22,8,9,44,43
"000:40:30.582","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.583","","","","","","TOTAL_ARENA_DISTANCES",38428,28761,1677,43703
"000:45:30.620","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.622","","","","","","ZONE_DISTANCES",14261,21355,20236,1263,1494,1054,23612,14147
"000:45:30.623","","","","","","ZONE_TIMERS",103.474,196.565,292.354,7.686,142.774,157.265,180.869,119.170
"000:45:30.624","","","","","","ZONE_COUNTERS",35,36,3,3,4,4,56,55
"000:45:30.625","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.625","","","","","","TOTAL_ARENA_DISTANCES",35616,21499,2547,37758
"000:50:30.661","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.662","","","","","","ZONE_DISTANCES",18124,17219,829,27026,2416,1808,16516,22519
"000:50:30.663","","","","","","ZONE_TIMERS",161.958,138.081,6.023,294.017,221.176,78.863,140.201,159.839
"000:50:30.664","","","","","","ZONE_COUNTERS",39,39,7,7,7,7,58,57
"000:50:30.665","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.665","","","","","","TOTAL_ARENA_DISTANCES",35343,27854,4224,39035
"000:55:30.702","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.702","","","","","","ZONE_DISTANCES",15490,20476,29154,719,778,1824,20232,16426
"000:55:30.703","","","","","","ZONE_TIMERS",93.735,206.305,294.851,5.189,59.221,240.819,164.600,135.440
"000:55:30.704","","","","","","ZONE_COUNTERS",37,37,3,3,2,3,41,40
"000:55:30.705","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.705","","","","","","TOTAL_ARENA_DISTANCES",35966,29873,2603,36658
"001:00:30.748","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.749","","","","","","ZONE_DISTANCES",16307,10381,502,14457,575,1102,12077,20799
"001:00:30.749","","","","","","ZONE_TIMERS",162.164,137.882,2.991,297.055,11.171,288.875,96.270,203.776
"001:00:30.750","","","","","","ZONE_COUNTERS",22,23,2,2,1,1,46,45
"001:00:30.750","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.750","","","","","","TOTAL_ARENA_DISTANCES",26688,14959,1677,32876
"001:00:30.836","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.837","","","","","","ZONE_DISTANCES",98176,112462,77669,78036,9886,11248,110911,120037
"001:00:30.837","","","","","","ZONE_TIMERS",775.851,1024.364,856.357,943.858,674.707,1125.508,824.942,975.273
"001:00:30.838","","","","","","ZONE_COUNTERS",196,196,73,73,30,30,293,293
"001:00:30.838","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.838","","","","","","TOTAL_ARENA_DISTANCES",210638,155705,21134,230948
"001:03:02.150","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.150","","","","","","ZONE_DISTANCES",1221,3437,6949,1805,189,1025,6463,5742
"001:03:02.151","","","","","","ZONE_TIMERS",3.466,56.551,53.401,6.616,0.396,59.621,28.140,31.877
"001:03:02.152","","","","","","ZONE_COUNTERS",5,6,5,4,2,2,17,18
"001:03:02.152","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.152","","","","","","TOTAL_ARENA_DISTANCES",4658,8755,1214,12205
"001:04:02.171","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.172","","","","","","ZONE_DISTANCES",4485,3250,207,5994,71,297,2762,5197
"001:04:02.173","","","","","","ZONE_TIMERS",46.286,13.734,1.651,58.369,11.612,48.408,20.645,39.375
"001:04:02.174","","","","","","ZONE_COUNTERS",9,10,1,1,3,3,13,13
"001:04:02.176","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.176","","","","","","TOTAL_ARENA_DISTANCES",7735,6201,368,7959
"001:05:02.227","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.229","","","","","","ZONE_DISTANCES",1979,3694,7544,1559,159,275,5506,3851
"001:05:02.231","","","","","","ZONE_TIMERS",9.857,50.198,51.901,8.154,1.964,58.091,31.210,28.844
"001:05:02.232","","","","","","ZONE_COUNTERS",6,7,8,8,1,1,16,15
"001:05:02.234","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.235","","","","","","TOTAL_ARENA_DISTANCES",5673,9103,434,9357
