"000:00:00.000","Info","2019-09-24 06:41:19","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7557 a8106 a7197 a7271"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.548","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.548","","","","","","ZONE_DISTANCES",15882,33138,16144,17424,4535,7823,27829,12803
"000:35:30.549","","","","","","ZONE_TIMERS",127.422,172.579,138.532,161.469,31.546,268.455,205.306,94.696
"000:35:30.550","","","","","","ZONE_COUNTERS",49,50,51,50,9,9,60,59
"000:35:30.550","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.550","","","","","","TOTAL_ARENA_DISTANCES",49020,33568,12358,40632
"000:40:30.585","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.586","","","","","","ZONE_DISTANCES",14338,32798,13027,18327,7556,4944,4523,35356
"000:40:30.586","","","","","","ZONE_TIMERS",111.294,188.742,119.650,180.385,238.833,61.202,19.735,280.300
"000:40:30.587","","","","","","ZONE_COUNTERS",50,50,39,39,14,14,27,27
"000:40:30.588","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.589","","","","","","TOTAL_ARENA_DISTANCES",47136,31354,12499,39879
"000:45:30.599","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.601","","","","","","ZONE_DISTANCES",22525,18676,3099,9443,5197,8992,39250,16252
"000:45:30.603","","","","","","ZONE_TIMERS",180.324,119.688,43.788,256.225,57.274,242.739,286.316,13.696
"000:45:30.604","","","","","","ZONE_COUNTERS",52,51,12,13,24,23,52,52
"000:45:30.606","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.607","","","","","","TOTAL_ARENA_DISTANCES",41201,12542,14190,55501
"000:50:30.637","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.637","","","","","","ZONE_DISTANCES",9552,33764,3729,13043,5321,13002,2023,25121
"000:50:30.637","","","","","","ZONE_TIMERS",74.036,226.002,54.989,245.049,72.345,227.693,7.089,292.948
"000:50:30.638","","","","","","ZONE_COUNTERS",29,29,29,30,30,30,11,11
"000:50:30.638","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.639","","","","","","TOTAL_ARENA_DISTANCES",43315,16772,18323,27145
"000:55:30.647","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.648","","","","","","ZONE_DISTANCES",14872,27710,7231,1323,12543,4773,37400,17192
"000:55:30.648","","","","","","ZONE_TIMERS",142.844,157.166,256.646,43.364,200.351,99.659,286.175,13.835
"000:55:30.649","","","","","","ZONE_COUNTERS",37,38,19,19,32,32,52,52
"000:55:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.649","","","","","","TOTAL_ARENA_DISTANCES",42582,8554,17316,54591
"001:00:30.657","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.657","","","","","","ZONE_DISTANCES",13766,22817,615,4251,1935,9482,2157,18972
"001:00:30.658","","","","","","ZONE_TIMERS",132.161,167.847,17.313,282.695,21.440,278.569,4.972,295.036
"001:00:30.658","","","","","","ZONE_COUNTERS",49,50,15,15,14,14,10,10
"001:00:30.659","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.659","","","","","","TOTAL_ARENA_DISTANCES",36583,4866,11416,21130
