"000:00:00.000","Info","2019-09-24 06:41:08","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7042 a6986 a7586 a7026"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.546","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.548","","","","","","ZONE_DISTANCES",10021,13689,13482,20503,18869,22828,18531,14339
"000:35:30.549","","","","","","ZONE_TIMERS",119.635,180.368,115.597,184.405,126.746,173.256,165.388,134.614
"000:35:30.551","","","","","","ZONE_COUNTERS",26,27,50,51,66,67,81,81
"000:35:30.552","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.554","","","","","","TOTAL_ARENA_DISTANCES",23709,33984,41697,32870
"000:40:30.584","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.584","","","","","","ZONE_DISTANCES",10414,17214,16243,16044,12718,26288,15941,16761
"000:40:30.585","","","","","","ZONE_TIMERS",116.130,183.908,147.679,152.358,102.269,197.769,151.203,148.835
"000:40:30.586","","","","","","ZONE_COUNTERS",29,29,36,36,39,40,64,64
"000:40:30.586","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.587","","","","","","TOTAL_ARENA_DISTANCES",27628,32287,39006,32703
"000:45:30.595","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.596","","","","","","ZONE_DISTANCES",4377,7758,13231,17566,15252,20643,18069,14383
"000:45:30.596","","","","","","ZONE_TIMERS",60.873,239.137,121.699,178.311,111.807,188.203,156.913,143.096
"000:45:30.597","","","","","","ZONE_COUNTERS",17,17,32,32,41,41,56,57
"000:45:30.597","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.597","","","","","","TOTAL_ARENA_DISTANCES",12135,30797,35895,32452
"000:50:30.633","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.634","","","","","","ZONE_DISTANCES",5243,5567,16737,17401,7632,30146,17923,12662
"000:50:30.635","","","","","","ZONE_TIMERS",166.114,133.924,154.089,145.948,52.927,247.111,184.772,115.266
"000:50:30.635","","","","","","ZONE_COUNTERS",21,21,41,42,30,30,61,61
"000:50:30.636","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.636","","","","","","TOTAL_ARENA_DISTANCES",10811,34138,37778,30585
"000:55:30.672","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.672","","","","","","ZONE_DISTANCES",2549,5052,17516,14480,9200,25552,19004,10763
"000:55:30.673","","","","","","ZONE_TIMERS",48.873,251.165,161.642,138.396,61.720,238.318,186.150,113.888
"000:55:30.673","","","","","","ZONE_COUNTERS",13,13,43,43,24,25,57,56
"000:55:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.674","","","","","","TOTAL_ARENA_DISTANCES",7600,31996,34751,29766
"001:00:30.715","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.716","","","","","","ZONE_DISTANCES",3313,4684,12880,18195,8667,28024,17364,10374
"001:00:30.716","","","","","","ZONE_TIMERS",157.048,142.995,126.141,173.901,70.291,229.751,198.964,101.078
"001:00:30.717","","","","","","ZONE_COUNTERS",12,12,46,46,55,56,56,56
"001:00:30.717","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.718","","","","","","TOTAL_ARENA_DISTANCES",7997,31074,36691,27738
"001:00:30.802","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.802","","","","","","ZONE_DISTANCES",35917,53964,90089,104189,72338,153481,106832,79282
"001:00:30.803","","","","","","ZONE_TIMERS",668.680,1131.498,826.850,973.328,525.761,1274.417,1043.393,756.785
"001:00:30.803","","","","","","ZONE_COUNTERS",116,116,246,247,254,255,372,373
"001:00:30.804","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.804","","","","","","TOTAL_ARENA_DISTANCES",89880,194277,225819,186114
"001:03:02.053","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.054","","","","","","ZONE_DISTANCES",275,1575,3723,3547,4729,4811,4439,1968
"001:03:02.054","","","","","","ZONE_TIMERS",4.234,55.778,29.473,30.540,28.155,31.857,41.444,18.569
"001:03:02.055","","","","","","ZONE_COUNTERS",3,4,13,12,19,20,14,13
"001:03:02.056","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.056","","","","","","TOTAL_ARENA_DISTANCES",1850,7270,9540,6408
"001:04:02.075","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.075","","","","","","ZONE_DISTANCES",180,2110,3587,3085,3452,4626,3379,3335
"001:04:02.076","","","","","","ZONE_TIMERS",3.167,56.854,32.653,27.369,27.113,32.909,32.054,27.967
"001:04:02.076","","","","","","ZONE_COUNTERS",3,4,11,10,19,19,14,14
"001:04:02.077","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.077","","","","","","TOTAL_ARENA_DISTANCES",2290,6672,8078,6713
"001:05:02.134","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.135","","","","","","ZONE_DISTANCES",279,1039,3327,2795,3817,3624,4037,1904
"001:05:02.135","","","","","","ZONE_TIMERS",3.865,56.194,31.676,28.382,28.130,31.929,39.076,20.983
"001:05:02.136","","","","","","ZONE_COUNTERS",1,2,11,11,16,15,17,17
"001:05:02.136","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.136","","","","","","TOTAL_ARENA_DISTANCES",1318,6122,7441,5942
"001:06:02.191","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:02.192","","","","","","ZONE_DISTANCES",557,1809,3303,3658,3681,5798,1267,5028
"001:06:02.192","","","","","","ZONE_TIMERS",8.219,51.837,29.849,30.207,24.806,35.250,11.713,48.343
"001:06:02.193","","","","","","ZONE_COUNTERS",5,6,10,11,19,19,11,11
"001:06:02.193","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.193","","","","","","TOTAL_ARENA_DISTANCES",2366,6960,9479,6295
"001:07:02.247","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:02.247","","","","","","ZONE_DISTANCES",853,1187,3304,3289,5933,3359,3820,1749
"001:07:02.247","","","","","","ZONE_TIMERS",15.817,44.237,27.713,32.341,37.450,22.604,42.515,17.539
"001:07:02.248","","","","","","ZONE_COUNTERS",2,3,9,10,19,20,10,10
"001:07:02.248","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.249","","","","","","TOTAL_ARENA_DISTANCES",2039,6593,9292,5569
"001:07:02.344","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.345","","","","","","ZONE_DISTANCES",2144,7720,17244,16374,21612,22218,16942,13984
"001:07:02.346","","","","","","ZONE_TIMERS",35.304,264.902,151.366,148.841,145.655,154.552,166.804,133.403
"001:07:02.346","","","","","","ZONE_COUNTERS",14,15,52,52,90,91,64,63
"001:07:02.346","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.347","","","","","","TOTAL_ARENA_DISTANCES",9863,33618,43830,30926
"001:07:02.347","Info","2019-09-24 07:48:10","Service 'GREBLU' : Execution end"
