"000:00:00.000","Info","2019-09-26 06:25:56","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7449 a7510 a7342 a7000"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.555","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.555","","","","","","ZONE_DISTANCES",17828,30960,14516,24044,10539,18500,21108,20378
"000:35:30.556","","","","","","ZONE_TIMERS",85.257,214.801,106.327,193.731,94.619,205.438,146.925,153.133
"000:35:30.556","","","","","","ZONE_COUNTERS",56,55,48,49,42,42,49,49
"000:35:30.557","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.557","","","","","","TOTAL_ARENA_DISTANCES",48788,38559,29039,41486
"000:40:30.616","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.617","","","","","","ZONE_DISTANCES",17770,31665,18110,19344,15735,6980,9373,20831
"000:40:30.617","","","","","","ZONE_TIMERS",102.448,197.612,141.813,158.247,219.030,81.031,91.192,208.868
"000:40:30.618","","","","","","ZONE_COUNTERS",55,54,37,37,20,21,51,51
"000:40:30.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.618","","","","","","TOTAL_ARENA_DISTANCES",49436,37454,22715,30205
"000:45:30.659","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.659","","","","","","ZONE_DISTANCES",20838,33365,18274,20456,8609,13321,30479,1339
"000:45:30.660","","","","","","ZONE_TIMERS",88.562,211.479,133.867,166.174,109.312,190.729,287.382,12.659
"000:45:30.660","","","","","","ZONE_COUNTERS",55,55,35,35,26,26,14,14
"000:45:30.661","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.661","","","","","","TOTAL_ARENA_DISTANCES",54203,38731,21930,31818
"000:50:30.727","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.728","","","","","","ZONE_DISTANCES",29245,34914,24233,24437,14788,5959,1570,31809
"000:50:30.728","","","","","","ZONE_TIMERS",105.593,194.475,157.231,142.836,211.808,88.259,12.439,287.628
"000:50:30.729","","","","","","ZONE_COUNTERS",60,60,71,72,27,26,24,24
"000:50:30.729","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.729","","","","","","TOTAL_ARENA_DISTANCES",64159,48669,20747,33379
"000:55:30.782","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.782","","","","","","ZONE_DISTANCES",28028,24262,22880,25884,6177,11420,26735,225
"000:55:30.783","","","","","","ZONE_TIMERS",160.549,139.505,125.271,174.782,85.627,214.427,298.019,2.034
"000:55:30.783","","","","","","ZONE_COUNTERS",62,62,71,71,30,30,5,5
"000:55:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.784","","","","","","TOTAL_ARENA_DISTANCES",52291,48764,17597,26959
"001:00:30.856","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.856","","","","","","ZONE_DISTANCES",24633,24112,22198,22694,11712,5982,2828,27420
