"000:00:00.000","Info","2019-09-25 07:04:23","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6818 a6860 a7283 a6944"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.626","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.628","","","","","","ZONE_DISTANCES",17280,18783,14566,16687,7368,32233,16794,30445
"000:35:30.630","","","","","","ZONE_TIMERS",39.652,260.350,95.337,204.664,49.228,250.774,82.653,217.348
"000:35:30.631","","","","","","ZONE_COUNTERS",38,38,37,37,53,53,54,54
"000:35:30.633","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.634","","","","","","TOTAL_ARENA_DISTANCES",36064,31253,39601,47239
"000:40:30.668","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.668","","","","","","ZONE_DISTANCES",0,135,12623,1983,30104,9332,23312,21771
"000:40:30.669","","","","","","ZONE_TIMERS",0.000,300.041,279.254,20.786,246.184,53.857,153.815,146.226
"000:40:30.670","","","","","","ZONE_COUNTERS",0,1,5,5,67,68,47,47
"000:40:30.670","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.670","","","","","","TOTAL_ARENA_DISTANCES",135,14606,39436,45083
"000:45:30.707","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.707","","","","","","ZONE_DISTANCES",671,370,357,5096,7149,31147,3218,14672
"000:45:30.708","","","","","","ZONE_TIMERS",235.337,64.701,4.891,295.147,52.120,247.918,20.889,279.149
"000:45:30.708","","","","","","ZONE_COUNTERS",3,3,2,2,50,51,8,8
"000:45:30.709","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.709","","","","","","TOTAL_ARENA_DISTANCES",1041,5453,38296,17890
"000:50:30.751","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.752","","","","","","ZONE_DISTANCES",159,0,8442,2800,42196,23793,15512,22578
