"000:00:00.000","Info","2019-09-26 06:26:31","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7706 a7004 a7746 a6890"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.540","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.540","","","","","","ZONE_DISTANCES",19737,32590,19050,28796,16090,21258,12018,11652
"000:35:30.541","","","","","","ZONE_TIMERS",154.931,145.072,125.215,174.788,118.594,181.408,150.920,149.082
"000:35:30.541","","","","","","ZONE_COUNTERS",52,52,57,58,40,40,53,54
"000:35:30.542","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.542","","","","","","TOTAL_ARENA_DISTANCES",52327,47846,37349,23670
"000:40:30.577","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.578","","","","","","ZONE_DISTANCES",26534,38328,25264,29044,19195,18085,4771,14443
"000:40:30.578","","","","","","ZONE_TIMERS",162.340,137.697,133.262,166.774,154.560,145.476,71.546,228.490
"000:40:30.578","","","","","","ZONE_COUNTERS",80,81,78,79,36,36,45,46
"000:40:30.579","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.579","","","","","","TOTAL_ARENA_DISTANCES",64862,54308,37280,19214
"000:45:30.588","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.589","","","","","","ZONE_DISTANCES",15504,10209,30880,31209,13107,21537,16843,2396
"000:45:30.591","","","","","","ZONE_TIMERS",275.674,24.336,170.741,129.268,103.442,196.568,268.917,31.092
"000:45:30.592","","","","","","ZONE_COUNTERS",18,18,78,78,29,29,35,35
"000:45:30.593","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.593","","","","","","TOTAL_ARENA_DISTANCES",25714,62088,34645,19239
"000:50:30.628","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.629","","","","","","ZONE_DISTANCES",3578,8829,26242,33189,17183,19369,2339,16729
"000:50:30.629","","","","","","ZONE_TIMERS",28.518,271.522,120.428,179.612,133.993,166.047,28.719,271.321
"000:50:30.630","","","","","","ZONE_COUNTERS",15,14,68,68,32,32,24,24
"000:50:30.630","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.630","","","","","","TOTAL_ARENA_DISTANCES",12407,59432,36552,19069
"000:55:30.639","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.640","","","","","","ZONE_DISTANCES",8644,13112,19634,24191,17560,19318,14274,878
"000:55:30.641","","","","","","ZONE_TIMERS",268.485,31.524,150.416,149.594,139.936,160.073,293.919,6.091
"000:55:30.642","","","","","","ZONE_COUNTERS",12,11,63,63,46,47,8,8
"000:55:30.643","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.644","","","","","","TOTAL_ARENA_DISTANCES",21755,43825,36878,15152
"001:00:30.680","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.681","","","","","","ZONE_DISTANCES",5680,15188,13627,26070,18919,18175,473,15085
"001:00:30.681","","","","","","ZONE_TIMERS",31.562,268.478,116.192,183.849,153.010,147.030,6.064,293.977
"001:00:30.682","","","","","","ZONE_COUNTERS",21,21,56,55,49,50,8,8
"001:00:30.683","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.683","","","","","","TOTAL_ARENA_DISTANCES",20868,39697,37094,15558
"001:00:30.767","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.768","","","","","","ZONE_DISTANCES",79677,118256,134697,172499,102054,117742,50718,61183
"001:00:30.768","","","","","","ZONE_TIMERS",921.512,878.638,816.263,983.887,803.537,996.613,820.088,980.062
"001:00:30.769","","","","","","ZONE_COUNTERS",195,195,398,398,230,231,171,172
"001:00:30.769","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.769","","","","","","TOTAL_ARENA_DISTANCES",197933,307196,219796,111901
"001:03:02.476","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.478","","","","","","ZONE_DISTANCES",2203,4238,4495,5525,3617,4169,4281,987
"001:03:02.480","","","","","","ZONE_TIMERS",33.510,26.538,27.164,32.884,27.463,32.585,51.139,8.908
"001:03:02.482","","","","","","ZONE_COUNTERS",8,8,15,15,11,10,7,7
"001:03:02.484","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.486","","","","","","TOTAL_ARENA_DISTANCES",6441,10021,7786,5268
"001:04:02.550","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.551","","","","","","ZONE_DISTANCES",683,1694,4643,7063,3178,4313,1052,4471
"001:04:02.551","","","","","","ZONE_TIMERS",10.522,49.553,25.546,34.529,24.327,35.748,11.907,48.168
"001:04:02.552","","","","","","ZONE_COUNTERS",4,4,17,18,11,10,9,10
"001:04:02.553","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.553","","","","","","TOTAL_ARENA_DISTANCES",2378,11706,7492,5523
"001:05:02.626","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.626","","","","","","ZONE_DISTANCES",1181,303,5280,7044,3690,3549,4809,516
"001:05:02.627","","","","","","ZONE_TIMERS",55.671,4.403,34.185,25.889,30.237,29.837,54.460,5.614
"001:05:02.627","","","","","","ZONE_COUNTERS",3,3,19,19,10,10,8,8
"001:05:02.628","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.628","","","","","","TOTAL_ARENA_DISTANCES",1484,12323,7239,5325
"001:06:02.712","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:02.713","","","","","","ZONE_DISTANCES",428,1320,3340,7872,4137,4169,870,4629
"001:06:02.713","","","","","","ZONE_TIMERS",2.946,57.140,21.025,39.060,31.639,28.446,9.060,51.026
"001:06:02.714","","","","","","ZONE_COUNTERS",2,2,17,17,10,11,10,10
"001:06:02.714","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.715","","","","","","TOTAL_ARENA_DISTANCES",1748,11213,8306,5499
"001:07:02.784","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:02.787","","","","","","ZONE_DISTANCES",1061,164,7052,6611,3839,3749,3990,184
"001:07:02.790","","","","","","ZONE_TIMERS",56.597,3.473,39.470,20.600,30.796,29.273,56.875,3.194
"001:07:02.792","","","","","","ZONE_COUNTERS",1,1,23,24,11,11,1,1
"001:07:02.794","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.796","","","","","","TOTAL_ARENA_DISTANCES",1225,13663,7588,4174
