"000:00:00.000","Info","2019-09-26 02:48:17","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7329 a7743 a7205 a7704"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.777","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.778","","","","","","ZONE_DISTANCES",9586,31505,20490,19218,32431,24185,16926,14640
"000:35:30.779","","","","","","ZONE_TIMERS",73.393,226.674,153.896,146.171,180.037,120.031,173.534,126.533
"000:35:30.780","","","","","","ZONE_COUNTERS",43,42,44,44,65,65,57,57
"000:35:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.781","","","","","","TOTAL_ARENA_DISTANCES",41091,39708,56617,31566
"000:40:30.844","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.845","","","","","","ZONE_DISTANCES",28354,18814,17133,21706,27586,26640,20370,10666
"000:40:30.846","","","","","","ZONE_TIMERS",176.464,123.602,118.719,181.347,139.602,160.464,197.681,102.385
"000:40:30.846","","","","","","ZONE_COUNTERS",37,36,40,40,60,60,55,55
"000:40:30.847","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.847","","","","","","TOTAL_ARENA_DISTANCES",47168,38839,54225,31036
"000:45:30.930","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.930","","","","","","ZONE_DISTANCES",2958,36098,23757,17353,32247,19267,3805,22627
"000:45:30.931","","","","","","ZONE_TIMERS",23.677,276.407,173.787,126.298,214.464,85.620,40.281,259.803
"000:45:30.932","","","","","","ZONE_COUNTERS",29,29,42,43,49,50,34,34
"000:45:30.933","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.933","","","","","","TOTAL_ARENA_DISTANCES",39056,41110,51515,26432
"000:50:31.026","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.029","","","","","","ZONE_DISTANCES",23425,755,21217,15747,21472,26067,19867,5533
"000:50:31.031","","","","","","ZONE_TIMERS",294.879,5.216,194.603,105.491,101.752,198.342,241.594,58.500
"000:50:31.034","","","","","","ZONE_COUNTERS",5,5,60,61,53,54,39,39
"000:50:31.036","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.038","","","","","","TOTAL_ARENA_DISTANCES",24180,36963,47538,25400
"000:55:31.131","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.132","","","","","","ZONE_DISTANCES",780,21178,6211,22893,19738,13714,1171,20809
"000:55:31.134","","","","","","ZONE_TIMERS",6.005,294.100,50.903,249.201,218.537,81.567,14.569,285.535
"000:55:31.135","","","","","","ZONE_COUNTERS",7,7,29,30,35,35,14,14
"000:55:31.136","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.136","","","","","","TOTAL_ARENA_DISTANCES",21958,29104,33452,21980
"001:00:31.202","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.203","","","","","","ZONE_DISTANCES",14608,128,18935,5680,12257,17453,16888,8097
"001:00:31.204","","","","","","ZONE_TIMERS",298.161,1.910,241.998,58.073,64.755,235.316,209.033,91.038
"001:00:31.204","","","","","","ZONE_COUNTERS",1,1,23,23,33,32,34,34
"001:00:31.205","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.205","","","","","","TOTAL_ARENA_DISTANCES",14736,24615,29711,24985
"001:00:31.274","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.277","","","","","","ZONE_DISTANCES",79711,108478,107743,102597,145731,127326,79027,82372
"001:00:31.280","","","","","","ZONE_TIMERS",872.588,927.911,933.918,866.582,919.156,881.343,876.702,923.798
"001:00:31.282","","","","","","ZONE_COUNTERS",119,118,237,237,293,293,231,230
"001:00:31.284","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.286","","","","","","TOTAL_ARENA_DISTANCES",188190,210340,273058,161399
"001:03:03.463","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.463","","","","","","ZONE_DISTANCES",197,4736,305,4570,6037,4390,64,4765
"001:03:03.464","","","","","","ZONE_TIMERS",1.874,58.204,2.662,57.416,39.434,20.645,0.805,59.273
"001:03:03.465","","","","","","ZONE_COUNTERS",2,2,3,3,12,12,2,2
"001:03:03.466","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.466","","","","","","TOTAL_ARENA_DISTANCES",4933,4875,10427,4830
"001:04:03.533","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.534","","","","","","ZONE_DISTANCES",2581,271,4929,696,3622,4470,4237,1134
"001:04:03.535","","","","","","ZONE_TIMERS",58.320,1.749,53.983,6.086,15.556,44.514,47.312,12.758
"001:04:03.535","","","","","","ZONE_COUNTERS",1,1,3,4,9,10,6,7
"001:04:03.536","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.537","","","","","","TOTAL_ARENA_DISTANCES",2851,5625,8092,5371
"001:05:03.622","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.623","","","","","","ZONE_DISTANCES",357,2865,445,5371,2656,2999,394,649
"001:05:03.624","","","","","","ZONE_TIMERS",5.123,54.966,4.837,55.251,32.346,27.742,4.937,55.151
"001:05:03.625","","","","","","ZONE_COUNTERS",1,1,4,5,8,8,2,3
"001:05:03.626","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.626","","","","","","TOTAL_ARENA_DISTANCES",3222,5816,5655,1042
"001:06:03.731","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.731","","","","","","ZONE_DISTANCES",1712,200,4345,174,766,1890,0,0
"001:06:03.732","","","","","","ZONE_TIMERS",58.095,2.013,58.188,1.920,4.878,55.229,0.000,60.108
"001:06:03.733","","","","","","ZONE_COUNTERS",1,1,2,2,3,3,0,1
"001:06:03.733","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
