"000:00:00.000","Info","2019-09-26 02:48:54","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7426 a7289 a7507 a7648"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.547","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.547","","","","","","ZONE_DISTANCES",13507,23217,11030,28343,23223,28211,34441,43362
"000:35:30.548","","","","","","ZONE_TIMERS",124.404,175.598,70.134,229.868,134.558,165.445,123.647,176.355
"000:35:30.548","","","","","","ZONE_COUNTERS",49,49,32,33,52,52,127,127
"000:35:30.549","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.549","","","","","","TOTAL_ARENA_DISTANCES",36724,39373,51435,77803
"000:40:30.557","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.558","","","","","","ZONE_DISTANCES",13426,31578,14569,26157,15932,28075,36823,35616
"000:40:30.558","","","","","","ZONE_TIMERS",79.657,220.353,88.113,211.897,88.600,211.410,161.327,138.683
"000:40:30.559","","","","","","ZONE_COUNTERS",32,33,33,34,31,32,105,104
"000:40:30.559","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.560","","","","","","TOTAL_ARENA_DISTANCES",45004,40726,44007,72439
"000:45:30.596","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.596","","","","","","ZONE_DISTANCES",20621,22633,19140,27220,24128,27325,36168,38088
"000:45:30.597","","","","","","ZONE_TIMERS",138.766,161.272,110.721,189.317,142.203,157.835,137.705,162.332
"000:45:30.597","","","","","","ZONE_COUNTERS",44,44,41,42,55,55,113,113
"000:45:30.598","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.598","","","","","","TOTAL_ARENA_DISTANCES",43254,46360,51454,74256
"000:50:30.606","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.607","","","","","","ZONE_DISTANCES",14702,28861,12633,21081,21869,26909,23617,34661
"000:50:30.607","","","","","","ZONE_TIMERS",85.681,214.328,107.698,192.311,120.033,179.976,105.645,194.364
"000:50:30.608","","","","","","ZONE_COUNTERS",38,38,25,26,57,57,93,94
"000:50:30.608","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.608","","","","","","TOTAL_ARENA_DISTANCES",43563,33714,48777,58279
"000:55:30.642","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.643","","","","","","ZONE_DISTANCES",18699,25122,14221,18656,25925,24369,31247,23484
"000:55:30.643","","","","","","ZONE_TIMERS",126.421,173.614,110.840,189.195,160.366,139.669,176.889,123.147
"000:55:30.643","","","","","","ZONE_COUNTERS",43,44,34,34,57,57,109,109
"000:55:30.644","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.644","","","","","","TOTAL_ARENA_DISTANCES",43821,32877,50294,54731
"001:00:30.655","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.656","","","","","","ZONE_DISTANCES",21361,27789,7184,25075,25357,32920,23757,29409
"001:00:30.657","","","","","","ZONE_TIMERS",116.636,183.375,64.720,235.291,110.839,189.172,117.766,182.245
"001:00:30.659","","","","","","ZONE_COUNTERS",40,41,14,13,64,63,98,98
"001:00:30.660","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.660","","","","","","TOTAL_ARENA_DISTANCES",49151,32260,58277,53166
"001:00:30.742","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.743","","","","","","ZONE_DISTANCES",102316,159200,78777,146532,136434,167809,186053,204620
"001:00:30.744","","","","","","ZONE_TIMERS",671.568,1128.553,552.239,1247.881,756.612,1043.509,822.981,977.139
"001:00:30.745","","","","","","ZONE_COUNTERS",245,245,178,178,314,313,642,643
"001:00:30.746","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.747","","","","","","TOTAL_ARENA_DISTANCES",261516,225309,304243,390673
"001:03:02.409","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.410","","","","","","ZONE_DISTANCES",611,4477,153,5575,8,14877,187,7701
"001:03:02.410","","","","","","ZONE_TIMERS",6.791,53.269,0.876,59.184,0.068,59.991,1.203,58.856
"001:03:02.411","","","","","","ZONE_COUNTERS",8,8,1,1,1,2,5,4
"001:03:02.412","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.412","","","","","","TOTAL_ARENA_DISTANCES",5088,5727,14885,7888
"001:04:02.492","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.493","","","","","","ZONE_DISTANCES",6604,2096,8385,2912,7549,449,8177,675
"001:04:02.493","","","","","","ZONE_TIMERS",44.262,15.820,57.162,2.920,57.357,2.724,56.336,3.745
"001:04:02.494","","","","","","ZONE_COUNTERS",14,14,11,11,2,2,9,8
"001:04:02.494","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.495","","","","","","TOTAL_ARENA_DISTANCES",8701,11297,7998,8852
"001:05:02.563","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.563","","","","","","ZONE_DISTANCES",2074,4623,366,4896,648,12373,4783,8521
"001:05:02.564","","","","","","ZONE_TIMERS",16.175,43.894,3.430,56.639,4.067,56.003,23.175,36.894
"001:05:02.564","","","","","","ZONE_COUNTERS",12,12,2,2,3,3,22,21
"001:05:02.565","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.565","","","","","","TOTAL_ARENA_DISTANCES",6697,5263,13021,13303
"001:06:02.620","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:02.621","","","","","","ZONE_DISTANCES",5941,2180,6237,2741,4199,5934,10965,7450
"001:06:02.621","","","","","","ZONE_TIMERS",49.901,10.155,53.983,6.073,29.979,30.077,32.641,27.415
"001:06:02.622","","","","","","ZONE_COUNTERS",10,10,9,9,5,5,38,37
"001:06:02.622","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.622","","","","","","TOTAL_ARENA_DISTANCES",8121,8978,10133,18415
