"000:00:00.000","Info","2019-09-26 02:48:43","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6988 a7270 a6888 a7624"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.607","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.608","","","","","","ZONE_DISTANCES",10748,19663,11880,20275,12353,24087,12309,18975
"000:35:30.608","","","","","","ZONE_TIMERS",100.982,199.072,95.939,204.114,107.687,192.366,120.376,179.678
"000:35:30.609","","","","","","ZONE_COUNTERS",26,25,39,39,47,47,35,35
"000:35:30.609","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.610","","","","","","TOTAL_ARENA_DISTANCES",30411,32156,36440,31284
"000:40:30.658","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.659","","","","","","ZONE_DISTANCES",15606,14291,7656,13651,15658,19933,12676,13895
"000:40:30.659","","","","","","ZONE_TIMERS",158.254,141.796,100.127,199.923,123.612,176.438,126.061,173.989
"000:40:30.659","","","","","","ZONE_COUNTERS",26,26,22,22,37,38,21,22
"000:40:30.660","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.660","","","","","","TOTAL_ARENA_DISTANCES",29897,21307,35591,26571
"000:45:30.724","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.726","","","","","","ZONE_DISTANCES",16437,14568,9183,7370,13873,26058,19015,13184
"000:45:30.727","","","","","","ZONE_TIMERS",171.369,128.696,240.560,59.505,114.643,185.421,177.563,122.501
"000:45:30.727","","","","","","ZONE_COUNTERS",34,34,18,18,41,42,32,32
"000:45:30.728","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.729","","","","","","TOTAL_ARENA_DISTANCES",31004,16553,39932,32199
"000:50:30.803","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.803","","","","","","ZONE_DISTANCES",13983,15167,4309,7846,22333,13166,10986,6263
"000:50:30.804","","","","","","ZONE_TIMERS",120.659,179.419,25.300,274.778,197.658,102.420,167.530,132.548
"000:50:30.804","","","","","","ZONE_COUNTERS",34,34,12,12,34,34,24,24
"000:50:30.805","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.805","","","","","","TOTAL_ARENA_DISTANCES",29150,12155,35499,17249
"000:55:30.863","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.864","","","","","","ZONE_DISTANCES",15412,12496,8832,7434,11584,23910,2549,14618
"000:55:30.864","","","","","","ZONE_TIMERS",187.638,112.422,225.323,74.736,101.487,198.573,30.664,269.395
"000:55:30.865","","","","","","ZONE_COUNTERS",31,31,18,18,40,40,22,23
"000:55:30.865","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.865","","","","","","TOTAL_ARENA_DISTANCES",27908,16266,35494,17167
"001:00:30.938","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.938","","","","","","ZONE_DISTANCES",12945,13528,6304,9256,18307,11241,9970,7619
"001:00:30.939","","","","","","ZONE_TIMERS",127.907,172.167,50.624,249.450,192.929,107.145,143.116,156.958
"001:00:30.939","","","","","","ZONE_COUNTERS",30,30,19,18,33,34,22,23
"001:00:30.940","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.940","","","","","","TOTAL_ARENA_DISTANCES",26472,15560,29548,17589
"001:00:31.038","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.039","","","","","","ZONE_DISTANCES",85131,89713,48164,65832,94108,118395,67505,74554
"001:00:31.039","","","","","","ZONE_TIMERS",866.810,933.580,737.881,1062.509,838.019,962.371,765.312,1035.078
"001:00:31.040","","","","","","ZONE_COUNTERS",178,178,125,125,231,231,155,155
"001:00:31.040","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.041","","","","","","TOTAL_ARENA_DISTANCES",174844,113997,212503,142059
"001:03:02.977","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.978","","","","","","ZONE_DISTANCES",2867,3182,0,3907,270,4049,657,3477
"001:03:02.978","","","","","","ZONE_TIMERS",33.431,26.646,0.000,60.077,3.237,56.840,7.791,52.285
"001:03:02.979","","","","","","ZONE_COUNTERS",8,7,0,1,2,2,5,5
"001:03:02.979","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.979","","","","","","TOTAL_ARENA_DISTANCES",6050,3907,4319,4134
"001:04:03.057","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.058","","","","","","ZONE_DISTANCES",4031,2577,3734,512,4028,573,3583,691
"001:04:03.058","","","","","","ZONE_TIMERS",36.100,23.980,54.086,5.993,53.338,6.741,51.546,8.533
"001:04:03.059","","","","","","ZONE_COUNTERS",9,9,2,2,3,3,7,7
"001:04:03.059","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.059","","","","","","TOTAL_ARENA_DISTANCES",6608,4247,4601,4275
"001:05:03.112","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.112","","","","","","ZONE_DISTANCES",2668,3251,418,3157,977,4391,2194,3031
"001:05:03.113","","","","","","ZONE_TIMERS",34.255,25.799,4.866,55.187,8.454,51.599,25.654,34.399
"001:05:03.113","","","","","","ZONE_COUNTERS",7,8,3,3,5,4,9,8
"001:05:03.113","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.114","","","","","","TOTAL_ARENA_DISTANCES",5919,3574,5368,5225
"001:06:03.184","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.185","","","","","","ZONE_DISTANCES",3082,2657,3676,458,4586,1593,3302,1382
"001:06:03.185","","","","","","ZONE_TIMERS",26.089,33.983,53.370,6.702,46.397,13.674,40.019,20.053
"001:06:03.186","","","","","","ZONE_COUNTERS",6,7,2,2,7,6,8,7
"001:06:03.186","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.187","","","","","","TOTAL_ARENA_DISTANCES",5739,4134,6179,4684
"001:07:03.243","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.243","","","","","","ZONE_DISTANCES",2638,3450,328,3320,2568,4058,1431,3044
"001:07:03.244","","","","","","ZONE_TIMERS",31.685,28.372,4.091,55.966,20.245,39.812,18.829,41.228
"001:07:03.244","","","","","","ZONE_COUNTERS",7,8,2,2,9,8,6,6
"001:07:03.244","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.245","","","","","","TOTAL_ARENA_DISTANCES",6089,3648,6625,4475
"001:07:03.345","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.345","","","","","","ZONE_DISTANCES",15286,15117,8156,11354,12429,14664,11167,11625
"001:07:03.346","","","","","","ZONE_TIMERS",161.561,138.782,116.415,183.928,131.673,168.669,143.842,156.500
"001:07:03.346","","","","","","ZONE_COUNTERS",36,36,7,8,23,22,32,32
"001:07:03.347","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.347","","","","","","TOTAL_ARENA_DISTANCES",30404,19511,27093,22792
"001:07:03.347","Info","2019-09-26 03:55:47","Service 'BLUGRE' : Execution end"
