"000:00:00.000","Info","2019-09-26 04:29:45","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7026 a7042 a6986 a7586"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.518","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.519","","","","","","ZONE_DISTANCES",12006,16353,12104,15248,12517,21026,12133,29810
"000:35:30.520","","","","","","ZONE_TIMERS",133.863,166.185,133.441,166.607,113.963,186.085,83.666,216.383
"000:35:30.520","","","","","","ZONE_COUNTERS",103,102,32,31,50,50,47,46
"000:35:30.520","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.521","","","","","","TOTAL_ARENA_DISTANCES",28359,27352,33543,41943
"000:40:30.588","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.589","","","","","","ZONE_DISTANCES",22239,3050,10881,11596,14881,17871,23754,14791
"000:40:30.590","","","","","","ZONE_TIMERS",264.047,36.022,129.686,170.383,124.647,175.422,179.802,120.266
"000:40:30.591","","","","","","ZONE_COUNTERS",57,56,21,21,34,35,62,62
"000:40:30.592","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.593","","","","","","TOTAL_ARENA_DISTANCES",25289,22477,32752,38545
"000:45:30.665","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.665","","","","","","ZONE_DISTANCES",8423,15405,9900,8488,16894,16148,14505,22536
"000:45:30.666","","","","","","ZONE_TIMERS",106.069,194.007,188.351,111.724,155.982,144.094,129.453,170.623
"000:45:30.666","","","","","","ZONE_COUNTERS",80,79,22,23,33,34,70,71
"000:45:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.667","","","","","","TOTAL_ARENA_DISTANCES",23827,18388,33042,37041
"000:50:30.738","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.738","","","","","","ZONE_DISTANCES",21384,3271,7999,7706,21876,16497,28520,10616
"000:50:30.739","","","","","","ZONE_TIMERS",254.942,45.130,113.140,186.932,166.309,133.762,216.968,83.103
"000:50:30.739","","","","","","ZONE_COUNTERS",55,54,17,17,61,61,59,59
"000:50:30.740","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.740","","","","","","TOTAL_ARENA_DISTANCES",24655,15705,38373,39136
"000:55:30.817","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.820","","","","","","ZONE_DISTANCES",10877,13382,8903,5829,19414,17859,4755,45187
"000:55:30.822","","","","","","ZONE_TIMERS",135.311,164.766,220.603,79.474,166.384,133.694,28.902,271.175
"000:55:30.824","","","","","","ZONE_COUNTERS",80,79,20,19,53,53,58,58
"000:55:30.826","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.828","","","","","","TOTAL_ARENA_DISTANCES",24259,14732,37273,49942
