"000:00:00.000","Info","2019-10-01 02:18:55","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7428 a8053 a6863 a7450"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.569","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.570","","","","","","ZONE_DISTANCES",32835,31210,16174,11637,22348,10388,19121,8159
"000:35:30.570","","","","","","ZONE_TIMERS",142.869,157.177,170.382,129.664,203.189,96.857,229.352,70.695
"000:35:30.571","","","","","","ZONE_COUNTERS",90,90,30,31,28,29,29,28
"000:35:30.571","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.571","","","","","","TOTAL_ARENA_DISTANCES",64045,27811,32736,27279
"000:40:30.628","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.628","","","","","","ZONE_DISTANCES",47108,48218,12719,10149,8014,20581,8700,19677
"000:40:30.629","","","","","","ZONE_TIMERS",127.791,172.267,194.088,105.970,76.624,223.434,73.618,226.440
"000:40:30.629","","","","","","ZONE_COUNTERS",130,129,30,30,28,28,35,35
"000:40:30.630","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.630","","","","","","TOTAL_ARENA_DISTANCES",95326,22868,28595,28377
"000:45:30.694","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.694","","","","","","ZONE_DISTANCES",51889,53789,9837,10253,14390,17237,20631,16603
"000:45:30.695","","","","","","ZONE_TIMERS",128.587,171.478,128.336,171.729,119.553,180.512,167.954,132.111
"000:45:30.695","","","","","","ZONE_COUNTERS",163,163,31,30,27,26,48,48
"000:45:30.696","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.696","","","","","","TOTAL_ARENA_DISTANCES",105678,20090,31626,37234
"000:50:30.758","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.761","","","","","","ZONE_DISTANCES",83884,74768,16217,10767,10515,12162,14909,30330
"000:50:30.762","","","","","","ZONE_TIMERS",186.960,113.103,184.286,115.777,145.802,154.261,92.215,207.848
"000:50:30.764","","","","","","ZONE_COUNTERS",241,242,25,24,36,36,60,59
"000:50:30.766","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.767","","","","","","TOTAL_ARENA_DISTANCES",158652,26984,22677,45239
"000:55:30.841","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.842","","","","","","ZONE_DISTANCES",41770,38941,14460,8418,17760,6032,20352,3307
"000:55:30.842","","","","","","ZONE_TIMERS",144.541,155.542,183.967,116.116,227.785,72.298,271.076,29.006
"000:55:30.843","","","","","","ZONE_COUNTERS",119,119,27,26,31,31,18,18
"000:55:30.843","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.844","","","","","","TOTAL_ARENA_DISTANCES",80711,22878,23792,23659
"001:00:30.915","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.916","","","","","","ZONE_DISTANCES",34448,27446,9165,11847,10077,12006,6890,26897
"001:00:30.916","","","","","","ZONE_TIMERS",203.445,96.628,127.966,172.107,142.255,157.818,59.428,240.645
"001:00:30.917","","","","","","ZONE_COUNTERS",83,82,32,31,37,36,51,52
"001:00:30.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.918","","","","","","TOTAL_ARENA_DISTANCES",61894,21012,22083,33787
"001:00:30.977","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.979","","","","","","ZONE_DISTANCES",291934,274372,78572,63071,83104,78406,90603,104973
"001:00:30.981","","","","","","ZONE_TIMERS",934.201,866.198,989.033,811.366,915.217,885.182,893.646,906.753
"001:00:30.983","","","","","","ZONE_COUNTERS",823,823,171,171,184,184,238,238
"001:00:30.985","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.986","","","","","","TOTAL_ARENA_DISTANCES",566306,141643,161510,195575
"001:03:02.853","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.854","","","","","","ZONE_DISTANCES",5016,4442,3110,1639,2428,2835,4273,3219
"001:03:02.854","","","","","","ZONE_TIMERS",30.141,29.904,35.222,24.823,25.012,35.033,35.136,24.909
"001:03:02.855","","","","","","ZONE_COUNTERS",16,15,8,8,10,10,13,12
"001:03:02.855","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.856","","","","","","TOTAL_ARENA_DISTANCES",9458,4749,5263,7491
"001:04:02.907","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.908","","","","","","ZONE_DISTANCES",7013,5798,2504,2800,3239,1815,1666,4332
"001:04:02.908","","","","","","ZONE_TIMERS",40.537,19.516,34.787,25.266,43.759,16.295,15.246,44.807
"001:04:02.909","","","","","","ZONE_COUNTERS",17,16,8,8,9,9,12,11
"001:04:02.910","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.910","","","","","","TOTAL_ARENA_DISTANCES",12811,5304,5055,5998
"001:05:02.979","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.981","","","","","","ZONE_DISTANCES",7487,7888,2952,1811,2085,2706,4740,1980
"001:05:02.984","","","","","","ZONE_TIMERS",26.226,33.844,38.071,21.999,23.143,36.926,45.442,14.628
"001:05:02.986","","","","","","ZONE_COUNTERS",23,23,8,8,10,9,11,11
"001:05:02.988","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.990","","","","","","TOTAL_ARENA_DISTANCES",15375,4764,4791,6721
"001:06:03.056","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:03.057","","","","","","ZONE_DISTANCES",10407,8690,1750,2813,2633,2025,241,2824
"001:06:03.057","","","","","","ZONE_TIMERS",37.178,22.899,26.945,33.132,38.088,21.989,3.081,56.996
"001:06:03.058","","","","","","ZONE_COUNTERS",27,27,10,11,10,9,3,4
"001:06:03.058","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.059","","","","","","TOTAL_ARENA_DISTANCES",19096,4563,4659,3064
"001:07:03.110","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:03.111","","","","","","ZONE_DISTANCES",6541,5988,3598,1018,2719,2004,2483,190
"001:07:03.111","","","","","","ZONE_TIMERS",24.921,35.132,49.111,10.942,32.002,28.051,57.487,2.566
"001:07:03.112","","","","","","ZONE_COUNTERS",20,19,9,9,10,9,1,1
"001:07:03.112","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.113","","","","","","TOTAL_ARENA_DISTANCES",12529,4616,4722,2673
"001:07:03.175","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.175","","","","","","ZONE_DISTANCES",36464,32806,13914,10081,13104,11385,13403,12545
"001:07:03.176","","","","","","ZONE_TIMERS",159.004,141.298,184.138,116.164,162.006,138.296,156.395,143.907
"001:07:03.177","","","","","","ZONE_COUNTERS",100,99,42,41,46,45,38,37
"001:07:03.177","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.178","","","","","","TOTAL_ARENA_DISTANCES",69270,23995,24489,25948
"001:07:03.178","Info","2019-10-01 03:25:58","Service 'GREBLU' : Execution end"
