"000:00:00.000","Info","2019-10-01 00:47:45","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a6936 a7489 a7588 a7058"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.690","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.691","","","","","","ZONE_DISTANCES",17405,11907,27094,22505,15149,13024,15027,7827
"000:35:30.691","","","","","","ZONE_TIMERS",173.939,126.065,173.598,126.406,165.497,134.507,183.170,116.834
"000:35:30.692","","","","","","ZONE_COUNTERS",37,37,57,57,28,27,23,23
"000:35:30.693","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.693","","","","","","TOTAL_ARENA_DISTANCES",29311,49600,28173,22854
"000:40:30.730","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.730","","","","","","ZONE_DISTANCES",9637,18736,25883,22560,11935,17251,8582,10801
"000:40:30.731","","","","","","ZONE_TIMERS",100.447,199.591,157.636,142.402,116.449,183.589,177.251,122.787
"000:40:30.731","","","","","","ZONE_COUNTERS",24,25,49,48,32,32,30,29
"000:40:30.731","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.732","","","","","","TOTAL_ARENA_DISTANCES",28373,48442,29186,19383
"000:45:30.771","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.772","","","","","","ZONE_DISTANCES",5533,21093,19974,33328,16327,12559,8545,8578
"000:45:30.772","","","","","","ZONE_TIMERS",51.804,248.236,93.449,206.592,166.204,133.836,93.933,206.108
"000:45:30.773","","","","","","ZONE_COUNTERS",15,15,51,50,33,33,22,22
"000:45:30.773","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.773","","","","","","TOTAL_ARENA_DISTANCES",26626,53303,28886,17123
"000:50:30.782","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.784","","","","","","ZONE_DISTANCES",11060,17729,26117,24383,12968,16445,3655,14641
