"000:00:00.000","Info","2019-10-02 01:16:18","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7521 a7053 a7384 a7185"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.649","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.651","","","","","","ZONE_DISTANCES",13891,17987,16057,16540,15683,21110,11332,18332
"000:35:30.652","","","","","","ZONE_TIMERS",127.354,172.648,157.835,142.166,125.682,174.319,105.943,194.058
"000:35:30.653","","","","","","ZONE_COUNTERS",31,30,41,40,46,47,41,41
"000:35:30.654","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.654","","","","","","TOTAL_ARENA_DISTANCES",31877,32597,36793,29664
"000:40:30.691","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.691","","","","","","ZONE_DISTANCES",17788,14056,14846,17164,18515,18327,12096,15788
"000:40:30.692","","","","","","ZONE_TIMERS",169.134,130.907,133.825,166.216,148.535,151.506,110.473,189.568
"000:40:30.692","","","","","","ZONE_COUNTERS",31,30,38,37,43,43,39,39
"000:40:30.693","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.693","","","","","","TOTAL_ARENA_DISTANCES",31844,32010,36842,27884
"000:45:30.730","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.730","","","","","","ZONE_DISTANCES",17092,16746,19069,15203,11663,19376,10286,19200
"000:45:30.731","","","","","","ZONE_TIMERS",157.035,143.003,182.048,117.990,96.107,203.931,89.954,210.084
"000:45:30.732","","","","","","ZONE_COUNTERS",40,40,46,46,30,29,38,39
"000:45:30.733","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.733","","","","","","TOTAL_ARENA_DISTANCES",33838,34272,31039,29486
"000:50:30.775","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.776","","","","","","ZONE_DISTANCES",23880,15407,15053,16877,17255,21695,14057,16104
"000:50:30.776","","","","","","ZONE_TIMERS",180.231,119.813,129.089,170.956,106.112,193.932,117.611,182.434
"000:50:30.777","","","","","","ZONE_COUNTERS",50,50,46,46,46,46,47,48
"000:50:30.777","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.777","","","","","","TOTAL_ARENA_DISTANCES",39287,31930,38950,30161
"000:55:30.815","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.816","","","","","","ZONE_DISTANCES",19544,22368,19167,13540,15593,18842,15358,18768
"000:55:30.816","","","","","","ZONE_TIMERS",142.533,157.506,192.078,107.961,139.252,160.787,129.559,170.480
"000:55:30.817","","","","","","ZONE_COUNTERS",54,54,43,42,41,41,50,50
"000:55:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.818","","","","","","TOTAL_ARENA_DISTANCES",41911,32707,34435,34126
"001:00:30.883","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.883","","","","","","ZONE_DISTANCES",20347,19948,16742,15149,17405,19223,15560,16079
"001:00:30.884","","","","","","ZONE_TIMERS",142.196,157.871,143.803,156.264,107.550,192.517,127.561,172.505
"001:00:30.884","","","","","","ZONE_COUNTERS",53,54,42,42,45,44,55,54
