"000:00:00.000","Info","2019-10-03 01:38:29","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7523 a7733 a7410 a6900"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.762","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.763","","","","","","ZONE_DISTANCES",7830,17564,11452,16034,10900,20201,7374,18775
"000:35:30.765","","","","","","ZONE_TIMERS",90.198,209.869,120.621,179.446,93.871,206.196,74.155,225.912
"000:35:30.766","","","","","","ZONE_COUNTERS",46,46,30,30,46,46,48,49
"000:35:30.767","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.768","","","","","","TOTAL_ARENA_DISTANCES",25393,27486,31101,26149
"000:40:30.845","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.846","","","","","","ZONE_DISTANCES",17774,8592,12217,18028,14692,10005,15075,6643
"000:40:30.846","","","","","","ZONE_TIMERS",209.233,90.849,117.171,182.912,182.024,118.059,221.370,78.712
"000:40:30.847","","","","","","ZONE_COUNTERS",36,36,25,25,33,33,31,31
"000:40:30.848","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.848","","","","","","TOTAL_ARENA_DISTANCES",26366,30245,24697,21718
"000:45:30.901","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.902","","","","","","ZONE_DISTANCES",8213,18697,13967,15379,10503,13344,2466,16838
"000:45:30.902","","","","","","ZONE_TIMERS",85.472,214.583,136.842,163.213,132.987,167.068,29.188,270.867
"000:45:30.903","","","","","","ZONE_COUNTERS",31,30,23,23,40,40,20,20
"000:45:30.903","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.904","","","","","","TOTAL_ARENA_DISTANCES",26911,29345,23846,19304
"000:50:30.978","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.979","","","","","","ZONE_DISTANCES",16140,11534,21337,8465,12913,9639,10983,6639
"000:50:30.979","","","","","","ZONE_TIMERS",180.819,119.257,220.757,79.319,169.197,130.879,215.044,85.032
"000:50:30.980","","","","","","ZONE_COUNTERS",29,28,20,19,44,45,25,26
"000:50:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.981","","","","","","TOTAL_ARENA_DISTANCES",27673,29803,22553,17622
"000:55:31.043","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.044","","","","","","ZONE_DISTANCES",9814,16457,9484,19593,9580,15514,1461,16097
"000:55:31.044","","","","","","ZONE_TIMERS",110.884,189.180,83.879,216.185,117.254,182.810,13.957,286.107
"000:55:31.045","","","","","","ZONE_COUNTERS",34,33,23,22,44,45,18,19
"000:55:31.045","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.046","","","","","","TOTAL_ARENA_DISTANCES",26271,29077,25094,17558
"001:00:31.121","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.122","","","","","","ZONE_DISTANCES",22842,7037,13542,14637,12483,10996,17712,2991
"001:00:31.122","","","","","","ZONE_TIMERS",233.154,66.923,135.140,164.937,155.569,144.508,266.520,33.558
"001:00:31.123","","","","","","ZONE_COUNTERS",36,35,31,30,41,41,22,22
"001:00:31.123","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
