tank,mark,sex,fishID,fish_length,fish_width
G0203,Gre.Yel,male,a7012,3.094,0.435
G0203,Ora.Bro,male,a7584,3.063,0.434
G0203,Yel.Yel,male,a7120,3.336,0.467
G0203,Red.Gre,male,a7329,3.092,0.441
G0203,Bla._,male,a6921,3.6,0.515
G0203,Blu.Yel,female,a7704,3.267,0.597
G0203,Ora.Ora,male,a7447,3.075,0.404
G0203,Whi.Red,male,a7185,3.361,0.469
G0203,Blu.Gre,female,a7205,3.178,0.546
G0203,Pur.Red,male,a7270,3.241,0.461
G0203,Red._,male,a6888,3.349,0.447
G0203,Gre.Gre,male,a7426,3.246,0.566
G0203,Red.Pur,male,a6988,3.133,0.453
G0203,Blu.Bro,male,a7743,3.12,0.403
G0203,_.Red,male,a7384,2.98,0.47
G0203,Gre._,female,a7289,3.413,0.555
G0203,Pin.Ora,male,a7624,3.304,0.44
G0203,_.Pin,female,a8040,3.525,0.55
G0203,Bro.Gre,female,a7053,3.857,0.876
G0203,Gre.Blu,female,a7507,3.598,0.575
G0203,Gre.Bro,female,a7521,3.318,0.553
G0203,Red.Bro,male,a7097,3.206,0.469
G0203,Whi.Yel,male,a7648,3.411,0.476
G0203,Gre.Pin,male,a6830,3.13,0.458
G0205,Gre.Ora,female,a7668,3.717,0.713
G0205,Gre.Gre,female,a7509,3.476,0.6
G0205,Whi.Bla,female,a6943,3.495,0.593
G0205,Blu.Yel,female,a7303,3.565,0.635
G0205,Pin.Red,male,a6873,3.321,0.433
G0205,_._,male,a7341,3.346,0.49
G0205,Bro.Bla,female,a7364,3.521,0.461
G0205,Ora.Whi,male,a7557,3.352,0.465
G0205,Red.Bro,male,a6986,3.32,0.472
G0205,Pur.Ora,male,a7271,3.316,0.433
G0205,Whi.Gre,female,a8106,3.681,0.564
G0205,Bla.Ora,male,a7146,3.184,0.414
G0205,Blu.Ora,male,a7705,2.977,0.392
G0205,Blu.Blu,female,a6880,3.463,0.462
G0205,Yel.Bro,female,a7026,3.175,0.596
G0205,Red.Pur ,male,a7042,3.293,0.41
G0205,Bla.Pur,male,a7606,3.258,0.526
G0205,Pin.Gre,male,a7287,3.166,0.415
G0205,_.Pin,female,a8105,3.548,0.579
G0205,Whi.Red,male,a7373,3.003,0.451
G0205,Whi.Whi,female,a7102,3.336,0.522
G0205,Blu._,male,a7745,2.894,0.396
G0205,Yel.Ora,female,a7213,3.659,0.629
G0205,Bla._,male,a8104,3.183,0.459
G0206,Ora.Ora,female,a6900,3.745,0.609
G0206,Whi.Red,male,a7265,3.224,0.43
G0206,Pin._,female,a7653,3.464,0.595
G0206,Pur._,female,a6944,4.076,0.673
G0206,Gre.Gre,female,a7523,3.303,0.624
G0206,Yel._,female,a7208,3.442,0.574
G0206,_.Yel,male,a7119,3.445,0.469
G0206,Pin.Whi,female,a7625,3.104,0.442
G0206,_.Bro,female,a7085,3.584,0.643
G0206,Yel.Ora,female,a6818,3.709,0.591
G0206,Gre.Bla,male,a7510,3.063,0.442
G0206,Gre._,male,a6860,3.538,0.49
G0206,Gre.Yel,female,a7587,3.52,0.589
G0206,Pin.Gre,female,a7626,3.391,0.529
G0206,Ora.Red,male,a7066,3.889,0.562
G0206,Ora.Blu,male,a7410,3.753,0.522
G0206,Blu.Pin,male,a7000,3.285,0.6
G0206,Yel.Pin,female,a7585,3.833,0.627
G0206,Red.Red,female,a6984,3.464,0.592
G0206,Pin.Bla,male,a7283,3.281,0.458
G0206,Pin.Red,male,a7695,3.227,0.433
G0206,Ora.Bla,male,a7449,3.275,0.412
G0206,Pur.Red,male,a7733,3.168,0.441
G0206,Red._,female,a7385,3.145,0.577
G0208,Blu.Blu,female,a7304,3.592,0.554
G0208,Blu._,female,a8107,3.526,0.707
G0208,Pin.Gre,male,a7195,3.492,0.495
G0208,Whi.Yel,male,a7263,3.246,0.483
G0208,Pur.Pin,male,a6936,3.591,0.504
G0208,Blu.Red,female,a6890,3.641,0.643
G0208,Ora.Ora,male,a7617,3.158,0.396
G0208,Gre.Whi,male,a7588,3.137,0.424
G0208,Blu.Gre,female,a7706,3.513,0.549
G0208,Gre.Blu,female,a6863,3.219,0.465
G0208,Bla.Bla,male,a7103,3.259,0.445
G0208,_._,male,a7450,3.133,0.413
G0208,Ora.Blu,male,a7151,3.421,0.46
G0208,Pin.Pin,male,a7524,3.154,0.396
G0208,Yel.Bro,female,a7209,3.51,0.6
G0208,Ora._,male,a7058,3.357,0.462
G0208,_.Whi,male,a8053,3.305,0.397
G0208,Blu.Pin,male,a7746,3.176,0.5
G0208,Whi.Gre,male,a7372,3.352,0.428
G0208,Ora.Bro,male,a7489,3.125,0.438
G0208,Blu.Ora,male,a7004,3.169,0.531
G0208,_.Gre,male,a7428,3.423,0.503
G0208,_.Yel,male,a7331,3.124,0.483
G0208,Red._,male,a7650,3.161,0.472
