"000:00:00.000","Info","2019-08-06 05:10:56","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7120 a6921 a6830 a8040"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.629","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.630","","","","","","ZONE_DISTANCES",11002,35065,8512,15579,23588,32551,20039,17479
"000:35:30.630","","","","","","ZONE_TIMERS",69.863,230.184,103.671,196.376,145.085,154.962,181.019,119.028
"000:35:30.631","","","","","","ZONE_COUNTERS",36,36,28,27,57,57,63,63
"000:35:30.631","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.631","","","","","","TOTAL_ARENA_DISTANCES",46067,24092,56139,37519
"000:40:30.687","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.687","","","","","","ZONE_DISTANCES",29575,16779,16185,3168,22341,27610,15954,12843
"000:40:30.688","","","","","","ZONE_TIMERS",182.068,117.989,260.928,39.128,128.450,171.607,137.646,162.411
"000:40:30.688","","","","","","ZONE_COUNTERS",59,59,10,9,44,44,40,40
"000:40:30.689","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.689","","","","","","TOTAL_ARENA_DISTANCES",46354,19353,49951,28797
"000:45:30.745","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
