"000:00:00.000","Info","2019-08-06 01:26:23","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7624 a6988 a7270 a6888"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.770","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.770","","","","","","ZONE_DISTANCES",820,15201,15804,23218,14554,16397,5182,27834
"000:35:30.771","","","","","","ZONE_TIMERS",6.930,293.075,117.145,182.860,134.808,165.196,41.958,258.047
"000:35:30.771","","","","","","ZONE_COUNTERS",9,10,50,49,42,43,25,25
"000:35:30.772","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.772","","","","","","TOTAL_ARENA_DISTANCES",16021,39022,30951,33016
"000:40:30.781","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.782","","","","","","ZONE_DISTANCES",21819,6816,9578,23077,16095,16377,32624,6025
"000:40:30.783","","","","","","ZONE_TIMERS",265.417,34.594,56.935,243.075,143.951,156.059,262.549,37.461
"000:40:30.783","","","","","","ZONE_COUNTERS",17,17,28,28,46,47,26,26
"000:40:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.785","","","","","","TOTAL_ARENA_DISTANCES",28635,32655,32472,38649
"000:45:30.820","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.821","","","","","","ZONE_DISTANCES",2330,23033,19244,26862,7692,18883,15430,35790
"000:45:30.821","","","","","","ZONE_TIMERS",18.757,281.281,107.157,192.881,72.758,227.280,84.810,215.228
"000:45:30.822","","","","","","ZONE_COUNTERS",8,8,59,59,24,25,55,55
"000:45:30.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.823","","","","","","TOTAL_ARENA_DISTANCES",25363,46106,26574,51221
"000:50:30.859","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.860","","","","","","ZONE_DISTANCES",22470,3146,18684,23096,22291,10313,37602,24717
"000:50:30.860","","","","","","ZONE_TIMERS",297.017,3.022,126.866,173.172,208.091,91.948,160.910,139.129
"000:50:30.861","","","","","","ZONE_COUNTERS",10,10,55,55,36,36,87,87
"000:50:30.861","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.861","","","","","","TOTAL_ARENA_DISTANCES",25617,41780,32604,62318
"000:55:30.870","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.871","","","","","","ZONE_DISTANCES",151,20310,20095,25415,10731,19390,24088,28745
"000:55:30.871","","","","","","ZONE_TIMERS",1.715,298.295,154.574,145.435,93.180,206.830,126.603,173.407
"000:55:30.872","","","","","","ZONE_COUNTERS",2,2,68,68,36,35,52,52
"000:55:30.872","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.872","","","","","","TOTAL_ARENA_DISTANCES",20460,45510,30121,52833
"001:00:30.906","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.907","","","","","","ZONE_DISTANCES",24373,5241,16793,23291,17651,13287,23564,20487
"001:00:30.907","","","","","","ZONE_TIMERS",292.781,7.254,121.699,178.337,149.162,150.873,140.426,159.609
"001:00:30.908","","","","","","ZONE_COUNTERS",14,14,49,49,41,40,50,51
"001:00:30.908","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.908","","","","","","TOTAL_ARENA_DISTANCES",29614,40084,30939,44051
"001:00:30.913","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.914","","","","","","ZONE_DISTANCES",71963,73747,100198,144959,89014,94647,138490,143598
"001:00:30.915","","","","","","ZONE_TIMERS",882.624,917.523,684.379,1115.768,801.959,998.188,817.259,982.889
"001:00:30.916","","","","","","ZONE_COUNTERS",58,58,306,306,223,223,293,293
"001:00:30.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.917","","","","","","TOTAL_ARENA_DISTANCES",145709,245157,183661,282088
"001:03:02.499","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.500","","","","","","ZONE_DISTANCES",0,3913,4411,4236,293,4874,1593,4834
"001:03:02.500","","","","","","ZONE_TIMERS",0.000,60.069,35.768,24.301,2.609,57.459,15.639,44.429
"001:03:02.501","","","","","","ZONE_COUNTERS",0,1,12,11,4,4,5,6
"001:03:02.501","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.502","","","","","","TOTAL_ARENA_DISTANCES",3913,8647,5167,6427
"001:04:02.580","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.581","","","","","","ZONE_DISTANCES",3127,346,4121,3371,4048,1210,5659,2361
