"000:00:00.000","Info","2019-08-06 03:02:19","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7606 a6880 a8104 a7146"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.532","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.533","","","","","","ZONE_DISTANCES",2864,21127,20318,26043,2325,14408,57917,44602
"000:35:30.533","","","","","","ZONE_TIMERS",14.898,285.166,127.225,172.838,18.878,281.186,138.717,161.347
"000:35:30.534","","","","","","ZONE_COUNTERS",20,21,50,51,9,9,132,131
"000:35:30.534","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.534","","","","","","TOTAL_ARENA_DISTANCES",23991,46360,16733,102519
"000:40:30.607","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.607","","","","","","ZONE_DISTANCES",25928,1858,24021,25221,10778,666,83284,49100
"000:40:30.608","","","","","","ZONE_TIMERS",287.492,12.582,141.075,158.998,295.820,4.254,162.932,137.141
"000:40:30.608","","","","","","ZONE_COUNTERS",15,15,47,47,1,1,170,170
"000:40:30.609","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.609","","","","","","TOTAL_ARENA_DISTANCES",27786,49242,11444,132384
"000:45:30.680","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.682","","","","","","ZONE_DISTANCES",876,19612,20625,30527,441,16243,88589,88391
"000:45:30.684","","","","","","ZONE_TIMERS",3.071,297.001,109.366,190.705,4.171,295.900,123.657,176.414
"000:45:30.686","","","","","","ZONE_COUNTERS",3,3,56,56,5,5,278,279
"000:45:30.687","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.689","","","","","","TOTAL_ARENA_DISTANCES",20488,51153,16684,176980
"000:50:30.766","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.768","","","","","","ZONE_DISTANCES",11438,348,25280,24399,16704,1470,87936,63930
"000:50:30.770","","","","","","ZONE_TIMERS",296.667,3.418,151.987,148.098,286.589,13.496,209.332,90.753
"000:50:30.772","","","","","","ZONE_COUNTERS",2,2,50,50,11,11,233,234
"000:50:30.773","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.775","","","","","","TOTAL_ARENA_DISTANCES",11786,49679,18174,151866
"000:55:30.835","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.836","","","","","","ZONE_DISTANCES",845,10550,18963,30472,163,9293,106453,96568
"000:55:30.836","","","","","","ZONE_TIMERS",2.447,297.622,104.855,195.214,1.706,298.363,111.833,188.236
"000:55:30.837","","","","","","ZONE_COUNTERS",1,1,56,56,1,1,343,344
"000:55:30.837","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.838","","","","","","TOTAL_ARENA_DISTANCES",11395,49435,9456,203021
