"000:00:00.000","Info","2019-08-06 05:10:26","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7341 a7745 a7364 a7303"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.572","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.573","","","","","","ZONE_DISTANCES",12991,16327,14163,18393,20316,20485,7524,18202
"000:35:30.573","","","","","","ZONE_TIMERS",145.436,154.617,130.109,169.944,151.850,148.203,56.256,243.797
"000:35:30.574","","","","","","ZONE_COUNTERS",31,31,35,35,38,38,24,25
"000:35:30.575","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.575","","","","","","TOTAL_ARENA_DISTANCES",29318,32555,40801,25726
"000:40:30.623","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.626","","","","","","ZONE_DISTANCES",7473,11335,13335,24128,11120,28877,22142,19455
"000:40:30.628","","","","","","ZONE_TIMERS",42.837,257.212,99.384,200.665,67.070,232.979,153.794,146.255
"000:40:30.630","","","","","","ZONE_COUNTERS",19,19,29,30,22,22,48,48
"000:40:30.632","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.634","","","","","","TOTAL_ARENA_DISTANCES",18808,37463,39997,41596
"000:45:30.699","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.702","","","","","","ZONE_DISTANCES",10173,17465,22371,26245,13370,25941,5630,16451
"000:45:30.704","","","","","","ZONE_TIMERS",153.141,146.935,128.189,171.887,103.978,196.098,31.562,268.513
