"000:00:00.000","Info","2019-08-07 02:10:36","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7085 a6984 a7587 a7066"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.545","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.546","","","","","","ZONE_DISTANCES",11581,17092,17002,12813,21416,18993,17755,17096
"000:35:30.546","","","","","","ZONE_TIMERS",107.287,192.767,172.237,127.817,172.216,127.838,157.147,142.907
"000:35:30.547","","","","","","ZONE_COUNTERS",30,30,38,37,52,53,39,38
"000:35:30.547","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.547","","","","","","TOTAL_ARENA_DISTANCES",28673,29815,40409,34850
"000:40:30.608","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.609","","","","","","ZONE_DISTANCES",13766,19765,17396,11801,19019,18636,13767,13805
"000:40:30.609","","","","","","ZONE_TIMERS",118.035,182.027,180.409,119.653,135.730,164.333,131.695,168.367
"000:40:30.610","","","","","","ZONE_COUNTERS",33,33,40,40,46,46,33,33
"000:40:30.610","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.611","","","","","","TOTAL_ARENA_DISTANCES",33531,29197,37655,27572
"000:45:30.660","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.661","","","","","","ZONE_DISTANCES",12354,16337,11513,20631,19268,17490,14222,12110
"000:45:30.661","","","","","","ZONE_TIMERS",118.574,181.477,105.715,194.335,174.411,125.640,192.265,107.786
"000:45:30.662","","","","","","ZONE_COUNTERS",28,27,49,50,46,45,32,33
"000:45:30.662","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.662","","","","","","TOTAL_ARENA_DISTANCES",28691,32143,36757,26332
"000:50:30.705","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.706","","","","","","ZONE_DISTANCES",13770,21339,19101,10114,21368,20889,13315,14860
"000:50:30.706","","","","","","ZONE_TIMERS",112.573,187.470,198.162,101.882,130.624,169.419,117.122,182.922
"000:50:30.707","","","","","","ZONE_COUNTERS",36,36,28,28,53,52,36,37
"000:50:30.707","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.707","","","","","","TOTAL_ARENA_DISTANCES",35109,29216,42258,28176
"000:55:30.774","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.774","","","","","","ZONE_DISTANCES",24874,23271,11176,22807,18772,17432,15181,13123
"000:55:30.775","","","","","","ZONE_TIMERS",177.176,122.892,99.294,200.773,191.567,108.501,171.024,129.043
"000:55:30.775","","","","","","ZONE_COUNTERS",84,84,48,47,44,43,35,36
"000:55:30.776","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.776","","","","","","TOTAL_ARENA_DISTANCES",48145,33983,36203,28304
"001:00:30.819","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.819","","","","","","ZONE_DISTANCES",17155,20872,22910,9628,17038,15076,15529,15108
"001:00:30.820","","","","","","ZONE_TIMERS",124.585,175.459,212.332,87.712,140.326,159.718,127.291,172.753
"001:00:30.820","","","","","","ZONE_COUNTERS",48,47,41,40,38,37,37,38
"001:00:30.821","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.821","","","","","","TOTAL_ARENA_DISTANCES",38028,32537,32114,30637
"001:00:30.875","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.876","","","","","","ZONE_DISTANCES",93500,118676,99098,87794,116881,108516,89769,86102
"001:00:30.876","","","","","","ZONE_TIMERS",758.239,1042.095,968.158,832.175,944.883,855.451,896.547,903.787
"001:00:30.877","","","","","","ZONE_COUNTERS",256,255,241,240,275,275,211,211
"001:00:30.877","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.878","","","","","","TOTAL_ARENA_DISTANCES",212176,186892,225397,175870
"001:03:02.700","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.700","","","","","","ZONE_DISTANCES",2383,7483,729,5502,2560,2831,2617,3518
"001:03:02.701","","","","","","ZONE_TIMERS",16.646,43.420,7.125,52.941,39.631,20.435,27.744,32.322
"001:03:02.702","","","","","","ZONE_COUNTERS",18,17,10,9,7,7,8,8
"001:03:02.702","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.703","","","","","","TOTAL_ARENA_DISTANCES",9866,6231,5391,6135
"001:04:02.775","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.776","","","","","","ZONE_DISTANCES",5365,4004,5262,539,3308,2592,2315,2697
"001:04:02.777","","","","","","ZONE_TIMERS",32.159,27.915,54.851,5.224,34.713,25.362,22.782,37.293
"001:04:02.777","","","","","","ZONE_COUNTERS",14,14,8,7,8,8,5,6
"001:04:02.778","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.778","","","","","","TOTAL_ARENA_DISTANCES",9370,5801,5900,5012
"001:05:02.845","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:02.845","","","","","","ZONE_DISTANCES",6084,4465,983,5111,3329,3470,2919,2674
"001:05:02.846","","","","","","ZONE_TIMERS",38.744,21.324,10.023,50.045,34.133,25.935,33.884,26.184
"001:05:02.847","","","","","","ZONE_COUNTERS",16,17,9,9,9,9,7,7
"001:05:02.847","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.848","","","","","","TOTAL_ARENA_DISTANCES",10548,6094,6799,5592
"001:06:02.923","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:02.924","","","","","","ZONE_DISTANCES",5230,4481,5854,864,3494,2931,2843,2740
"001:06:02.925","","","","","","ZONE_TIMERS",30.675,29.402,52.807,7.270,35.626,24.452,27.629,32.448
"001:06:02.925","","","","","","ZONE_COUNTERS",15,15,8,9,8,9,7,7
"001:06:02.926","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.926","","","","","","TOTAL_ARENA_DISTANCES",9712,6719,6424,5583
"001:07:03.003","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.003","","","","","","ZONE_DISTANCES",5252,4598,1028,5519,3259,1702,3536,3005
"001:07:03.004","","","","","","ZONE_TIMERS",34.995,25.084,8.979,51.099,51.177,8.901,31.720,28.359
"001:07:03.005","","","","","","ZONE_COUNTERS",16,15,11,12,4,4,8,9
"001:07:03.005","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.006","","","","","","TOTAL_ARENA_DISTANCES",9849,6547,4962,6542
"001:07:03.069","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.072","","","","","","ZONE_DISTANCES",24314,25031,13856,17535,15950,13526,14230,14634
"001:07:03.074","","","","","","ZONE_TIMERS",153.222,147.147,133.787,166.582,195.282,105.087,143.761,156.608
"001:07:03.076","","","","","","ZONE_COUNTERS",77,76,44,44,35,34,34,34
"001:07:03.078","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.080","","","","","","TOTAL_ARENA_DISTANCES",49344,31391,29476,28864
"001:07:03.082","Info","2019-08-07 03:17:39","Service 'BLUGRE' : Execution end"
