"000:00:00.000","Info","2019-08-07 02:11:07","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7342 a7000 a7449 a7510"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.566","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.567","","","","","","ZONE_DISTANCES",8425,28052,6909,27893,13786,40502,14641,27761
"000:35:30.567","","","","","","ZONE_TIMERS",41.104,258.924,35.071,264.957,71.346,228.682,79.044,220.984
"000:35:30.568","","","","","","ZONE_COUNTERS",42,42,23,23,77,77,39,40
"000:35:30.568","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.568","","","","","","TOTAL_ARENA_DISTANCES",36477,34802,54288,42401
"000:40:30.580","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.581","","","","","","ZONE_DISTANCES",26848,10017,21674,4797,28147,24348,30531,31499
"000:40:30.581","","","","","","ZONE_TIMERS",271.053,28.959,274.955,25.057,155.080,144.932,135.368,164.645
"000:40:30.582","","","","","","ZONE_COUNTERS",32,31,10,10,61,62,81,82
"000:40:30.583","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.583","","","","","","TOTAL_ARENA_DISTANCES",36865,26471,52496,62030
"000:45:30.618","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.618","","","","","","ZONE_DISTANCES",9605,37812,1153,22559,34906,29377,42041,47667
"000:45:30.619","","","","","","ZONE_TIMERS",27.231,272.807,4.215,295.822,151.057,148.980,120.132,179.906
"000:45:30.619","","","","","","ZONE_COUNTERS",40,40,2,2,56,56,124,124
"000:45:30.620","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.620","","","","","","TOTAL_ARENA_DISTANCES",47417,23712,64283,89708
"000:50:30.659","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.660","","","","","","ZONE_DISTANCES",30395,9358,21984,980,23563,37278,27437,41335
"000:50:30.660","","","","","","ZONE_TIMERS",281.805,18.236,290.684,9.356,96.111,203.929,95.861,204.179
"000:50:30.661","","","","","","ZONE_COUNTERS",35,35,2,2,51,51,96,96
"000:50:30.661","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.662","","","","","","TOTAL_ARENA_DISTANCES",39752,22964,60841,68772
"000:55:30.669","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.670","","","","","","ZONE_DISTANCES",8348,39706,527,24194,13701,40141,26335,58426
"000:55:30.671","","","","","","ZONE_TIMERS",25.542,274.466,2.686,297.323,53.763,246.246,59.244,240.765
"000:55:30.672","","","","","","ZONE_COUNTERS",43,43,2,2,40,40,128,129
