"000:00:00.000","Info","2019-08-07 04:36:21","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6944 a6818 a6860 a7283"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.554","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.554","","","","","","ZONE_DISTANCES",16461,13131,16981,13666,16281,8651,24624,19686
"000:35:30.555","","","","","","ZONE_TIMERS",164.697,135.341,190.632,109.407,214.682,85.357,163.894,136.145
"000:35:30.555","","","","","","ZONE_COUNTERS",44,44,30,31,35,34,57,58
"000:35:30.556","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.556","","","","","","TOTAL_ARENA_DISTANCES",29592,30648,24932,44310
"000:40:30.612","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.612","","","","","","ZONE_DISTANCES",17013,12369,16411,15527,7438,4819,26651,19430
"000:40:30.613","","","","","","ZONE_TIMERS",172.308,127.749,166.686,133.371,210.368,89.689,173.483,126.574
"000:40:30.613","","","","","","ZONE_COUNTERS",47,46,33,33,25,24,57,57
"000:40:30.614","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.614","","","","","","TOTAL_ARENA_DISTANCES",29381,31938,12257,46082
"000:45:30.677","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.677","","","","","","ZONE_DISTANCES",18671,15515,19488,13194,13098,7554,21526,22625
"000:45:30.678","","","","","","ZONE_TIMERS",165.099,134.965,190.031,110.034,218.414,81.650,144.201,155.863
"000:45:30.679","","","","","","ZONE_COUNTERS",43,42,38,37,31,30,53,53
"000:45:30.679","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.679","","","","","","TOTAL_ARENA_DISTANCES",34186,32683,20651,44151
"000:50:30.735","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.735","","","","","","ZONE_DISTANCES",18887,17280,20591,17480,8185,5785,24231,18128
"000:50:30.736","","","","","","ZONE_TIMERS",167.529,132.528,168.253,131.804,201.701,98.356,174.329,125.728
"000:50:30.736","","","","","","ZONE_COUNTERS",46,45,44,44,29,28,49,50
"000:50:30.737","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.737","","","","","","TOTAL_ARENA_DISTANCES",36167,38070,13970,42359
"000:55:30.802","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.803","","","","","","ZONE_DISTANCES",19590,10972,29993,13633,9687,5208,23990,19771
"000:55:30.803","","","","","","ZONE_TIMERS",196.510,103.556,221.180,78.886,211.654,88.412,163.300,136.767
"000:55:30.804","","","","","","ZONE_COUNTERS",42,41,41,41,29,28,51,51
"000:55:30.804","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.805","","","","","","TOTAL_ARENA_DISTANCES",30562,43626,14896,43761
"001:00:30.848","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.848","","","","","","ZONE_DISTANCES",19367,14013,21313,23590,12749,7097,25626,20870
"001:00:30.849","","","","","","ZONE_TIMERS",179.746,120.299,148.315,151.730,239.603,60.442,163.084,136.961
"001:00:30.850","","","","","","ZONE_COUNTERS",46,46,51,50,24,23,55,54
"001:00:30.850","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.851","","","","","","TOTAL_ARENA_DISTANCES",33379,44903,19846,46496
"001:00:30.909","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.909","","","","","","ZONE_DISTANCES",109989,83280,124777,97090,67438,39114,146648,120510
"001:00:30.910","","","","","","ZONE_TIMERS",1045.892,754.447,1085.105,715.234,1296.429,503.910,982.299,818.040
"001:00:30.911","","","","","","ZONE_COUNTERS",263,264,234,234,168,167,320,320
"001:00:30.911","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.912","","","","","","TOTAL_ARENA_DISTANCES",193268,221867,106552,267158
"001:03:02.870","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.871","","","","","","ZONE_DISTANCES",3638,2698,4000,3818,2166,397,5684,4496
"001:03:02.872","","","","","","ZONE_TIMERS",34.397,25.663,32.656,27.405,54.711,5.349,32.259,27.801
"001:03:02.872","","","","","","ZONE_COUNTERS",9,8,10,10,5,4,13,12
"001:03:02.873","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.873","","","","","","TOTAL_ARENA_DISTANCES",6337,7817,2563,10180
"001:04:02.948","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:02.949","","","","","","ZONE_DISTANCES",4387,2649,3551,3490,3756,2689,4443,4699
"001:04:02.950","","","","","","ZONE_TIMERS",36.510,23.567,32.316,27.761,40.446,19.631,26.341,33.737
"001:04:02.950","","","","","","ZONE_COUNTERS",11,10,8,9,9,8,11,11
"001:04:02.951","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.951","","","","","","TOTAL_ARENA_DISTANCES",7036,7041,6445,9142
"001:05:03.026","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.026","","","","","","ZONE_DISTANCES",3864,3006,3424,2898,2586,3014,3771,4988
"001:05:03.027","","","","","","ZONE_TIMERS",33.503,26.574,34.846,25.230,31.593,28.483,24.072,36.004
"001:05:03.028","","","","","","ZONE_COUNTERS",10,9,8,9,7,6,10,11
"001:05:03.028","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.029","","","","","","TOTAL_ARENA_DISTANCES",6870,6322,5600,8759
"001:06:03.124","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.124","","","","","","ZONE_DISTANCES",3885,2811,3866,3358,4407,4123,4239,4912
"001:06:03.125","","","","","","ZONE_TIMERS",33.614,26.483,33.893,26.203,32.812,27.285,26.117,33.980
"001:06:03.126","","","","","","ZONE_COUNTERS",10,9,7,8,12,12,11,12
"001:06:03.127","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.127","","","","","","TOTAL_ARENA_DISTANCES",6696,7224,8530,9151
"001:07:03.176","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.176","","","","","","ZONE_DISTANCES",3570,2510,3586,2503,4987,4101,4474,4988
"001:07:03.177","","","","","","ZONE_TIMERS",33.497,26.554,37.494,22.557,31.664,28.388,26.867,33.184
"001:07:03.177","","","","","","ZONE_COUNTERS",10,10,7,8,12,12,12,12
"001:07:03.178","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.178","","","","","","TOTAL_ARENA_DISTANCES",6079,6090,9088,9461
"001:07:03.246","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.249","","","","","","ZONE_DISTANCES",19344,13674,18427,16067,17902,14324,22611,24083
"001:07:03.251","","","","","","ZONE_TIMERS",171.523,128.843,171.208,129.158,191.228,109.138,135.658,164.708
"001:07:03.253","","","","","","ZONE_COUNTERS",46,46,40,40,42,41,56,55
"001:07:03.255","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.257","","","","","","TOTAL_ARENA_DISTANCES",33018,34494,32226,46694
"001:07:03.259","Info","2019-08-07 05:43:25","Service 'BLUGRE' : Execution end"
