"000:00:00.000","Info","2019-08-07 00:15:46","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6863 a7450 a7428 a8053"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.679","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.679","","","","","","ZONE_DISTANCES",9123,20825,2391,26798,12294,30204,6180,18898
"000:35:30.680","","","","","","ZONE_TIMERS",87.184,212.847,18.685,281.346,82.876,217.155,64.105,235.926
"000:35:30.680","","","","","","ZONE_COUNTERS",36,35,15,16,50,50,34,33
"000:35:30.681","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.681","","","","","","TOTAL_ARENA_DISTANCES",29948,29189,42498,25078
"000:40:30.723","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.724","","","","","","ZONE_DISTANCES",20968,9362,29344,5527,25173,16971,19090,3907
"000:40:30.724","","","","","","ZONE_TIMERS",205.817,94.226,259.103,40.940,177.247,122.797,258.314,41.729
"000:40:30.725","","","","","","ZONE_COUNTERS",37,36,26,26,46,45,19,18
"000:40:30.725","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.725","","","","","","TOTAL_ARENA_DISTANCES",30330,34871,42144,22997
