"000:00:00.000","Info","2019-08-07 04:36:25","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7103 a7524 a7304 a7331"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.589","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.590","","","","","","ZONE_DISTANCES",13921,19700,10492,22099,14696,22348,13362,19948
"000:35:30.590","","","","","","ZONE_TIMERS",124.820,175.237,88.771,211.286,117.378,182.680,114.036,186.021
"000:35:30.591","","","","","","ZONE_COUNTERS",44,43,38,38,35,34,43,43
"000:35:30.591","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.592","","","","","","TOTAL_ARENA_DISTANCES",33621,32591,37044,33311
"000:40:30.642","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.642","","","","","","ZONE_DISTANCES",14972,24116,16615,15961,20785,21480,13251,16186
"000:40:30.643","","","","","","ZONE_TIMERS",103.537,196.514,158.996,141.055,149.074,150.977,114.365,185.686
"000:40:30.643","","","","","","ZONE_COUNTERS",55,55,46,46,37,37,31,31
"000:40:30.644","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.644","","","","","","TOTAL_ARENA_DISTANCES",39088,32576,42266,29437
"000:45:30.707","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.707","","","","","","ZONE_DISTANCES",18410,23666,10135,19488,14846,23125,11240,19258
"000:45:30.708","","","","","","ZONE_TIMERS",128.622,171.442,89.519,210.545,118.172,181.893,104.080,195.984
"000:45:30.708","","","","","","ZONE_COUNTERS",61,62,34,33,28,28,41,41
"000:45:30.709","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.709","","","","","","TOTAL_ARENA_DISTANCES",42076,29622,37971,30498
"000:50:30.774","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.774","","","","","","ZONE_DISTANCES",17492,17979,16020,12939,19965,17555,11775,14195
"000:50:30.775","","","","","","ZONE_TIMERS",138.782,161.283,173.768,126.297,161.122,138.944,115.885,184.181
"000:50:30.775","","","","","","ZONE_COUNTERS",46,46,39,38,33,32,25,26
"000:50:30.776","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.776","","","","","","TOTAL_ARENA_DISTANCES",35471,28959,37519,25970
