"000:00:00.000","Info","2019-08-07 02:11:01","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7746 a6890 a7706 a7004"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.605","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.605","","","","","","ZONE_DISTANCES",14189,20152,11569,13554,10253,31240,28659,14161
"000:35:30.605","","","","","","ZONE_TIMERS",110.504,189.543,150.149,149.898,73.793,226.253,209.333,90.714
"000:35:30.606","","","","","","ZONE_COUNTERS",30,30,48,47,34,34,66,65
"000:35:30.606","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.607","","","","","","TOTAL_ARENA_DISTANCES",34341,25123,41493,42820
"000:40:30.696","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.696","","","","","","ZONE_DISTANCES",11449,20492,17472,9810,18939,21155,12312,28603
"000:40:30.697","","","","","","ZONE_TIMERS",93.946,206.145,170.517,129.573,120.469,179.622,80.848,219.242
"000:40:30.697","","","","","","ZONE_COUNTERS",25,26,53,52,43,44,54,54
"000:40:30.697","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.698","","","","","","TOTAL_ARENA_DISTANCES",31940,27282,40094,40915
