"000:00:00.000","Info","2019-08-07 00:16:19","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7372 a7263 a7209 a8107"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.684","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.686","","","","","","ZONE_DISTANCES",12566,38168,7354,26851,5934,4465,28674,15362
"000:35:30.688","","","","","","ZONE_TIMERS",41.841,258.160,52.461,247.540,204.006,95.995,215.292,84.709
"000:35:30.689","","","","","","ZONE_COUNTERS",66,66,33,33,10,11,57,57
"000:35:30.691","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.692","","","","","","TOTAL_ARENA_DISTANCES",50735,34205,10399,44036
"000:40:30.722","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.722","","","","","","ZONE_DISTANCES",36104,555,17675,28983,1435,2354,13520,25186
"000:40:30.723","","","","","","ZONE_TIMERS",295.723,4.315,120.644,179.394,187.967,112.071,79.021,221.017
"000:40:30.724","","","","","","ZONE_COUNTERS",2,2,46,45,2,2,35,35
"000:40:30.724","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.725","","","","","","TOTAL_ARENA_DISTANCES",36659,46658,3790,38706
"000:45:30.734","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.734","","","","","","ZONE_DISTANCES",14553,45094,7882,27042,4106,552,33791,6962
"000:45:30.735","","","","","","ZONE_TIMERS",10.288,289.722,57.378,242.632,295.777,4.233,275.990,24.020
"000:45:30.735","","","","","","ZONE_COUNTERS",39,39,30,29,3,2,23,23
"000:45:30.736","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.736","","","","","","TOTAL_ARENA_DISTANCES",59647,34923,4658,40753
"000:50:30.771","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.772","","","","","","ZONE_DISTANCES",47503,437,32032,21016,609,3964,21438,24357
"000:50:30.772","","","","","","ZONE_TIMERS",299.504,0.533,207.276,92.761,4.460,295.577,102.359,197.678
