"000:00:00.000","Info","2019-09-24 00:27:42","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7584 a7447 a7012 a7097"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.656","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.656","","","","","","ZONE_DISTANCES",15940,22815,20940,19893,15674,18741,22538,17788
"000:35:30.657","","","","","","ZONE_TIMERS",113.982,186.021,152.435,147.568,137.804,162.199,161.570,138.434
"000:35:30.658","","","","","","ZONE_COUNTERS",42,42,44,44,34,34,55,55
"000:35:30.658","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.658","","","","","","TOTAL_ARENA_DISTANCES",38756,40833,34415,40326
"000:40:30.696","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.696","","","","","","ZONE_DISTANCES",12503,27400,15985,30574,18522,16804,18525,17761
"000:40:30.697","","","","","","ZONE_TIMERS",81.637,218.403,86.048,213.992,161.866,138.174,162.363,137.677
"000:40:30.697","","","","","","ZONE_COUNTERS",38,39,45,45,25,24,38,39
"000:40:30.698","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.698","","","","","","TOTAL_ARENA_DISTANCES",39903,46559,35326,36286
"000:45:30.706","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.707","","","","","","ZONE_DISTANCES",13175,28305,24010,29684,14997,16797,23423,20452
"000:45:30.707","","","","","","ZONE_TIMERS",88.663,211.346,124.530,175.479,135.492,164.516,152.578,147.431
"000:45:30.708","","","","","","ZONE_COUNTERS",34,35,56,56,49,49,56,56
"000:45:30.708","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.708","","","","","","TOTAL_ARENA_DISTANCES",41480,53694,31794,43875
"000:50:30.744","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.744","","","","","","ZONE_DISTANCES",10449,26755,17013,31858,14921,17445,19477,18965
"000:50:30.745","","","","","","ZONE_TIMERS",73.609,226.428,88.128,211.909,137.268,162.769,151.467,148.570
"000:50:30.745","","","","","","ZONE_COUNTERS",34,35,45,44,36,37,53,52
"000:50:30.746","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.746","","","","","","TOTAL_ARENA_DISTANCES",37204,48871,32365,38442
"000:55:30.785","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.785","","","","","","ZONE_DISTANCES",20678,21251,22715,23912,12539,16113,21103,18830
"000:55:30.786","","","","","","ZONE_TIMERS",143.405,156.635,145.857,154.182,121.428,178.612,153.438,146.602
"000:55:30.786","","","","","","ZONE_COUNTERS",47,47,48,48,33,33,50,50
"000:55:30.786","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.787","","","","","","TOTAL_ARENA_DISTANCES",41929,46627,28653,39933
"001:00:30.795","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.796","","","","","","ZONE_DISTANCES",22813,24986,13326,34393,14001,16971,19350,19890
"001:00:30.797","","","","","","ZONE_TIMERS",138.925,161.084,68.601,231.409,140.712,159.298,155.849,144.160
"001:00:30.798","","","","","","ZONE_COUNTERS",57,57,40,41,34,34,56,56
"001:00:30.799","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.800","","","","","","TOTAL_ARENA_DISTANCES",47798,47720,30971,39240
"001:00:30.880","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.880","","","","","","ZONE_DISTANCES",95558,151512,113989,170314,90654,102871,124416,113686
"001:00:30.881","","","","","","ZONE_TIMERS",640.224,1159.928,665.602,1134.550,834.572,965.580,937.275,862.877
"001:00:30.882","","","","","","ZONE_COUNTERS",251,251,275,276,208,209,306,305
"001:00:30.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.883","","","","","","TOTAL_ARENA_DISTANCES",247070,284303,193525,238102
"001:03:02.133","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.134","","","","","","ZONE_DISTANCES",5058,4333,3266,4225,2028,3252,4400,3982
"001:03:02.134","","","","","","ZONE_TIMERS",31.952,28.065,27.046,32.971,20.656,39.361,29.699,30.318
"001:03:02.135","","","","","","ZONE_COUNTERS",12,13,12,12,9,9,10,10
"001:03:02.135","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.136","","","","","","TOTAL_ARENA_DISTANCES",9391,7491,5280,8383
"001:04:02.152","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.153","","","","","","ZONE_DISTANCES",4030,5232,4071,3011,2781,2620,3834,2933
