"000:00:00.000","Info","2019-09-28 04:11:31","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7364 a7303 a7341 a7745"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.518","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.520","","","","","","ZONE_DISTANCES",22002,23382,15945,717,5070,8258,12829,12393
"000:35:30.521","","","","","","ZONE_TIMERS",128.217,171.838,292.761,7.294,42.614,257.441,194.454,105.602
"000:35:30.522","","","","","","ZONE_COUNTERS",54,55,10,9,13,13,28,29
"000:35:30.523","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.524","","","","","","TOTAL_ARENA_DISTANCES",45384,16663,13328,25222
"000:40:30.589","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.589","","","","","","ZONE_DISTANCES",15280,8238,267,10126,4979,1732,13969,11851
"000:40:30.590","","","","","","ZONE_TIMERS",268.824,31.246,1.796,298.274,275.092,24.978,176.825,123.244
"000:40:30.590","","","","","","ZONE_COUNTERS",22,23,1,1,5,5,30,30
"000:40:30.591","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.591","","","","","","TOTAL_ARENA_DISTANCES",23518,10392,6711,25820
"000:45:30.645","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.645","","","","","","ZONE_DISTANCES",16711,17225,11396,833,2623,4428,14119,12197
"000:45:30.646","","","","","","ZONE_TIMERS",108.950,191.105,289.959,10.096,17.608,282.447,165.216,134.839
"000:45:30.646","","","","","","ZONE_COUNTERS",44,45,8,8,6,6,30,29
"000:45:30.647","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.647","","","","","","TOTAL_ARENA_DISTANCES",33936,12230,7051,26316
"000:50:30.716","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.716","","","","","","ZONE_DISTANCES",24232,10593,782,8942,4131,841,15258,12703
"000:50:30.717","","","","","","ZONE_TIMERS",242.563,57.507,44.679,255.391,294.796,5.274,170.727,129.343
"000:50:30.717","","","","","","ZONE_COUNTERS",34,34,7,7,2,2,35,34
"000:50:30.718","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.718","","","","","","TOTAL_ARENA_DISTANCES",34825,9723,4972,27961
"000:55:30.769","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.770","","","","","","ZONE_DISTANCES",14688,15221,9911,505,1562,3074,14003,13415
"000:55:30.771","","","","","","ZONE_TIMERS",122.012,178.041,295.224,4.828,9.206,290.846,167.866,132.187
"000:55:30.771","","","","","","ZONE_COUNTERS",39,38,4,4,4,4,31,31
"000:55:30.772","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.772","","","","","","TOTAL_ARENA_DISTANCES",29909,10416,4636,27418
"001:00:30.832","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.832","","","","","","ZONE_DISTANCES",19907,12333,1773,9034,3460,834,15381,11649
"001:00:30.833","","","","","","ZONE_TIMERS",216.320,83.742,37.246,262.816,296.536,3.525,184.183,115.879
"001:00:30.833","","","","","","ZONE_COUNTERS",42,41,8,8,3,3,30,30
"001:00:30.834","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.834","","","","","","TOTAL_ARENA_DISTANCES",32240,10807,4294,27030
"001:00:30.893","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.893","","","","","","ZONE_DISTANCES",112820,86992,40074,30157,21825,19167,85559,74208
"001:00:30.894","","","","","","ZONE_TIMERS",1086.894,713.481,961.667,838.708,935.861,864.514,1059.280,741.095
"001:00:30.896","","","","","","ZONE_COUNTERS",233,233,35,35,31,30,181,181
"001:00:30.898","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
