"000:00:00.000","Info","2019-09-25 08:27:11","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7617 a7195 a7650 a7151"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.516","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.517","","","","","","ZONE_DISTANCES",20237,20086,16964,22017,25890,30589,21037,17249
"000:35:30.517","","","","","","ZONE_TIMERS",130.559,169.478,118.143,181.894,137.774,162.263,159.044,140.993
"000:35:30.518","","","","","","ZONE_COUNTERS",48,48,40,41,60,60,52,51
"000:35:30.518","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.519","","","","","","TOTAL_ARENA_DISTANCES",40323,38982,56479,38286
"000:40:30.573","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.574","","","","","","ZONE_DISTANCES",19256,23139,21255,14795,26753,25291,17668,14678
"000:40:30.574","","","","","","ZONE_TIMERS",120.698,179.357,193.924,106.131,158.669,141.386,176.076,123.980
"000:40:30.575","","","","","","ZONE_COUNTERS",40,41,38,39,60,60,52,51
"000:40:30.575","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.575","","","","","","TOTAL_ARENA_DISTANCES",42395,36049,52043,32346
"000:45:30.638","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.639","","","","","","ZONE_DISTANCES",22115,23039,17430,19612,25519,25140,9008,11294
"000:45:30.640","","","","","","ZONE_TIMERS",118.028,182.036,108.515,191.549,146.866,153.198,82.733,217.331
"000:45:30.641","","","","","","ZONE_COUNTERS",41,41,46,46,62,62,28,28
"000:45:30.642","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
