"000:00:00.000","Info","2019-09-26 00:28:20","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7271 a7557 a8106 a7197"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.639","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.639","","","","","","ZONE_DISTANCES",22337,29849,9734,17112,21506,5038,13745,18236
"000:35:30.640","","","","","","ZONE_TIMERS",101.981,198.024,108.380,191.625,243.683,56.322,124.366,175.639
"000:35:30.641","","","","","","ZONE_COUNTERS",67,67,38,39,36,35,32,33
"000:35:30.641","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.641","","","","","","TOTAL_ARENA_DISTANCES",52186,26846,26544,31981
"000:40:30.676","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.677","","","","","","ZONE_DISTANCES",34210,10230,14278,13580,740,13170,7694,18720
"000:40:30.677","","","","","","ZONE_TIMERS",229.518,70.519,150.809,149.229,7.459,292.578,61.913,238.124
"000:40:30.678","","","","","","ZONE_COUNTERS",52,51,37,37,1,1,24,24
"000:40:30.678","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.678","","","","","","TOTAL_ARENA_DISTANCES",44439,27858,13911,26414
"000:45:30.717","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.717","","","","","","ZONE_DISTANCES",33152,41939,13698,14356,8315,836,11766,15616
"000:45:30.718","","","","","","ZONE_TIMERS",127.965,172.074,148.714,151.326,287.217,12.822,145.651,154.388
"000:45:30.718","","","","","","ZONE_COUNTERS",100,100,40,39,1,1,49,49
"000:45:30.719","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.719","","","","","","TOTAL_ARENA_DISTANCES",75091,28055,9150,27382
"000:50:30.728","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.728","","","","","","ZONE_DISTANCES",38855,4413,14345,14909,643,8659,21221,8257
"000:50:30.729","","","","","","ZONE_TIMERS",270.497,29.513,139.471,160.539,10.125,289.885,210.740,89.270
"000:50:30.729","","","","","","ZONE_COUNTERS",35,35,37,36,1,1,59,60
"000:50:30.730","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.730","","","","","","TOTAL_ARENA_DISTANCES",43268,29254,9302,29478
"000:55:30.802","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.804","","","","","","ZONE_DISTANCES",40077,39928,7924,19676,8907,432,4274,25058
"000:55:30.806","","","","","","ZONE_TIMERS",157.064,143.009,78.176,221.897,293.350,6.723,41.837,258.236
"000:55:30.808","","","","","","ZONE_COUNTERS",105,105,38,38,1,1,54,55
"000:55:30.809","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.811","","","","","","TOTAL_ARENA_DISTANCES",80005,27600,9339,29331
"001:00:30.873","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.873","","","","","","ZONE_DISTANCES",42084,3974,11757,17539,333,8795,24151,6906
"001:00:30.874","","","","","","ZONE_TIMERS",273.651,26.420,109.858,190.212,4.924,295.146,233.368,66.702
"001:00:30.874","","","","","","ZONE_COUNTERS",51,51,27,28,1,1,66,67
"001:00:30.875","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.875","","","","","","TOTAL_ARENA_DISTANCES",46058,29296,9128,31058
"001:00:30.928","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.929","","","","","","ZONE_DISTANCES",210715,130333,71736,97172,40444,36930,82851,92793
"001:00:30.929","","","","","","ZONE_TIMERS",1160.685,639.561,735.410,1064.836,846.760,953.486,817.877,982.368
"001:00:30.930","","","","","","ZONE_COUNTERS",407,407,214,215,38,38,283,284
"001:00:30.930","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.930","","","","","","TOTAL_ARENA_DISTANCES",341048,168907,77374,175644
"001:03:02.709","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.710","","","","","","ZONE_DISTANCES",824,7648,390,4978,0,1823,123,5487
