"000:00:00.000","Info","2019-09-28 02:47:58","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6944 a6818 a6860 a7283"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.660","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.661","","","","","","ZONE_DISTANCES",15234,23688,1638,2934,10479,12330,25289,12198
"000:35:30.662","","","","","","ZONE_TIMERS",118.333,181.724,7.211,292.845,173.428,126.629,205.865,94.192
"000:35:30.662","","","","","","ZONE_COUNTERS",40,39,5,6,25,25,67,68
"000:35:30.663","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.664","","","","","","TOTAL_ARENA_DISTANCES",38922,4572,22809,37487
"000:40:30.722","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.723","","","","","","ZONE_DISTANCES",11088,19383,6488,1294,4065,10459,13423,25437
"000:40:30.724","","","","","","ZONE_TIMERS",129.949,170.112,283.155,16.906,46.289,253.772,96.784,203.277
"000:40:30.724","","","","","","ZONE_COUNTERS",31,31,4,5,16,15,55,56
"000:40:30.725","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.725","","","","","","TOTAL_ARENA_DISTANCES",30471,7782,14524,38861
"000:45:30.787","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.787","","","","","","ZONE_DISTANCES",7602,10627,3116,5886,6086,1630,17085,20967
"000:45:30.788","","","","","","ZONE_TIMERS",77.201,222.863,20.028,280.036,274.827,25.237,119.126,180.938
"000:45:30.789","","","","","","ZONE_COUNTERS",30,30,8,9,10,9,43,44
"000:45:30.789","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.790","","","","","","TOTAL_ARENA_DISTANCES",18229,9002,7717,38052
"000:50:30.877","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.877","","","","","","ZONE_DISTANCES",4186,6612,3024,750,1885,7558,19493,23027
"000:50:30.878","","","","","","ZONE_TIMERS",91.001,209.088,221.507,78.582,24.969,275.120,125.136,174.954
"000:50:30.879","","","","","","ZONE_COUNTERS",14,14,2,2,19,19,62,63
"000:50:30.879","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.880","","","","","","TOTAL_ARENA_DISTANCES",10798,3774,9443,42520
"000:55:30.947","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.948","","","","","","ZONE_DISTANCES",5218,9074,522,1312,6253,3650,26085,16948
"000:55:30.949","","","","","","ZONE_TIMERS",55.413,244.657,137.124,162.945,222.358,77.712,186.679,113.391
"000:55:30.949","","","","","","ZONE_COUNTERS",20,21,3,3,21,21,69,70
"000:55:30.950","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.950","","","","","","TOTAL_ARENA_DISTANCES",14292,1834,9903,43033
"001:00:31.024","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.024","","","","","","ZONE_DISTANCES",7678,9692,3581,1381,2322,6928,18685,21959
"001:00:31.025","","","","","","ZONE_TIMERS",121.595,178.480,286.835,13.240,29.520,270.555,126.091,173.984
"001:00:31.026","","","","","","ZONE_COUNTERS",24,24,4,4,12,12,57,58
"001:00:31.026","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.027","","","","","","TOTAL_ARENA_DISTANCES",17370,4962,9250,40644
"001:00:31.095","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.095","","","","","","ZONE_DISTANCES",51006,79076,18369,13557,31090,42555,120060,120536
"001:00:31.096","","","","","","ZONE_TIMERS",593.501,1206.926,955.870,844.557,771.392,1029.035,859.682,940.745
"001:00:31.097","","","","","","ZONE_COUNTERS",157,156,25,25,99,100,353,354
"001:00:31.098","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.098","","","","","","TOTAL_ARENA_DISTANCES",130082,31926,73644,240596
"001:03:03.212","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.214","","","","","","ZONE_DISTANCES",2161,3081,233,233,404,1261,2393,4790
"001:03:03.215","","","","","","ZONE_TIMERS",24.081,35.981,1.973,58.089,7.101,52.961,18.269,41.793
"001:03:03.217","","","","","","ZONE_COUNTERS",6,5,1,1,4,4,10,11
"001:03:03.218","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.219","","","","","","TOTAL_ARENA_DISTANCES",5242,466,1665,7183
