"000:00:00.000","Info","2019-09-28 00:00:06","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7304 a7331 a7103 a7524"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.693","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.694","","","","","","ZONE_DISTANCES",9665,5081,13455,16038,8857,17823,14863,19229
"000:35:30.695","","","","","","ZONE_TIMERS",230.270,69.769,140.518,159.521,102.452,197.586,131.278,168.760
"000:35:30.695","","","","","","ZONE_COUNTERS",31,30,34,35,68,69,76,77
"000:35:30.696","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.696","","","","","","TOTAL_ARENA_DISTANCES",14746,29493,26680,34092
"000:40:30.784","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.784","","","","","","ZONE_DISTANCES",2798,956,13590,13644,13987,13422,21898,9338
"000:40:30.785","","","","","","ZONE_TIMERS",284.381,15.709,138.217,161.872,146.767,153.322,215.588,84.501
"000:40:30.785","","","","","","ZONE_COUNTERS",5,4,30,31,41,41,45,45
"000:40:30.786","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.786","","","","","","TOTAL_ARENA_DISTANCES",3754,27234,27409,31236
"000:45:30.860","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.860","","","","","","ZONE_DISTANCES",2058,714,13008,11947,13938,13882,11018,16941
"000:45:30.861","","","","","","ZONE_TIMERS",288.555,11.520,161.253,138.822,156.183,143.892,112.986,187.089
"000:45:30.862","","","","","","ZONE_COUNTERS",3,2,31,32,49,49,50,49
"000:45:30.862","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.863","","","","","","TOTAL_ARENA_DISTANCES",2772,24955,27819,27959
"000:50:30.923","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.923","","","","","","ZONE_DISTANCES",31,0,11317,12499,14580,12830,21508,5663
"000:50:30.924","","","","","","ZONE_TIMERS",300.062,0.000,137.670,162.392,149.657,150.405,243.119,56.943
"000:50:30.924","","","","","","ZONE_COUNTERS",1,0,32,33,53,54,38,37
"000:50:30.925","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.925","","","","","","TOTAL_ARENA_DISTANCES",31,23815,27411,27170
"000:55:31.007","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.008","","","","","","ZONE_DISTANCES",424,1271,12740,13272,6080,18858,11019,15937
"000:55:31.009","","","","","","ZONE_TIMERS",217.843,82.241,146.827,153.256,70.767,229.316,118.372,181.712
"000:55:31.009","","","","","","ZONE_COUNTERS",1,1,29,29,35,35,46,46
"000:55:31.010","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.010","","","","","","TOTAL_ARENA_DISTANCES",1694,26012,24937,26956
"001:00:31.097","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.097","","","","","","ZONE_DISTANCES",4220,687,12633,12668,17876,7650,20157,8564
"001:00:31.098","","","","","","ZONE_TIMERS",289.827,10.261,126.096,173.993,203.953,96.135,220.167,79.921
"001:00:31.098","","","","","","ZONE_COUNTERS",4,4,30,29,45,45,42,43
"001:00:31.099","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.099","","","","","","TOTAL_ARENA_DISTANCES",4907,25301,25527,28721
"001:00:31.166","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.166","","","","","","ZONE_DISTANCES",19196,8709,76743,80068,75318,84465,100463,75672
"001:00:31.167","","","","","","ZONE_TIMERS",1610.947,189.501,850.590,949.858,829.782,970.666,1041.513,758.935
"001:00:31.168","","","","","","ZONE_COUNTERS",41,40,185,185,289,290,294,295
"001:00:31.168","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.169","","","","","","TOTAL_ARENA_DISTANCES",27905,156812,159783,176135
"001:03:03.157","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.158","","","","","","ZONE_DISTANCES",66,861,2357,2273,1096,2715,2028,3829
"001:03:03.159","","","","","","ZONE_TIMERS",1.216,58.836,37.551,22.501,16.110,43.942,20.069,39.983
"001:03:03.159","","","","","","ZONE_COUNTERS",2,3,7,6,8,8,9,9
"001:03:03.160","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.160","","","","","","TOTAL_ARENA_DISTANCES",926,4630,3811,5857
"001:04:03.218","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.218","","","","","","ZONE_DISTANCES",1700,532,2270,2874,3464,1079,3491,2331
"001:04:03.219","","","","","","ZONE_TIMERS",49.842,10.218,22.315,37.744,43.979,16.081,37.598,22.462
"001:04:03.220","","","","","","ZONE_COUNTERS",2,2,7,7,10,9,11,10
"001:04:03.220","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.221","","","","","","TOTAL_ARENA_DISTANCES",2232,5144,4543,5822
"001:05:03.315","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.315","","","","","","ZONE_DISTANCES",6,0,2676,1597,1103,3118,2904,2860
"001:05:03.316","","","","","","ZONE_TIMERS",60.096,0.000,43.930,16.166,15.217,44.879,30.598,29.498
"001:05:03.317","","","","","","ZONE_COUNTERS",1,0,6,6,9,9,10,10
"001:05:03.317","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.318","","","","","","TOTAL_ARENA_DISTANCES",6,4273,4221,5764
"001:06:03.394","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.395","","","","","","ZONE_DISTANCES",1030,0,3188,2361,3840,724,4075,2185
"001:06:03.396","","","","","","ZONE_TIMERS",60.079,0.000,30.934,29.145,52.542,7.537,41.123,18.956
"001:06:03.397","","","","","","ZONE_COUNTERS",1,0,8,8,8,8,10,10
"001:06:03.397","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.398","","","","","","TOTAL_ARENA_DISTANCES",1030,5549,4564,6260
"001:07:03.488","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.489","","","","","","ZONE_DISTANCES",6,0,2766,2213,1642,2638,2450,3513
"001:07:03.489","","","","","","ZONE_TIMERS",60.093,0.000,39.131,20.962,22.890,37.203,24.283,35.809
"001:07:03.490","","","","","","ZONE_COUNTERS",1,0,7,7,9,8,11,10
"001:07:03.491","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.492","","","","","","TOTAL_ARENA_DISTANCES",6,4980,4280,5963
"001:07:03.574","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.575","","","","","","ZONE_DISTANCES",2808,1393,13257,11318,11145,10274,14948,14718
"001:07:03.576","","","","","","ZONE_TIMERS",231.328,69.054,173.863,126.520,150.739,149.643,153.673,146.709
"001:07:03.576","","","","","","ZONE_COUNTERS",4,4,33,32,41,41,48,48
"001:07:03.577","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.578","","","","","","TOTAL_ARENA_DISTANCES",4201,24576,21419,29666
"001:07:03.579","Info","2019-09-28 01:07:09","Service 'BLUGRE' : Execution end"
