"000:00:00.000","Info","2019-09-28 00:00:30","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7151 a7617 a7195 a7650"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.782","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.782","","","","","","ZONE_DISTANCES",16908,21533,1384,31075,17528,21570,20591,25599
"000:35:30.783","","","","","","ZONE_TIMERS",140.631,159.437,11.007,289.061,139.193,160.875,124.647,175.421
"000:35:30.783","","","","","","ZONE_COUNTERS",54,55,14,14,47,47,50,50
"000:35:30.784","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.784","","","","","","TOTAL_ARENA_DISTANCES",38440,32459,39098,46190
"000:40:30.871","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.871","","","","","","ZONE_DISTANCES",12351,15168,29679,1379,14248,20236,19606,23852
"000:40:30.872","","","","","","ZONE_TIMERS",81.735,218.352,288.228,11.860,109.680,190.408,117.579,182.509
"000:40:30.872","","","","","","ZONE_COUNTERS",32,33,18,18,38,37,44,45
"000:40:30.873","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.873","","","","","","TOTAL_ARENA_DISTANCES",27519,31058,34484,43459
"000:45:30.938","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.938","","","","","","ZONE_DISTANCES",14707,13792,675,31060,18167,17080,20799,23227
"000:45:30.939","","","","","","ZONE_TIMERS",202.027,98.039,5.088,294.979,177.083,122.983,148.272,151.794
"000:45:30.939","","","","","","ZONE_COUNTERS",39,39,10,10,45,44,46,47
"000:45:30.940","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.940","","","","","","TOTAL_ARENA_DISTANCES",28499,31735,35248,44026
"000:50:31.030","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.031","","","","","","ZONE_DISTANCES",8194,10025,29584,410,14214,16883,18703,22071
"000:50:31.031","","","","","","ZONE_TIMERS",42.401,257.690,297.982,2.109,116.695,183.396,113.784,186.308
"000:50:31.032","","","","","","ZONE_COUNTERS",23,23,4,4,39,39,43,43
"000:50:31.032","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.032","","","","","","TOTAL_ARENA_DISTANCES",18219,29994,31097,40774
"000:55:31.102","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.104","","","","","","ZONE_DISTANCES",13629,12738,311,26552,16316,16538,18671,24006
"000:55:31.105","","","","","","ZONE_TIMERS",219.963,80.107,2.116,297.954,167.881,132.189,134.199,165.872
"000:55:31.107","","","","","","ZONE_COUNTERS",32,32,1,1,45,45,42,41
"000:55:31.108","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.110","","","","","","TOTAL_ARENA_DISTANCES",26367,26863,32854,42677
