"000:00:00.000","Info","2019-09-30 00:32:09","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7648 a7426 a7289 a7507"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.656","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.658","","","","","","ZONE_DISTANCES",24098,25444,12499,18404,18322,13753,23723,23721
"000:35:30.660","","","","","","ZONE_TIMERS",141.666,158.373,108.197,191.842,173.121,126.918,145.465,154.574
"000:35:30.662","","","","","","ZONE_COUNTERS",61,61,36,37,32,31,52,52
"000:35:30.663","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.665","","","","","","TOTAL_ARENA_DISTANCES",49542,30903,32074,47444
"000:40:30.744","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.747","","","","","","ZONE_DISTANCES",24893,30489,13546,13430,11646,18397,22572,23356
"000:40:30.749","","","","","","ZONE_TIMERS",147.979,152.109,164.842,135.245,95.806,204.281,144.715,155.372
"000:40:30.750","","","","","","ZONE_COUNTERS",100,100,31,32,23,23,44,44
"000:40:30.752","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.754","","","","","","TOTAL_ARENA_DISTANCES",55382,26976,30043,45928
"000:45:30.814","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.815","","","","","","ZONE_DISTANCES",31311,29943,11537,16079,18558,9927,20112,21894
"000:45:30.815","","","","","","ZONE_TIMERS",141.220,158.850,99.591,200.479,181.613,118.457,137.870,162.200
"000:45:30.816","","","","","","ZONE_COUNTERS",103,103,32,33,23,23,38,38
"000:45:30.817","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.817","","","","","","TOTAL_ARENA_DISTANCES",61255,27617,28485,42005
"000:50:30.881","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.881","","","","","","ZONE_DISTANCES",38773,25069,13214,13737,5969,25010,22172,26403
"000:50:30.882","","","","","","ZONE_TIMERS",195.528,104.537,159.628,140.437,54.829,245.236,141.565,158.501
"000:50:30.882","","","","","","ZONE_COUNTERS",105,106,35,35,35,35,59,58
"000:50:30.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.883","","","","","","TOTAL_ARENA_DISTANCES",63841,26951,30979,48575
"000:55:30.934","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.935","","","","","","ZONE_DISTANCES",24311,42975,11632,15279,21803,11377,24321,22466
"000:55:30.935","","","","","","ZONE_TIMERS",96.532,203.520,112.722,187.330,200.386,99.666,148.511,151.542
"000:55:30.936","","","","","","ZONE_COUNTERS",124,124,35,34,34,35,49,48
"000:55:30.936","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.937","","","","","","TOTAL_ARENA_DISTANCES",67286,26911,33180,46787
"001:00:31.013","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
