"000:00:00.000","Info","2019-10-01 04:43:24","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7066 a7085 a6984 a7587"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.557","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.558","","","","","","ZONE_DISTANCES",9206,11347,12038,16482,10734,14808,4420,11927
"000:35:30.559","","","","","","ZONE_TIMERS",117.102,182.931,110.525,189.509,120.115,179.918,53.889,246.144
"000:35:30.560","","","","","","ZONE_COUNTERS",26,27,27,28,33,34,26,27
"000:35:30.561","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.562","","","","","","TOTAL_ARENA_DISTANCES",20553,28521,25542,16347
"000:40:30.601","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.601","","","","","","ZONE_DISTANCES",8550,8571,10914,16633,15968,11732,2758,10264
"000:40:30.602","","","","","","ZONE_TIMERS",203.269,96.774,92.372,207.671,173.312,126.730,38.303,261.740
"000:40:30.602","","","","","","ZONE_COUNTERS",25,26,23,23,22,23,14,15
"000:40:30.602","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.603","","","","","","TOTAL_ARENA_DISTANCES",17121,27546,27699,13022
"000:45:30.642","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.645","","","","","","ZONE_DISTANCES",9033,10619,9682,16783,8950,18093,3002,10123
"000:45:30.646","","","","","","ZONE_TIMERS",76.953,223.087,81.273,218.767,81.517,218.523,40.685,259.356
"000:45:30.648","","","","","","ZONE_COUNTERS",24,24,23,22,22,23,18,19
"000:45:30.649","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.650","","","","","","TOTAL_ARENA_DISTANCES",19652,26466,27043,13126
"000:50:30.685","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.686","","","","","","ZONE_DISTANCES",11226,11608,2989,15750,7275,16159,2649,10909
"000:50:30.687","","","","","","ZONE_TIMERS",175.349,124.693,26.688,273.354,90.901,209.142,40.723,259.320
"000:50:30.689","","","","","","ZONE_COUNTERS",28,27,8,8,26,26,13,14
"000:50:30.690","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.692","","","","","","TOTAL_ARENA_DISTANCES",22834,18738,23434,13558
"000:55:30.724","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.724","","","","","","ZONE_DISTANCES",9029,17275,10629,13523,10177,12623,0,7354
"000:55:30.724","","","","","","ZONE_TIMERS",83.221,216.816,122.673,177.364,129.661,170.376,0.000,300.038
"000:55:30.725","","","","","","ZONE_COUNTERS",27,26,23,24,25,24,0,1
"000:55:30.726","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.726","","","","","","TOTAL_ARENA_DISTANCES",26304,24152,22801,7354
"001:00:30.763","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.763","","","","","","ZONE_DISTANCES",8530,6654,5515,14834,4979,16402,930,12243
"001:00:30.764","","","","","","ZONE_TIMERS",223.698,76.340,68.478,231.561,61.336,238.702,13.429,286.610
"001:00:30.764","","","","","","ZONE_COUNTERS",20,19,17,18,19,19,10,11
"001:00:30.765","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.765","","","","","","TOTAL_ARENA_DISTANCES",15183,20348,21380,13172
"001:00:30.848","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.849","","","","","","ZONE_DISTANCES",55574,66074,51767,94005,58083,89817,13759,62820
"001:00:30.849","","","","","","ZONE_TIMERS",879.600,920.645,502.011,1298.234,656.845,1143.399,187.030,1613.215
"001:00:30.850","","","","","","ZONE_COUNTERS",147,147,119,120,145,146,81,82
"001:00:30.850","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.850","","","","","","TOTAL_ARENA_DISTANCES",121648,145772,147899,76579
"001:03:02.303","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.304","","","","","","ZONE_DISTANCES",0,359,3312,2896,4006,968,436,2373
"001:03:02.304","","","","","","ZONE_TIMERS",0.000,60.047,20.243,39.804,50.127,9.920,4.847,55.200
"001:03:02.305","","","","","","ZONE_COUNTERS",0,1,9,8,5,4,4,5
"001:03:02.305","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.306","","","","","","TOTAL_ARENA_DISTANCES",358,6208,4974,2808
"001:04:02.363","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.364","","","","","","ZONE_DISTANCES",1646,1727,2916,2509,1196,3760,829,1699
"001:04:02.364","","","","","","ZONE_TIMERS",39.964,20.095,33.069,26.990,13.960,46.099,12.204,47.855
"001:04:02.365","","","","","","ZONE_COUNTERS",6,6,8,7,4,4,3,4
"001:04:02.365","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.365","","","","","","TOTAL_ARENA_DISTANCES",3373,5425,4956,2529
