"000:00:00.000","Info","2019-10-01 02:19:31","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7263 a7209 a8107 a7372"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.548","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.549","","","","","","ZONE_DISTANCES",915,8800,682,3638,12205,14964,25578,25888
"000:35:30.550","","","","","","ZONE_TIMERS",12.728,287.274,5.250,294.752,79.155,220.847,132.491,167.512
"000:35:30.550","","","","","","ZONE_COUNTERS",2,3,2,2,31,31,91,91
"000:35:30.551","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.552","","","","","","TOTAL_ARENA_DISTANCES",9715,4319,27170,51466
"000:40:30.588","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.589","","","","","","ZONE_DISTANCES",5151,1546,5029,1888,4302,15091,20214,28374
"000:40:30.589","","","","","","ZONE_TIMERS",274.720,25.319,288.719,11.320,36.930,263.109,136.886,163.153
"000:40:30.590","","","","","","ZONE_COUNTERS",6,6,5,5,17,18,87,86
"000:40:30.591","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.591","","","","","","TOTAL_ARENA_DISTANCES",6697,6917,19392,48588
"000:45:30.600","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.601","","","","","","ZONE_DISTANCES",4762,4928,441,5793,10643,944,23357,22794
"000:45:30.601","","","","","","ZONE_TIMERS",175.844,124.167,1.588,298.423,280.246,19.765,120.677,179.334
"000:45:30.602","","","","","","ZONE_COUNTERS",7,7,3,3,7,7,92,92
"000:45:30.603","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.603","","","","","","TOTAL_ARENA_DISTANCES",9690,6234,11587,46151
"000:50:30.638","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:50:30.638","","","","","","ZONE_DISTANCES",130,6412,11225,10116,884,8366,11339,27644
"000:50:30.639","","","","","","ZONE_TIMERS",2.402,297.635,240.300,59.736,8.788,291.249,88.661,211.376
"000:50:30.639","","","","","","ZONE_COUNTERS",1,2,20,20,3,3,70,71
"000:50:30.640","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.640","","","","","","TOTAL_ARENA_DISTANCES",6542,21341,9250,38984
"000:55:30.649","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:55:30.651","","","","","","ZONE_DISTANCES",0,4435,1000,5291,9521,368,15050,30325
"000:55:30.653","","","","","","ZONE_TIMERS",0.000,300.010,14.620,285.390,297.114,2.895,74.290,225.719
"000:55:30.654","","","","","","ZONE_COUNTERS",0,1,3,3,1,1,50,51
"000:55:30.656","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.657","","","","","","TOTAL_ARENA_DISTANCES",4435,6290,9890,45375
"001:00:30.689","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:00:30.690","","","","","","ZONE_DISTANCES",2499,7146,4685,572,936,9484,28578,19822
"001:00:30.691","","","","","","ZONE_TIMERS",73.478,226.561,297.227,2.812,12.260,287.779,202.315,97.724
"001:00:30.692","","","","","","ZONE_COUNTERS",7,8,3,3,4,4,65,65
"001:00:30.693","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.694","","","","","","TOTAL_ARENA_DISTANCES",9646,5257,10420,48400
"001:00:30.776","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:30.777","","","","","","ZONE_DISTANCES",13457,33267,23062,27298,38491,49217,124116,154847
"001:00:30.778","","","","","","ZONE_TIMERS",539.175,1260.978,847.716,952.437,714.496,1085.657,755.333,1044.820
"001:00:30.779","","","","","","ZONE_COUNTERS",22,23,34,33,61,61,453,453
"001:00:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.781","","","","","","TOTAL_ARENA_DISTANCES",46725,50360,87709,278963
"001:03:02.446","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:03:02.447","","","","","","ZONE_DISTANCES",0,280,0,490,1208,0,3356,2853
"001:03:02.448","","","","","","ZONE_TIMERS",0.000,60.040,0.000,60.040,60.040,0.000,27.081,32.958
"001:03:02.449","","","","","","ZONE_COUNTERS",0,1,0,1,1,0,14,14
"001:03:02.450","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.451","","","","","","TOTAL_ARENA_DISTANCES",279,490,1209,6209
"001:04:02.500","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:04:02.500","","","","","","ZONE_DISTANCES",0,1221,544,1067,251,1454,3009,3172
"001:04:02.501","","","","","","ZONE_TIMERS",0.000,60.053,53.486,6.567,3.391,56.662,31.093,28.960
"001:04:02.501","","","","","","ZONE_COUNTERS",0,1,2,2,1,1,15,14
"001:04:02.502","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:02.502","","","","","","TOTAL_ARENA_DISTANCES",1222,1611,1705,6181
"001:05:02.579","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:05:02.580","","","","","","ZONE_DISTANCES",0,657,119,1961,1834,72,4676,2145
"001:05:02.580","","","","","","ZONE_TIMERS",0.000,60.079,2.601,57.477,58.166,1.913,37.493,22.585
"001:05:02.581","","","","","","ZONE_COUNTERS",0,1,2,2,1,1,15,14
"001:05:02.581","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:02.581","","","","","","TOTAL_ARENA_DISTANCES",657,2080,1906,6821
"001:06:02.655","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"001:06:02.655","","","","","","ZONE_DISTANCES",0,1305,1082,430,358,2730,3640,3994
"001:06:02.656","","","","","","ZONE_TIMERS",0.000,60.075,57.197,2.877,4.225,55.849,30.849,29.225
"001:06:02.656","","","","","","ZONE_COUNTERS",0,1,1,1,3,3,18,17
"001:06:02.657","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:02.657","","","","","","TOTAL_ARENA_DISTANCES",1305,1512,3088,7634
"001:07:02.739","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"001:07:02.739","","","","","","ZONE_DISTANCES",0,766,127,1626,2548,568,4644,3884
"001:07:02.740","","","","","","ZONE_TIMERS",0.000,60.084,0.886,59.197,53.827,6.256,25.306,34.777
"001:07:02.740","","","","","","ZONE_COUNTERS",0,1,1,1,2,2,20,19
"001:07:02.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.741","","","","","","TOTAL_ARENA_DISTANCES",766,1753,3116,8528
"001:07:02.840","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:02.842","","","","","","ZONE_DISTANCES",0,4229,1872,5574,6199,4824,19325,16048
"001:07:02.845","","","","","","ZONE_TIMERS",0.000,300.332,114.172,186.160,179.650,120.681,151.824,148.508
"001:07:02.846","","","","","","ZONE_COUNTERS",0,1,4,5,6,5,78,78
"001:07:02.848","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:02.850","","","","","","TOTAL_ARENA_DISTANCES",4229,7445,11023,35374
"001:07:02.852","Info","2019-10-01 03:26:33","Service 'GREBLU' : Execution end"
