"000:00:00.000","Info","2019-10-02 01:16:41","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a8040 a7120 a6921 a6830"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.821","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.822","","","","","","ZONE_DISTANCES",2453,10476,14936,31059,525,13647,16869,15259
"000:35:30.822","","","","","","ZONE_TIMERS",20.857,279.214,96.672,203.398,10.694,289.377,172.517,127.554
"000:35:30.823","","","","","","ZONE_COUNTERS",9,9,47,47,8,8,27,27
"000:35:30.823","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.824","","","","","","TOTAL_ARENA_DISTANCES",12929,45995,14172,32128
"000:40:30.907","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.908","","","","","","ZONE_DISTANCES",12020,786,20717,16674,9843,5831,10124,19917
"000:40:30.908","","","","","","ZONE_TIMERS",287.856,12.229,164.018,136.067,190.356,109.729,35.498,264.587
"000:40:30.909","","","","","","ZONE_COUNTERS",2,2,39,40,28,28,23,23
"000:40:30.909","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.909","","","","","","TOTAL_ARENA_DISTANCES",12806,37391,15673,30041
"000:45:30.967","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.968","","","","","","ZONE_DISTANCES",2006,4628,12882,15791,3854,11347,20512,8710
"000:45:30.968","","","","","","ZONE_TIMERS",17.809,282.250,126.003,174.055,77.360,222.699,262.442,37.617
"000:45:30.968","","","","","","ZONE_COUNTERS",3,3,35,36,18,17,21,21
"000:45:30.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.969","","","","","","TOTAL_ARENA_DISTANCES",6634,28673,15202,29222
"000:50:31.031","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:31.032","","","","","","ZONE_DISTANCES",8744,1728,13270,16807,7500,6772,8320,23068
"000:50:31.032","","","","","","ZONE_TIMERS",282.951,17.112,118.183,181.880,134.522,165.541,28.456,271.607
"000:50:31.033","","","","","","ZONE_COUNTERS",2,2,40,40,18,18,21,21
"000:50:31.033","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.033","","","","","","TOTAL_ARENA_DISTANCES",10472,30078,14272,31388
"000:55:31.111","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:31.111","","","","","","ZONE_DISTANCES",220,9667,13734,17678,2934,9588,27391,10548
"000:55:31.112","","","","","","ZONE_TIMERS",1.446,298.632,128.903,171.175,61.300,238.778,261.496,38.582
"000:55:31.112","","","","","","ZONE_COUNTERS",1,1,42,41,12,13,31,31
"000:55:31.112","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.113","","","","","","TOTAL_ARENA_DISTANCES",9887,31412,12522,37939
"001:00:31.189","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.189","","","","","","ZONE_DISTANCES",8619,17653,12092,16825,9262,5428,6927,18676
"001:00:31.190","","","","","","ZONE_TIMERS",97.172,202.905,105.176,194.901,179.789,120.288,21.657,278.420
"001:00:31.190","","","","","","ZONE_COUNTERS",24,25,38,38,15,15,21,21
"001:00:31.190","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.191","","","","","","TOTAL_ARENA_DISTANCES",26272,28917,14690,25603
"001:00:31.288","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.290","","","","","","ZONE_DISTANCES",34062,44938,87631,114834,33918,52613,90143,96178
"001:00:31.291","","","","","","ZONE_TIMERS",708.093,1092.350,738.959,1061.484,654.030,1146.414,782.069,1018.374
"001:00:31.293","","","","","","ZONE_COUNTERS",39,39,239,239,97,96,141,142
"001:00:31.294","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.296","","","","","","TOTAL_ARENA_DISTANCES",79001,202465,86530,186322
"001:03:03.185","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.186","","","","","","ZONE_DISTANCES",188,2848,2353,3275,318,2529,4027,2667
"001:03:03.186","","","","","","ZONE_TIMERS",1.244,58.812,25.203,34.852,4.788,55.268,44.678,15.378
"001:03:03.187","","","","","","ZONE_COUNTERS",1,1,9,9,2,2,6,5
"001:03:03.187","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
