"000:00:00.000","Info","2019-10-02 02:42:21","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7205 a7704 a7329 a7743"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.649","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.650","","","","","","ZONE_DISTANCES",23588,22421,8090,10563,17178,20772,18099,19236
"000:35:30.650","","","","","","ZONE_TIMERS",155.613,144.465,89.514,210.564,127.599,172.479,145.186,154.892
"000:35:30.651","","","","","","ZONE_COUNTERS",60,61,20,21,35,35,40,40
"000:35:30.652","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.652","","","","","","TOTAL_ARENA_DISTANCES",46009,18652,37950,37335
"000:40:30.701","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.701","","","","","","ZONE_DISTANCES",23420,18344,9804,3524,23069,20648,23076,12501
"000:40:30.702","","","","","","ZONE_TIMERS",168.557,131.493,248.274,51.777,158.220,141.831,203.072,96.978
"000:40:30.703","","","","","","ZONE_COUNTERS",47,47,12,12,36,36,33,32
"000:40:30.703","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.704","","","","","","TOTAL_ARENA_DISTANCES",41765,13329,43717,35577
"000:45:30.778","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.778","","","","","","ZONE_DISTANCES",13894,17805,4017,11372,16664,22534,15145,19867
"000:45:30.779","","","","","","ZONE_TIMERS",102.552,197.524,66.135,233.941,116.689,183.387,125.559,174.517
"000:45:30.779","","","","","","ZONE_COUNTERS",37,37,9,8,33,34,43,42
"000:45:30.780","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.780","","","","","","TOTAL_ARENA_DISTANCES",31699,15389,39198,35012
"000:50:30.860","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.861","","","","","","ZONE_DISTANCES",12014,7544,14350,3562,20865,14370,21051,11251
"000:50:30.861","","","","","","ZONE_TIMERS",188.245,111.837,257.580,42.502,172.403,127.678,193.267,106.815
"000:50:30.862","","","","","","ZONE_COUNTERS",25,26,19,18,40,41,44,43
"000:50:30.863","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.863","","","","","","TOTAL_ARENA_DISTANCES",19558,17912,35235,32302
"000:55:30.923","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.923","","","","","","ZONE_DISTANCES",6267,10500,7036,11026,17864,19668,17404,15485
"000:55:30.924","","","","","","ZONE_TIMERS",73.024,227.038,121.293,178.769,169.338,130.724,165.910,134.151
"000:55:30.925","","","","","","ZONE_COUNTERS",28,29,20,20,59,60,41,41
"000:55:30.925","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.926","","","","","","TOTAL_ARENA_DISTANCES",16767,18062,37532,32888
"001:00:30.978","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.978","","","","","","ZONE_DISTANCES",7524,9690,15232,9412,19740,13734,17988,15964
"001:00:30.979","","","","","","ZONE_TIMERS",95.095,204.959,193.061,106.993,165.391,134.663,151.243,148.811
"001:00:30.980","","","","","","ZONE_COUNTERS",19,20,32,32,46,46,47,47
"001:00:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.981","","","","","","TOTAL_ARENA_DISTANCES",17214,24645,33474,33952
"001:00:31.045","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.045","","","","","","ZONE_DISTANCES",86707,86304,58529,49459,115380,111726,112763,94304
"001:00:31.046","","","","","","ZONE_TIMERS",783.088,1017.326,975.866,824.548,909.650,890.764,984.246,816.168
"001:00:31.047","","","","","","ZONE_COUNTERS",215,216,109,109,248,248,244,244
"001:00:31.047","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.048","","","","","","TOTAL_ARENA_DISTANCES",173011,107988,227106,207067
"001:03:03.207","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.208","","","","","","ZONE_DISTANCES",1574,2847,696,2557,1800,1298,1313,4214
"001:03:03.209","","","","","","ZONE_TIMERS",13.258,46.825,7.072,53.011,47.387,12.697,13.499,46.585
"001:03:03.210","","","","","","ZONE_COUNTERS",7,7,5,4,5,4,9,9
"001:03:03.210","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.211","","","","","","TOTAL_ARENA_DISTANCES",4421,3253,3099,5527
"001:04:03.288","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.288","","","","","","ZONE_DISTANCES",2121,2828,2032,1222,5397,736,4214,2328
"001:04:03.289","","","","","","ZONE_TIMERS",19.197,40.883,40.759,19.320,54.103,5.976,35.507,24.572
"001:04:03.290","","","","","","ZONE_COUNTERS",8,8,5,4,6,5,13,13
"001:04:03.290","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.291","","","","","","TOTAL_ARENA_DISTANCES",4949,3253,6132,6542
"001:05:03.403","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.403","","","","","","ZONE_DISTANCES",2026,2552,1813,2418,3521,875,1241,5131
"001:05:03.404","","","","","","ZONE_TIMERS",19.235,40.879,24.570,35.544,51.518,8.596,11.166,48.947
"001:05:03.405","","","","","","ZONE_COUNTERS",6,7,7,6,4,3,11,10
"001:05:03.406","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.407","","","","","","TOTAL_ARENA_DISTANCES",4577,4232,4396,6372
"001:06:03.493","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.493","","","","","","ZONE_DISTANCES",2196,3025,2746,884,3965,2063,3744,2573
"001:06:03.494","","","","","","ZONE_TIMERS",22.046,38.043,52.146,7.944,36.972,23.117,33.116,26.973
"001:06:03.495","","","","","","ZONE_COUNTERS",9,10,5,4,8,7,9,9
"001:06:03.496","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.496","","","","","","TOTAL_ARENA_DISTANCES",5221,3630,6028,6317
"001:07:03.593","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.593","","","","","","ZONE_DISTANCES",608,1476,1296,2892,3589,1251,2245,3495
"001:07:03.594","","","","","","ZONE_TIMERS",5.165,54.933,13.612,46.487,48.179,11.920,25.572,34.527
"001:07:03.595","","","","","","ZONE_COUNTERS",2,3,7,7,7,6,10,11
"001:07:03.595","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.596","","","","","","TOTAL_ARENA_DISTANCES",2084,4188,4840,5741
"001:07:03.669","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.669","","","","","","ZONE_DISTANCES",8525,12728,8583,9973,18272,6223,12757,17741
"001:07:03.670","","","","","","ZONE_TIMERS",78.903,221.566,138.161,162.308,238.161,62.308,118.863,181.606
"001:07:03.671","","","","","","ZONE_COUNTERS",31,32,25,25,26,25,50,50
"001:07:03.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.672","","","","","","TOTAL_ARENA_DISTANCES",21253,18556,24495,30498
"001:07:03.673","Info","2019-10-02 03:49:25","Service 'BLUGRE' : Execution end"
