"000:00:00.000","Info","2019-10-02 04:08:03","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7303 a7341 a7745 a7364"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.625","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.625","","","","","","ZONE_DISTANCES",81,10674,7141,9038,14484,15313,14407,24731
"000:35:30.626","","","","","","ZONE_TIMERS",0.594,299.478,106.829,193.243,144.040,156.032,117.542,182.530
"000:35:30.626","","","","","","ZONE_COUNTERS",2,3,14,15,32,31,47,46
"000:35:30.627","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.627","","","","","","TOTAL_ARENA_DISTANCES",10755,16179,29797,39138
"000:40:30.678","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.678","","","","","","ZONE_DISTANCES",16584,2676,593,3310,13255,15297,11853,26889
"000:40:30.678","","","","","","ZONE_TIMERS",272.620,27.431,3.969,296.083,134.181,165.871,69.221,230.831
"000:40:30.679","","","","","","ZONE_COUNTERS",11,11,2,3,30,29,30,29
"000:40:30.679","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.679","","","","","","TOTAL_ARENA_DISTANCES",19259,3903,28552,38742
"000:45:30.739","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.739","","","","","","ZONE_DISTANCES",2020,13198,3654,1278,15987,14526,22152,16299
"000:45:30.740","","","","","","ZONE_TIMERS",18.807,281.254,235.671,64.390,168.207,131.853,200.456,99.605
"000:45:30.740","","","","","","ZONE_COUNTERS",8,8,5,5,36,36,40,39
"000:45:30.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.741","","","","","","TOTAL_ARENA_DISTANCES",15218,4932,30512,38451
"000:50:30.808","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.808","","","","","","ZONE_DISTANCES",18522,11907,617,2025,15795,15112,16494,27025
"000:50:30.809","","","","","","ZONE_TIMERS",188.616,111.452,2.542,297.526,149.297,150.771,77.746,222.322
"000:50:30.809","","","","","","ZONE_COUNTERS",35,36,2,2,32,33,49,48
"000:50:30.810","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.810","","","","","","TOTAL_ARENA_DISTANCES",30429,2642,30908,43519
"000:55:30.901","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.902","","","","","","ZONE_DISTANCES",206,9726,7378,3327,14642,13423,20268,16121
"000:55:30.902","","","","","","ZONE_TIMERS",1.396,298.696,280.381,19.711,171.537,128.555,218.452,81.640
"000:55:30.903","","","","","","ZONE_COUNTERS",2,3,8,8,29,29,43,42
"000:55:30.903","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.903","","","","","","TOTAL_ARENA_DISTANCES",9932,10705,28065,36389
"001:00:30.993","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.994","","","","","","ZONE_DISTANCES",18829,15486,984,5886,15081,14223,16471,22430
"001:00:30.994","","","","","","ZONE_TIMERS",155.385,144.706,5.460,294.631,148.267,151.824,78.657,221.434
"001:00:30.995","","","","","","ZONE_COUNTERS",42,42,4,4,31,31,45,45
"001:00:30.995","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.995","","","","","","TOTAL_ARENA_DISTANCES",34315,6869,29304,38900
"001:00:31.089","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
