"000:00:00.000","Info","2019-10-03 03:08:00","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7625 a7119 a7265 a7208"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.558","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.560","","","","","","ZONE_DISTANCES",5944,835,20834,46324,27095,22366,19378,20972
"000:35:30.561","","","","","","ZONE_TIMERS",298.599,1.433,89.743,210.289,202.661,97.371,138.696,161.337
"000:35:30.563","","","","","","ZONE_COUNTERS",4,3,92,92,49,49,52,53
"000:35:30.564","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.566","","","","","","TOTAL_ARENA_DISTANCES",6778,67159,49461,40350
"000:40:30.600","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.601","","","","","","ZONE_DISTANCES",7000,5619,14417,3356,5078,17083,18883,17677
"000:40:30.601","","","","","","ZONE_TIMERS",282.614,17.428,297.572,2.470,16.695,283.347,142.290,157.752
"000:40:30.602","","","","","","ZONE_COUNTERS",12,11,13,13,15,15,65,65
"000:40:30.602","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.603","","","","","","TOTAL_ARENA_DISTANCES",12619,17772,22162,36561
