"000:00:00.000","Info","2019-06-24 00:08:24","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a7584 a7447 a7012 a7097"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.817","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.818","","","","","","ZONE_DISTANCES",23862,21134,7517,26359,26521,18214,23991,19043
"000:35:30.818","","","","","","ZONE_TIMERS",165.291,134.790,57.131,242.950,191.634,108.447,180.994,119.087
"000:35:30.819","","","","","","ZONE_COUNTERS",60,59,47,46,74,73,53,52
"000:35:30.819","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.819","","","","","","TOTAL_ARENA_DISTANCES",44996,33876,44735,43034
"000:40:30.882","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.882","","","","","","ZONE_DISTANCES",21588,26602,4766,26517,16125,17203,13417,17531
"000:40:30.882","","","","","","ZONE_TIMERS",124.535,175.529,40.203,259.861,141.913,158.151,112.690,187.374
"000:40:30.883","","","","","","ZONE_COUNTERS",59,59,37,36,40,39,34,34
"000:40:30.883","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.884","","","","","","TOTAL_ARENA_DISTANCES",48190,31283,33328,30949
"000:45:30.966","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:30.966","","","","","","ZONE_DISTANCES",26341,22196,10334,24451,21610,17609,30603,18484
"000:45:30.967","","","","","","ZONE_TIMERS",171.576,128.508,83.817,216.266,171.447,128.636,196.020,104.063
"000:45:30.968","","","","","","ZONE_COUNTERS",66,66,57,57,54,53,68,68
"000:45:30.968","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.969","","","","","","TOTAL_ARENA_DISTANCES",48537,34785,39219,49086
"000:50:31.049","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:31.050","","","","","","ZONE_DISTANCES",19286,22939,13614,22885,30065,27002,17285,23312
"000:50:31.051","","","","","","ZONE_TIMERS",129.404,170.679,110.586,189.496,164.681,135.401,83.654,216.428
"000:50:31.052","","","","","","ZONE_COUNTERS",57,56,57,57,84,83,53,53
"000:50:31.052","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.053","","","","","","TOTAL_ARENA_DISTANCES",42225,36499,57067,40597
"000:55:31.123","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:55:31.124","","","","","","ZONE_DISTANCES",24434,20537,16192,21578,23792,18097,25129,18170
"000:55:31.124","","","","","","ZONE_TIMERS",166.253,133.820,120.727,179.346,182.164,117.910,201.773,98.301
"000:55:31.125","","","","","","ZONE_COUNTERS",63,62,55,54,57,56,56,56
"000:55:31.125","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.125","","","","","","TOTAL_ARENA_DISTANCES",44971,37770,41888,43299
"001:00:31.198","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"001:00:31.199","","","","","","ZONE_DISTANCES",20170,23698,17385,20241,16365,16714,27159,30529
"001:00:31.199","","","","","","ZONE_TIMERS",137.947,162.127,135.317,164.757,156.018,144.055,143.604,156.470
"001:00:31.200","","","","","","ZONE_COUNTERS",58,58,51,50,45,44,71,71
"001:00:31.200","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.200","","","","","","TOTAL_ARENA_DISTANCES",43868,37627,33079,57688
"001:00:31.297","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.297","","","","","","ZONE_DISTANCES",135681,137106,69808,142031,134478,114839,137584,127069
"001:00:31.298","","","","","","ZONE_TIMERS",895.008,905.460,547.789,1252.679,1007.865,792.603,918.738,881.730
"001:00:31.299","","","","","","ZONE_COUNTERS",359,359,300,299,349,348,332,332
"001:00:31.300","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.300","","","","","","TOTAL_ARENA_DISTANCES",272787,211839,249317,264654
"001:03:03.273","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"001:03:03.273","","","","","","ZONE_DISTANCES",6592,5375,3703,13373,7043,5741,3330,5868
"001:03:03.274","","","","","","ZONE_TIMERS",35.672,24.374,12.620,47.427,40.565,19.482,21.439,38.608
"001:03:03.274","","","","","","ZONE_COUNTERS",18,18,32,32,23,23,13,14
"001:03:03.274","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
