000:00:00.000,Info,24/6/19 4:03,Service 'REDYEL' : Execution start,,,,,,,,,,,
000:00:00.000,Info,Subject Identification,a7463 a7303 a7341 a7745,,,,,,,,,,,
000:00:00.000,Info,Apparatus,Zantiks Unit,,,,,,,,,,,
000:00:00.000,Info,Unit ID,533988,,,,,,,,,,,
000:35:30.635,,,,BASELINE,UNIT1,VARIABLE,ARENA1_ZONE1_REDCS,ARENA1_ZONE2_YELNON,ARENA2_ZONE1_REDCS,ARENA2_ZONE2_YELNON,ARENA3_ZONE1_REDCS,ARENA3_ZONE2_YELNON,ARENA4_ZONE1_REDCS,ARENA4_ZONE2_YELNON
000:35:30.635,,,,,,ZONE_DISTANCES,20013,32024,36506,17543,9760,8122,28836,22515
000:35:30.636,,,,,,ZONE_TIMERS,102.219,197.892,216.854,83.256,266.681,33.43,182.267,117.844
000:35:30.637,,,,,,ZONE_COUNTERS,54,55,77,77,19,18,52,52
000:35:30.637,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:35:30.638,,,,,,TOTAL_ARENA_DISTANCES,52036,54049,17882,51351,,,,
000:40:30.720,,,,BASELINE,UNIT2,VARIABLE,ARENA1_ZONE1_YELNON,ARENA1_ZONE2_REDCS,ARENA2_ZONE1_YELNON,ARENA2_ZONE2_REDCS,ARENA3_ZONE1_YELNON,ARENA3_ZONE2_REDCS,ARENA4_ZONE1_YELNON,ARENA4_ZONE2_REDCS
000:40:30.720,,,,,,ZONE_DISTANCES,24237,33081,28540,31169,8694,12260,25158,25236
000:40:30.721,,,,,,ZONE_TIMERS,107.591,192.493,123.378,176.706,35.74,264.344,141.872,158.212
000:40:30.721,,,,,,ZONE_COUNTERS,61,62,69,69,22,22,39,39
000:40:30.722,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:40:30.722,,,,,,TOTAL_ARENA_DISTANCES,57318,59709,20954,50394,,,,
000:45:30.843,,,,BASELINE,UNIT3,VARIABLE,ARENA1_ZONE1_REDCS,ARENA1_ZONE2_YELNON,ARENA2_ZONE1_REDCS,ARENA2_ZONE2_YELNON,ARENA3_ZONE1_REDCS,ARENA3_ZONE2_YELNON,ARENA4_ZONE1_REDCS,ARENA4_ZONE2_YELNON
000:45:30.844,,,,,,ZONE_DISTANCES,28878,27948,37186,20869,9121,4583,26650,21928
000:45:30.844,,,,,,ZONE_TIMERS,152.397,147.725,225.528,74.594,286.012,14.11,178.339,121.783
000:45:30.845,,,,,,ZONE_COUNTERS,57,57,83,83,15,15,39,39
000:45:30.846,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:45:30.846,,,,,,TOTAL_ARENA_DISTANCES,56826,58054,13704,48578,,,,
000:50:30.961,,,,BASELINE,UNIT4,VARIABLE,ARENA1_ZONE1_YELNON,ARENA1_ZONE2_REDCS,ARENA2_ZONE1_YELNON,ARENA2_ZONE2_REDCS,ARENA3_ZONE1_YELNON,ARENA3_ZONE2_REDCS,ARENA4_ZONE1_YELNON,ARENA4_ZONE2_REDCS
000:50:30.962,,,,,,ZONE_DISTANCES,12047,30058,28292,27420,4016,5098,24544,22931
000:50:30.962,,,,,,ZONE_TIMERS,51.385,248.732,138.685,161.432,17.628,282.489,159.354,140.762
000:50:30.963,,,,,,ZONE_COUNTERS,26,26,68,68,8,8,32,32
000:50:30.963,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
000:50:30.964,,,,,,TOTAL_ARENA_DISTANCES,42105,55712,9114,47476,,,,
