"000:00:00.000","Info","2019-06-24 02:07:54","Service 'YELRED' : Execution start"
"000:00:00.000","Info","Subject Identification","a7270 a6888 a7624 a6988"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.664","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_YELCS","ARENA1_ZONE2_REDNON","ARENA2_ZONE1_YELCS","ARENA2_ZONE2_REDNON","ARENA3_ZONE1_YELCS","ARENA3_ZONE2_REDNON","ARENA4_ZONE1_YELCS","ARENA4_ZONE2_REDNON"
"000:35:30.665","","","","","","ZONE_DISTANCES",16441,32600,15072,11977,14274,22153,7726,21952
"000:35:30.665","","","","","","ZONE_TIMERS",76.474,223.636,151.453,148.656,98.725,201.385,72.631,227.479
"000:35:30.666","","","","","","ZONE_COUNTERS",41,42,23,23,46,45,52,52
"000:35:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.667","","","","","","TOTAL_ARENA_DISTANCES",49041,27049,36427,29677
"000:40:30.732","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_REDNON","ARENA1_ZONE2_YELCS","ARENA2_ZONE1_REDNON","ARENA2_ZONE2_YELCS","ARENA3_ZONE1_REDNON","ARENA3_ZONE2_YELCS","ARENA4_ZONE1_REDNON","ARENA4_ZONE2_YELCS"
"000:40:30.735","","","","","","ZONE_DISTANCES",26787,21482,7662,17041,19033,4800,18965,9375
"000:40:30.737","","","","","","ZONE_TIMERS",210.270,89.797,81.012,219.055,272.617,27.449,222.964,77.102
"000:40:30.739","","","","","","ZONE_COUNTERS",47,48,14,15,14,13,27,27
"000:40:30.741","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.743","","","","","","TOTAL_ARENA_DISTANCES",48269,24702,23833,28340
