"000:00:00.000","Info","2019-07-09 05:46:50","Service 'GREBLU' : Execution start"
"000:00:00.000","Info","Subject Identification","a7588 a7058 a6936 a7489"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.660","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:35:30.660","","","","","","ZONE_DISTANCES",15536,19891,12580,34202,25032,6713,20894,20775
"000:35:30.661","","","","","","ZONE_TIMERS",123.821,176.258,80.530,219.550,239.737,60.343,140.025,160.055
"000:35:30.661","","","","","","ZONE_COUNTERS",35,36,37,37,35,35,45,45
"000:35:30.661","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.662","","","","","","TOTAL_ARENA_DISTANCES",35427,46781,31745,41668
"000:40:30.744","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_BLUNON","ARENA1_ZONE2_GRECS","ARENA2_ZONE1_BLUNON","ARENA2_ZONE2_GRECS","ARENA3_ZONE1_BLUNON","ARENA3_ZONE2_GRECS","ARENA4_ZONE1_BLUNON","ARENA4_ZONE2_GRECS"
"000:40:30.745","","","","","","ZONE_DISTANCES",13063,22855,20681,29023,546,27923,19520,10249
"000:40:30.745","","","","","","ZONE_TIMERS",90.595,209.489,115.739,184.345,5.170,294.913,236.759,63.325
"000:40:30.746","","","","","","ZONE_COUNTERS",40,41,51,50,6,6,36,36
"000:40:30.746","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.746","","","","","","TOTAL_ARENA_DISTANCES",35918,49704,28468,29769
"000:45:30.797","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRECS","ARENA1_ZONE2_BLUNON","ARENA2_ZONE1_GRECS","ARENA2_ZONE2_BLUNON","ARENA3_ZONE1_GRECS","ARENA3_ZONE2_BLUNON","ARENA4_ZONE1_GRECS","ARENA4_ZONE2_BLUNON"
"000:45:30.797","","","","","","ZONE_DISTANCES",23454,20011,21130,15572,25992,1925,9562,16013
"000:45:30.798","","","","","","ZONE_TIMERS",157.765,142.287,170.070,129.982,280.517,19.535,59.562,240.490
"000:45:30.798","","","","","","ZONE_COUNTERS",55,56,52,51,16,16,25,25
"000:45:30.799","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
