"000:00:00.000","Info","2019-07-09 02:19:06","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a6863 a7450 a7428 a8053"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.845","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.845","","","","","","ZONE_DISTANCES",19036,19119,30943,6994,20810,22759,12969,8587
"000:35:30.846","","","","","","ZONE_TIMERS",157.486,142.592,265.572,34.506,150.345,149.733,120.574,179.504
"000:35:30.846","","","","","","ZONE_COUNTERS",69,69,26,25,47,48,25,24
"000:35:30.847","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.847","","","","","","TOTAL_ARENA_DISTANCES",38155,37937,43568,21556
"000:40:30.984","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.984","","","","","","ZONE_DISTANCES",8662,29461,3133,24758,18209,26302,12863,11406
"000:40:30.985","","","","","","ZONE_TIMERS",55.548,244.590,15.779,284.359,103.820,196.318,141.088,159.050
"000:40:30.986","","","","","","ZONE_COUNTERS",55,54,7,7,44,45,32,31
"000:40:30.986","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.986","","","","","","TOTAL_ARENA_DISTANCES",38123,27891,44511,24269
"000:45:31.136","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.136","","","","","","ZONE_DISTANCES",19673,20584,20022,13305,21370,19672,11029,10036
"000:45:31.137","","","","","","ZONE_TIMERS",161.601,138.550,201.061,99.091,165.883,134.269,151.585,148.566
"000:45:31.137","","","","","","ZONE_COUNTERS",64,64,42,42,45,45,30,29
"000:45:31.138","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.138","","","","","","TOTAL_ARENA_DISTANCES",40257,33327,41042,21065
"000:50:31.293","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.293","","","","","","ZONE_DISTANCES",15193,19656,17594,17376,18851,24470,11160,9951
"000:50:31.294","","","","","","ZONE_TIMERS",130.173,169.983,123.923,176.233,114.114,186.042,157.992,142.164
"000:50:31.294","","","","","","ZONE_COUNTERS",62,63,46,45,46,46,32,31
"000:50:31.295","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.295","","","","","","TOTAL_ARENA_DISTANCES",34849,34970,43321,21112
"000:55:31.444","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.444","","","","","","ZONE_DISTANCES",15833,19052,17149,14331,22592,16327,10798,11412
"000:55:31.445","","","","","","ZONE_TIMERS",152.629,147.521,170.165,129.985,188.245,111.905,143.560,156.590
"000:55:31.445","","","","","","ZONE_COUNTERS",62,62,43,42,47,47,29,29
"000:55:31.446","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.446","","","","","","TOTAL_ARENA_DISTANCES",34885,31481,38919,22210
"001:00:31.594","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.595","","","","","","ZONE_DISTANCES",15808,15446,12969,15987,13466,21797,10872,10779
"001:00:31.595","","","","","","ZONE_TIMERS",149.935,150.215,112.397,187.752,93.123,207.027,136.664,163.486
"001:00:31.596","","","","","","ZONE_COUNTERS",59,58,43,42,33,33,31,32
"001:00:31.596","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.596","","","","","","TOTAL_ARENA_DISTANCES",31254,28955,35264,21652
"001:00:31.666","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.666","","","","","","ZONE_DISTANCES",94205,123318,101810,92751,115298,131327,69691,62171
"001:00:31.667","","","","","","ZONE_TIMERS",807.380,993.453,888.906,911.928,815.532,985.302,851.465,949.369
"001:00:31.667","","","","","","ZONE_COUNTERS",368,368,203,202,260,261,175,175
"001:00:31.668","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.668","","","","","","TOTAL_ARENA_DISTANCES",217522,194560,246625,131863
"001:03:04.184","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.185","","","","","","ZONE_DISTANCES",495,5355,1762,4526,3556,3812,368,4371
"001:03:04.186","","","","","","ZONE_TIMERS",4.319,55.740,16.533,43.525,30.006,30.053,4.223,55.835
"001:03:04.186","","","","","","ZONE_COUNTERS",6,6,8,9,11,11,5,5
"001:03:04.187","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.187","","","","","","TOTAL_ARENA_DISTANCES",5850,6288,7368,4739
"001:04:04.321","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.322","","","","","","ZONE_DISTANCES",2172,3290,2133,3005,3103,3604,2176,2447
"001:04:04.322","","","","","","ZONE_TIMERS",22.135,38.001,21.983,38.153,26.540,33.596,25.951,34.185
"001:04:04.323","","","","","","ZONE_COUNTERS",12,13,8,9,10,9,9,9
"001:04:04.323","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.324","","","","","","TOTAL_ARENA_DISTANCES",5462,5137,6708,4623
