"000:00:00.000","Info","2019-07-09 02:19:26","Service 'MAGORA' : Execution start"
"000:00:00.000","Info","Subject Identification","a7331 a7103 a7524 a7304"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.799","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:35:30.800","","","","","","ZONE_DISTANCES",14971,12949,14016,19788,20941,7764,1638,4117
"000:35:30.800","","","","","","ZONE_TIMERS",151.221,148.856,104.278,195.799,216.293,83.784,10.565,289.512
"000:35:30.801","","","","","","ZONE_COUNTERS",33,32,39,39,52,52,8,8
"000:35:30.801","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.801","","","","","","TOTAL_ARENA_DISTANCES",27919,33803,28705,5755
"000:40:30.879","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:40:30.880","","","","","","ZONE_DISTANCES",12460,14653,12415,19545,4803,22936,24975,9705
"000:40:30.880","","","","","","ZONE_TIMERS",134.956,165.123,110.794,189.285,47.547,252.533,230.780,69.299
"000:40:30.881","","","","","","ZONE_COUNTERS",30,30,30,30,32,32,63,63
"000:40:30.881","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.881","","","","","","TOTAL_ARENA_DISTANCES",27114,31961,27739,34680
"000:45:30.968","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:45:30.968","","","","","","ZONE_DISTANCES",10129,11973,15184,16042,12154,11756,13022,26941
"000:45:30.968","","","","","","ZONE_TIMERS",112.012,188.076,141.141,158.946,148.433,151.654,82.755,217.332
"000:45:30.969","","","","","","ZONE_COUNTERS",22,23,44,43,64,65,65,65
"000:45:30.969","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.970","","","","","","TOTAL_ARENA_DISTANCES",22101,31226,23909,39963
"000:50:31.023","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"000:50:31.023","","","","","","ZONE_DISTANCES",10847,11384,13441,15507,10497,12851,22362,1896
"000:50:31.024","","","","","","ZONE_TIMERS",153.828,146.226,123.777,176.278,135.788,164.267,291.489,8.566
"000:50:31.024","","","","","","ZONE_COUNTERS",24,25,48,48,59,59,15,15
"000:50:31.025","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.025","","","","","","TOTAL_ARENA_DISTANCES",22231,28948,23349,24258
"000:55:31.102","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_MAGCS","ARENA1_ZONE2_ORANON","ARENA2_ZONE1_MAGCS","ARENA2_ZONE2_ORANON","ARENA3_ZONE1_MAGCS","ARENA3_ZONE2_ORANON","ARENA4_ZONE1_MAGCS","ARENA4_ZONE2_ORANON"
"000:55:31.102","","","","","","ZONE_DISTANCES",10294,12460,12610,15425,7095,16375,699,16667
"000:55:31.103","","","","","","ZONE_TIMERS",117.973,182.105,131.282,168.795,86.259,213.819,5.563,294.515
"000:55:31.103","","","","","","ZONE_COUNTERS",22,23,40,41,55,55,1,1
"000:55:31.103","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.104","","","","","","TOTAL_ARENA_DISTANCES",22754,28035,23470,17365
"001:00:31.180","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_ORANON","ARENA1_ZONE2_MAGCS","ARENA2_ZONE1_ORANON","ARENA2_ZONE2_MAGCS","ARENA3_ZONE1_ORANON","ARENA3_ZONE2_MAGCS","ARENA4_ZONE1_ORANON","ARENA4_ZONE2_MAGCS"
"001:00:31.180","","","","","","ZONE_DISTANCES",9488,11501,13476,15041,11601,10161,13014,624
"001:00:31.181","","","","","","ZONE_TIMERS",134.239,165.838,144.083,155.994,163.967,136.110,293.925,6.152
"001:00:31.181","","","","","","ZONE_COUNTERS",22,22,23,23,55,55,3,3
"001:00:31.181","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.182","","","","","","TOTAL_ARENA_DISTANCES",20989,28517,21762,13638
"001:00:31.278","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.279","","","","","","ZONE_DISTANCES",68189,74920,81142,101348,67091,81843,75710,59950
"001:00:31.280","","","","","","ZONE_TIMERS",804.237,996.226,755.364,1045.099,798.294,1002.169,915.086,885.377
"001:00:31.281","","","","","","ZONE_COUNTERS",152,151,222,221,315,315,153,152
"001:00:31.282","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.283","","","","","","TOTAL_ARENA_DISTANCES",143109,182490,148934,135660
