"000:00:00.000","Info","2019-07-09 02:19:32","Service 'ORAMAG' : Execution start"
"000:00:00.000","Info","Subject Identification","a8107 a7372 a7263 a7209"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.813","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:35:30.813","","","","","","ZONE_DISTANCES",25984,16339,27904,40519,6547,20697,4314,7428
"000:35:30.813","","","","","","ZONE_TIMERS",231.354,68.693,116.808,183.239,62.096,237.952,90.011,210.036
"000:35:30.814","","","","","","ZONE_COUNTERS",48,47,95,95,19,20,12,11
"000:35:30.814","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.815","","","","","","TOTAL_ARENA_DISTANCES",42324,68423,27245,11742
"000:40:30.903","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:40:30.905","","","","","","ZONE_DISTANCES",25175,28430,37295,39497,21855,16774,4593,1534
"000:40:30.907","","","","","","ZONE_TIMERS",152.641,147.448,159.010,141.080,139.249,160.840,282.548,17.541
"000:40:30.909","","","","","","ZONE_COUNTERS",65,64,116,117,36,37,5,4
"000:40:30.910","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.911","","","","","","TOTAL_ARENA_DISTANCES",53605,76792,38628,6128
"000:45:31.000","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_ORACS","ARENA1_ZONE2_MAGNON","ARENA2_ZONE1_ORACS","ARENA2_ZONE2_MAGNON","ARENA3_ZONE1_ORACS","ARENA3_ZONE2_MAGNON","ARENA4_ZONE1_ORACS","ARENA4_ZONE2_MAGNON"
"000:45:31.001","","","","","","ZONE_DISTANCES",19527,12997,31488,37362,16504,16035,2131,6701
"000:45:31.001","","","","","","ZONE_TIMERS",240.649,59.447,131.401,168.695,171.548,128.549,38.583,261.514
"000:45:31.001","","","","","","ZONE_COUNTERS",32,32,104,105,40,40,7,7
"000:45:31.002","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.002","","","","","","TOTAL_ARENA_DISTANCES",32524,68850,32539,8832
"000:50:31.060","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_MAGNON","ARENA1_ZONE2_ORACS","ARENA2_ZONE1_MAGNON","ARENA2_ZONE2_ORACS","ARENA3_ZONE1_MAGNON","ARENA3_ZONE2_ORACS","ARENA4_ZONE1_MAGNON","ARENA4_ZONE2_ORACS"
"000:50:31.060","","","","","","ZONE_DISTANCES",14541,21551,32368,33928,13989,15877,7575,5094
"000:50:31.060","","","","","","ZONE_TIMERS",102.108,197.951,152.760,147.299,119.246,180.812,227.788,72.270
"000:50:31.061","","","","","","ZONE_COUNTERS",44,45,101,101,38,37,12,12
