"000:00:00.000","Info","2019-07-10 00:36:09","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a6921 a6830 a8040 a7120"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","DDF484"
"000:35:30.676","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.676","","","","","","ZONE_DISTANCES",3328,20987,26808,24374,9666,30467,119383,112437
"000:35:30.677","","","","","","ZONE_TIMERS",25.644,274.358,258.785,41.217,72.370,227.632,94.208,205.794
"000:35:30.678","","","","","","ZONE_COUNTERS",19,19,75,74,45,45,341,341
"000:35:30.678","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.679","","","","","","TOTAL_ARENA_DISTANCES",24315,51181,40132,231820
"000:40:30.687","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.688","","","","","","ZONE_DISTANCES",22654,1766,20723,28396,34693,955,202309,6316
"000:40:30.688","","","","","","ZONE_TIMERS",281.568,18.442,48.810,251.200,292.613,7.397,278.935,21.076
"000:40:30.689","","","","","","ZONE_COUNTERS",8,8,52,51,8,8,33,33
"000:40:30.689","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.690","","","","","","TOTAL_ARENA_DISTANCES",24420,49120,35648,208625
"000:45:30.724","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.724","","","","","","ZONE_DISTANCES",633,22782,8785,6494,3707,58371,197437,201491
"000:45:30.725","","","","","","ZONE_TIMERS",3.087,296.948,287.582,12.453,25.029,275.006,205.476,94.559
"000:45:30.725","","","","","","ZONE_COUNTERS",3,3,18,17,31,31,640,639
"000:45:30.726","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.726","","","","","","TOTAL_ARENA_DISTANCES",23415,15279,62078,398928
"000:50:30.737","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.738","","","","","","ZONE_DISTANCES",2054,19103,7816,15998,40086,325,98569,3394
"000:50:30.738","","","","","","ZONE_TIMERS",16.669,283.343,19.090,280.923,298.917,1.096,287.900,12.112
"000:50:30.739","","","","","","ZONE_COUNTERS",10,11,22,21,2,2,19,18
"000:50:30.739","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
